[[ 0, 2, 15, 30, 30, 71 ],'<1, 1>',(x^4 + x^3 + 1)*y^3 + (x^4 + x^2)*y^2 + y + x^4 + x^3 + 1]
[[ 0, 2, 18, 34, 25, 56 ],'<1, 1>',(x^4 + x^3 + x^2 + x + 1)*y^3 + (x^4 + x + 1)*y^2 + x^4 + x^3 + 1]
[[ 0, 2, 18, 34, 30, 62 ],'<1, 1>',(x^4 + x^3 + 1)*y^3 + (x^3 + x^2)*y^2 + (x^4 + x + 1)*y + x^4 + x^3 + 1]
[[ 0, 2, 18, 26, 35, 38 ],'<1, 1>',(x^4 + x^2 + 1)*y^3 + (x + 1)*y^2 + x^4*y + x^4 + x^3 + 1]
[[ 0, 2, 18, 38, 30, 80 ],'<3, 1>',(x^4 + x^3 + 1)*y^3 + (x^4 + x^3 + x^2 + 1)*y^2 + x^2*y + x^4 + x^3 + 1]
[[ 0, 4, 9, 12, 50, 61 ],'<1, 1>',(x^4 + x^3 + x^2 + x + 1)*y^3 + (x^4 + 1)*y^2 + x*y + x^4 + x^3 + 1]
[[ 0, 4, 12, 20, 45, 76 ],'<1, 1>',(x^4 + x^2 + 1)*y^3 + (x^3 + x^2 + 1)*y^2 + (x^4 + x)*y + x^4 + x^3 + 1]
[[ 0, 4, 12, 16, 40, 52 ],'<1, 1>',(x^4 + x^2 + 1)*y^3 + (x^4 + x + 1)*y^2 + x^4 + x^3 + 1]
[[ 0, 4, 12, 24, 40, 70 ],'<1, 1>',(x^4 + x^3 + x^2 + x + 1)*y^3 + (x^4 + x^2)*y^2 + y + x^4 + x^3 + 1]
[[ 0, 6, 9, 22, 70, 111 ],'<2, 1>',(x^4 + x^3 + 1)*y^3 + (x^4 + x^2 + 1)*y^2 + x^4 + x^3 + 1]
[[ 0, 6, 9, 30, 0, 51 ],'<6, 2>',(x^4 + x^2 + 1)*y^3 + (x^2 + x)*y^2 + (x^4 + x + 1)*y + x^4 + x^2 + 1]
[[ 0, 6, 15, 18, 70, 87 ],'<2, 1>',(x^4 + x^2 + 1)*y^3 + (x^2 + 1)*y^2 + x^4*y + x^4 + x^3 + 1]
[[ 0, 6, 15, 26, 40, 69 ],'<1, 1>',(x^4 + x^2 + 1)*y^3 + (x^4 + x^2 + x + 1)*y^2 + x*y + x^4 + x^3 + 1]
[[ 0, 6, 15, 14, 40, 51 ],'<1, 1>',(x^4 + x^2 + 1)*y^3 + (x^3 + x)*y^2 + (x^4 + x + 1)*y + x^4 + x^3 + 1]
[[ 0, 6, 15, 14, 45, 63 ],'<1, 1>',(x^4 + x^2 + 1)*y^3 + (x^4 + x^3 + x^2 + 1)*y^2 + x^2*y + x^4 + x^3 + 1]
[[ 0, 6, 12, 22, 20, 54 ],'<1, 1>',(x^4 + x^2 + 1)*y^3 + (x^4 + x^3)*y^2 + y + x^4 + x^3 + 1]
[[ 0, 6, 12, 26, 25, 60 ],'<1, 1>',(x^4 + x^2 + 1)*y^3 + (x^4 + x^3 + x)*y^2 + (x + 1)*y + x^4 + x^3 + 1]
[[ 0, 6, 18, 18, 45, 60 ],'<3, 1>',(x^4 + x^2 + 1)*y^3 + (x^4 + x^2 + x + 1)*y^2 + x*y + x^4 + x^2 + 1]
[[ 1, 1, 13, 25, 31, 115 ],'<1, 1>',(x^4 + x^3 + x^2 + x + 1)*y^3 + (x^4 + x^3 + x^2 + x)*y^2 + x^2*y + x^4 + x^3 + x]
[[ 1, 1, 13, 9, 11, 61 ],'<1, 1>',(x^4 + x^3 + x^2 + x + 1)*y^3 + (x^4 + x^2)*y^2 + x*y + x^4 + x^3 + x]
[[ 1, 1, 13, 9, 21, 55 ],'<1, 1>',(x^4 + x^3 + 1)*y^3 + (x^4 + x^2)*y^2 + x^2*y + x^4 + x^3 + x]
[[ 1, 1, 13, 21, 46, 79 ],'<1, 1>',(x^4 + x^3 + 1)*y^3 + (x^4 + x^3 + x^2)*y^2 + x^4 + x^3 + x]
[[ 1, 1, 13, 21, 41, 91 ],'<1, 1>',(x^4 + x^3 + 1)*y^3 + (x^4 + x^3 + x)*y^2 + (x^2 + x)*y + x^4 + x^3 + x]
[[ 1, 1, 13, 21, 16, 97 ],'<1, 1>',(x^4 + x + 1)*y^3 + (x^3 + x^2 + x)*y^2 + (x^4 + x^2)*y + x^4 + x^3 + x]
[[ 1, 1, 10, 17, 36, 76 ],'<1, 1>',(x^4 + x + 1)*y^3 + (x^4 + x)*y^2 + x*y + x^4 + x^3 + x]
[[ 1, 1, 10, 17, 16, 82 ],'<1, 1>',(x^4 + x^3 + x^2 + x + 1)*y^3 + (x^2 + x)*y^2 + x^4*y + x^4 + x^3 + x]
[[ 1, 1, 10, 21, 21, 94 ],'<1, 1>',(x^4 + x^3 + x^2 + x + 1)*y^3 + (x^4 + x^3)*y^2 + x*y + x^4 + x^3 + x]
