[[ 5, 9, 5, 25, 20, 69 ],'<2, 1>',x^14 + x^13 + x^11 + x^7 + x^5*y + x^4 + x^3*y + x + y^2 + y]
[[ 1, 9, 7, 17, 36, 93 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6 + x^5*y + x^3*y + x^2 + x + y^2 + y + 1]
[[ 5, 9, 11, 25, 50, 57 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^5*y + x^3*y + x^3 + x + y^2 + y]
[[ 1, 9, 7, 17, 46, 105 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^6 + x^5*y + x^5 + x^3*y + x^2 + y^2 + y + 1]
[[ 5, 9, 5, 33, 40, 81 ],'<2, 1>',x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^5*y + x^5 + x^4 + x^3*y + y^2 + y]
[[ 5, 5, 17, 9, 50, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^5*y + x^5 + x^3*y + x^2 + x + y^2 + y]
[[ 1, 9, 7, 9, 26, 69 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5*y + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 1, 9, 13, 33, 26, 81 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5*y + x^4 + x^3*y + x^3 + x^2 + y^2 + y + 1]
[[ 5, 9, 5, 17, 40, 69 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^5*y + x^5 + x^3*y + x^3 + y^2 + y]
[[ 3, 5, 3, 17, 48, 89 ],'<2, 1>',x^14 + x^13 + x^8 + x^7 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 3, 5, 9, 17, 38, 41 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^7 + x^6 + x^5*y + x^5 + x^3*y + x^3 + x^2 + y^2 + y + 1]
[[ 3, 5, 15, 9, 18, 89 ],'<2, 1>',x^13 + x^12 + x^10 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 3, 9, 3, 17, 8, 57 ],'<2, 1>',x^14 + x^13 + x^8 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 3, 9, 15, 25, 38, 57 ],'<2, 1>',x^13 + x^12 + x^10 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 3, 5, 9, 25, 48, 53 ],'<2, 1>',x^14 + x^13 + x^9 + x^7 + x^6 + x^5*y + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 3, 5, 9, 25, 48, 53 ],'<2, 1>',x^13 + x^12 + x^9 + x^7 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2*y + x^2 + x*y + x + y^2 + y]
[[ 5, 5, 11, 9, 10, 65 ],'<2, 1>',x^13 + x^10 + x^5*y + x^5 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 1, 9, 1, 17, 16, 69 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^5*y + x^5 + x^3*y + x^3 + x + y^2 + y + 1]
[[ 1, 5, 7, 9, 56, 65 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^6 + x^5*y + x^4 + x^3*y + x^3 + y^2 + y + 1]
[[ 1, 5, 1, 17, 36, 65 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^3*y + y^2 + y + 1]
[[ 1, 5, 1, 17, 36, 65 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5*y + x^3*y + x^3 + x^2*y + x^2 + x*y + x + y^2 + y + 1]
[[ 1, 9, 7, 25, 36, 69 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^6 + x^5*y + x^5 + x^4 + x^3*y + y^2 + y + 1]
[[ 1, 5, 1, 33, 36, 53 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^7 + x^5*y + x^3*y + x^2 + x + y^2 + y + 1]
[[ 5, 5, 17, 17, 30, 65 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5*y + x^4 + x^3*y + x^3 + x^2 + y^2 + y]
[[ 5, 5, 17, 17, 30, 65 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^5*y + x^4 + x^3*y + x^2*y + x^2 + x*y + x + y^2 + y]
[[ 1, 5, 13, 17, 26, 53 ],'<2, 1>',x^14 + x^13 + x^11 + x^9 + x^8 + x^5*y + x^4 + x^3*y + x^3 + x^2 + y^2 + y + 1]
[[ 5, 5, 17, 33, 30, 53 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^5*y + x^5 + x^3*y + x^3 + x^2 + y^2 + y]
[[ 1, 9, 7, 25, 16, 57 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^5*y + x^5 + x^3*y + x^2 + x + y^2 + y + 1]
[[ 5, 9, 11, 17, 30, 105 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^5*y + x^5 + x^3*y + x^3 + x^2 + y^2 + y]
[[ 5, 9, 5, 9, 40, 57 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^5*y + x^4 + x^3*y + x^2 + y^2 + y]
[[ 5, 9, 17, 25, 30, 69 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^5*y + x^5 + x^3*y + x^3 + x^2 + y^2 + y]
[[ 1, 5, 13, 25, 6, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^5*y + x^5 + x^3*y + x^3 + x^2 + y^2 + y + 1]
[[ 5, 5, 11, 17, 40, 89 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5*y + x^5 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 1, 5, 7, 33, 36, 89 ],'<2, 1>',x^14 + x^13 + x^11 + x^9 + x^8 + x^5*y + x^5 + x^4 + x^3*y + x^3 + y^2 + y + 1]
[[ 1, 5, 7, 25, 36, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5*y + x^5 + x^3*y + x^3 + x^2*y + x*y + x + y^2 + y + 1]
[[ 5, 5, 5, 33, 50, 101 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^6 + x^5*y + x^4 + x^3*y + x^2*y + x^2 + x*y + y^2 + y]
[[ 1, 9, 7, 17, 36, 69 ],'<2, 1>',x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^5*y + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + y + 1]
[[ 5, 9, 11, 25, 40, 81 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^5*y + x^5 + x^3*y + x^3 + x^2*y + x^2 + x*y + y^2 + y]
[[ 5, 9, 17, 9, 30, 93 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^5*y + x^5 + x^4 + x^3*y + x^2*y + x^2 + x*y + y^2 + y]
[[ 5, 5, 17, 33, 20, 65 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5*y + x^5 + x^3*y + x^2*y + x^2 + x*y + x + y^2 + y]
[[ 1, 5, 7, 17, 16, 89 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^3*y + x^2*y + x*y + x + y^2 + y + 1]
[[ 1, 5, 13, 17, 46, 53 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^5*y + x^3*y + x^3 + x^2*y + x*y + x + y^2 + y + 1]
[[ 5, 9, 11, 17, 40, 81 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^5*y + x^4 + x^3*y + x^3 + x^2*y + x*y + x + y^2 + y]
[[ 1, 5, 7, 17, 46, 41 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^5*y + x^5 + x^3*y + x^3 + x^2*y + x^2 + x*y + y^2 + y + 1]
[[ 5, 9, 11, 33, 10, 81 ],'<2, 1>',x^14 + x^13 + x^11 + x^9 + x^8 + x^7 + x^5*y + x^3*y + x^2*y + x^2 + x*y + x + y^2 + y]
[[ 1, 9, 7, 25, 36, 81 ],'<2, 1>',x^14 + x^13 + x^11 + x^9 + x^8 + x^5*y + x^5 + x^4 + x^3*y + x^2*y + x^2 + x*y + y^2 + y + 1]
[[ 3, 5, 3, 17, 38, 53 ],'<2, 1>',x^13 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2*y + x*y + x + y^2 + y]
[[ 1, 9, 1, 9, 36, 93 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^2*y + x*y + y^2 + y + 1]
[[ 3, 9, 9, 17, 38, 45 ],'<2, 1>',x^13 + x^12 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^3*y + x^3 + x^2*y + x^2 + x*y + x + y^2 + y]
[[ 3, 5, 3, 9, 48, 53 ],'<2, 1>',x^13 + x^12 + x^11 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2*y + x^2 + x*y + x + y^2 + y + 1]
[[ 3, 9, 15, 33, 48, 45 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^7 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + y + 1]
[[ 3, 9, 9, 25, 38, 105 ],'<2, 1>',x^13 + x^12 + x^11 + x^7 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2*y + x*y + x + y^2 + y + 1]
[[ 3, 5, 15, 9, 18, 53 ],'<2, 1>',x^13 + x^10 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2*y + x*y + x + y^2 + y]
[[ 3, 9, 3, 17, 28, 57 ],'<2, 1>',x^14 + x^13 + x^10 + x^9 + x^7 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + y + 1]
[[ 3, 9, 9, 17, 38, 69 ],'<2, 1>',x^13 + x^11 + x^9 + x^7 + x^6 + x^5*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x*y + x + y^2 + y + 1]
[[ 3, 5, 15, 25, 28, 77 ],'<2, 1>',x^13 + x^12 + x^11 + x^7 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2*y + x*y + x + y^2 + y]
[[ 3, 5, 9, 17, 38, 89 ],'<2, 1>',x^13 + x^10 + x^9 + x^7 + x^6 + x^5*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x*y + x + y^2 + y + 1]
[[ 3, 5, 15, 17, 48, 89 ],'<2, 1>',x^13 + x^11 + x^9 + x^7 + x^6 + x^5*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x*y + x + y^2 + y]
[[ 3, 9, 3, 33, 38, 81 ],'<2, 1>',x^13 + x^12 + x^10 + x^7 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2*y + x^2 + x*y + x + y^2 + y + 1]
[[ 3, 5, 3, 25, 38, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + y + 1]
