[[ 5, 7, 14, 7, 35, 100 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^5*y + x^4 + x^3 + x*y + y^2 + y]
[[ 5, 7, 14, 23, 45, 64 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^5*y + x^5 + x^4 + x*y + x + y^2 + y]
[[ 1, 7, 4, 15, 31, 76 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6 + x^5*y + x^4 + x*y + x + y^2 + y + 1]
[[ 5, 7, 14, 23, 55, 76 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^4 + x*y + x + y^2 + y]
[[ 5, 7, 8, 15, 35, 52 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^5*y + x^5 + x^3 + x^2 + x*y + y^2 + y]
[[ 5, 7, 14, 15, 25, 64 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^3 + x^2 + x*y + y^2 + y]
[[ 5, 7, 8, 31, 35, 76 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5*y + x^4 + x^3 + x^2 + x*y + y^2 + y]
[[ 1, 7, 4, 15, 41, 64 ],'<2, 1>',x^14 + x^13 + x^11 + x^7 + x^5*y + x^5 + x^2 + x*y + y^2 + y + 1]
[[ 5, 7, 14, 15, 35, 76 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^3 + x^2 + x*y + y^2 + y]
[[ 1, 7, 10, 15, 31, 52 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4 + x*y + x + y^2 + y + 1]
[[ 5, 7, 14, 31, 25, 64 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^5 + x*y + x + y^2 + y]
[[ 3, 7, 12, 15, 53, 76 ],'<2, 1>',x^14 + x^13 + x^10 + x^9 + x^8 + x^7 + x^5*y + x^5 + x^4 + x*y + x + y^2 + y + 1]
[[ 1, 7, 10, 15, 41, 40 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^2 + x*y + y^2 + y + 1]
[[ 5, 7, 14, 15, 45, 88 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^3 + x*y + y^2 + y]
[[ 1, 7, 10, 15, 21, 64 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^3 + x*y + y^2 + y + 1]
[[ 3, 7, 6, 23, 23, 88 ],'<2, 1>',x^13 + x^12 + x^10 + x^5*y + x*y + y^2 + y]
