[[ 3, 5, 3, 13, 43, 53 ],'<2, 1>',x^13 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3 + x^2 + x*y + x + y^2]
[[ 3, 5, 3, 13, 43, 53 ],'<2, 1>',x^13 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^4 + x^3 + x^2*y + x + y^2]
[[ 3, 5, 3, 13, 23, 125 ],'<4, 2>',x^14 + x^13 + x^12 + x^11 + x^7 + x^5 + x^4*y + x^4 + x^3 + x^2 + x*y + y^2 + 1]
[[ 3, 5, 3, 5, 43, 65 ],'<4, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^5 + x^4*y + x^4 + x*y + x + y^2]
[[ 3, 5, 15, 13, 43, 125 ],'<4, 2>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^4*y + x^4 + x^3 + x*y + x + y^2]
[[ 3, 5, 15, 13, 23, 53 ],'<2, 1>',x^13 + x^10 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^2 + x*y + x + y^2]
[[ 3, 5, 15, 13, 23, 53 ],'<2, 1>',x^13 + x^11 + x^9 + x^7 + x^6 + x^5*y + x^4 + x^3 + x^2*y + x^2 + x + y^2]
[[ 3, 5, 15, 5, 23, 65 ],'<4, 1>',x^14 + x^13 + x^12 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^3 + x^2 + x*y + y^2 + 1]
[[ 3, 5, 3, 21, 43, 89 ],'<2, 1>',x^14 + x^13 + x^10 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3 + x*y + y^2 + 1]
[[ 3, 5, 15, 21, 23, 89 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3 + x*y + y^2 + 1]
[[ 3, 5, 9, 21, 53, 53 ],'<2, 1>',x^13 + x^11 + x^10 + x^7 + x^5 + x^4*y + x^4 + x^3 + x^2 + x*y + x + y^2]
[[ 3, 5, 9, 21, 53, 53 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x + y^2 + y + 1]
[[ 5, 7, 5, 23, 25, 67 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^5 + x^4*y + x^2*y + x^2 + x + y^2 + y]
[[ 5, 7, 5, 23, 25, 67 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^5*y + x^5 + x^3*y + x*y + x + y^2 + y]
[[ 1, 7, 7, 23, 31, 55 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^4*y + x^4 + x^2*y + x^2 + y^2 + y + 1]
[[ 1, 7, 7, 23, 31, 55 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^6 + x^5 + x^4*y + x^2*y + y^2 + y + 1]
[[ 5, 7, 5, 15, 25, 79 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^4*y + x^3 + x^2*y + x^2 + y^2 + y]
[[ 1, 7, 13, 7, 21, 43 ],'<4, 1>',x^14 + x^13 + x^10 + x^9 + x^8 + x^5 + x^4*y + x^4 + x^2*y + x + y^2 + y + 1]
[[ 5, 7, 11, 15, 15, 91 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^6 + x^4*y + x^2*y + x^2 + x + y^2 + y]
[[ 5, 7, 11, 15, 15, 91 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^6*y + x^6 + x^5*y + x^3*y + x^3 + x*y + x + y^2 + y]
[[ 1, 7, 1, 15, 21, 79 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^5 + x^4*y + x^3 + x^2*y + x^2 + y^2 + y + 1]
[[ 1, 7, 13, 15, 41, 79 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^4*y + x^2*y + x^2 + x + y^2 + y + 1]
[[ 5, 7, 17, 15, 45, 79 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^6 + x^5 + x^4*y + x^2*y + x + y^2 + y]
