[[ 1, 5, 10, 17, 31, 50 ],'<2, 1>',x^13 + x^12 + x^10 + x^7 + x^4 + x^3*y + x^3 + x*y + y^2 + y + 1]
[[ 1, 5, 10, 17, 31, 50 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^5 + x^3*y + x^2 + x*y + y^2 + y + 1]
[[ 1, 5, 4, 17, 31, 74 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^5 + x^3*y + x^3 + x^2 + x*y + y^2 + y + 1]
[[ 5, 5, 14, 17, 35, 74 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^5 + x^3*y + x^3 + x*y + y^2 + y]
[[ 5, 9, 8, 9, 45, 66 ],'<2, 1>',x^14 + x^13 + x^10 + x^9 + x^8 + x^5 + x^4 + x^3*y + x^3 + x^2 + x*y + x + y^2 + y]
[[ 1, 5, 4, 25, 51, 50 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6 + x^3*y + x*y + x + y^2 + y + 1]
[[ 5, 9, 8, 25, 45, 66 ],'<2, 1>',x^14 + x^13 + x^11 + x^9 + x^8 + x^7 + x^3*y + x^2 + x*y + x + y^2 + y]
[[ 5, 9, 8, 33, 25, 90 ],'<2, 1>',x^14 + x^13 + x^12 + x^6 + x^3*y + x^3 + x^2 + x*y + y^2 + y]
[[ 5, 9, 14, 25, 25, 90 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^5 + x^4 + x^3*y + x^2 + x*y + y^2 + y]
[[ 5, 5, 14, 33, 15, 74 ],'<2, 1>',x^13 + x^12 + x^10 + x^7 + x^5 + x^3*y + x^3 + x*y + y^2 + y]
[[ 1, 5, 4, 9, 31, 74 ],'<2, 1>',x^13 + x^9 + x^5 + x^3*y + x^3 + x^2 + x*y + x + y^2 + y + 1]
[[ 1, 9, 4, 25, 41, 90 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^6 + x^3*y + x^3 + x^2 + x*y + y^2 + y + 1]
[[ 1, 9, 4, 9, 31, 90 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^6 + x^3*y + x^3 + x*y + x + y^2 + y + 1]
[[ 3, 7, 9, 23, 33, 79 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x + y^2]
[[ 3, 7, 9, 23, 33, 79 ],'<2, 1>',x^13 + x^11 + x^9 + x^7 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2 + x + y^2 + 1]
[[ 3, 3, 15, 7, 23, 63 ],'<2, 1>',x^13 + x^10 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x^2 + x + y^2]
[[ 3, 3, 9, 15, 33, 111 ],'<2, 1>',x^13 + x^12 + x^9 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2 + x + y^2 + 1]
[[ 3, 3, 9, 15, 33, 111 ],'<2, 1>',x^13 + x^12 + x^8 + x^7 + x^5 + x^4*y + x^4 + x^3 + x^2*y + x^2 + x + y^2 + 1]
[[ 3, 3, 3, 23, 23, 87 ],'<2, 1>',x^13 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x + y^2]
[[ 3, 3, 9, 31, 33, 39 ],'<2, 1>',x^13 + x^10 + x^9 + x^7 + x^6 + x^4*y + x^4 + x^3*y + x^3 + x^2 + x + y^2 + 1]
[[ 3, 3, 9, 31, 33, 39 ],'<2, 1>',x^13 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^2*y + x^2 + x + y^2 + 1]
