[[ 2, 4, 8, 8, 22, 100 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7 + x^6 + x^5 + x^3*y + x^3 + x + y^2 + 1]
[[ 2, 4, 8, 24, 42, 52 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6 + x^4 + x^3*y + x + y^2 + 1]
[[ 2, 4, 8, 24, 42, 52 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^6 + x^5 + x^4 + x^3*y + x + y^2 + 1]
[[ 4, 8, 10, 16, 24, 68 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^5 + x^4 + x^3*y + x + y^2]
[[ 4, 8, 10, 16, 24, 68 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^2*y + x + y^2]
[[ 4, 4, 10, 24, 4, 52 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^5 + x^4 + x^3*y + x^2 + x + y^2]
[[ 2, 8, 8, 16, 22, 68 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^6 + x^5 + x^4 + x^3*y + x^2 + x + y^2 + 1]
[[ 2, 8, 8, 16, 22, 68 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^6 + x^5 + x^4 + x^3*y + x + y^2 + 1]
[[ 2, 8, 8, 16, 22, 68 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5 + x^3 + x^2 + x*y + y^2 + 1]
[[ 2, 8, 8, 16, 22, 68 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^6 + x^4 + x^3 + x^2 + x*y + y^2 + 1]
[[ 4, 4, 10, 8, 44, 100 ],'<2, 1>',x^14 + x^13 + x^12 + x^8 + x^4 + x^3*y + x + y^2]
