[[ 1, 5, 4, 25, 31, 62 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^2*y + x^2 + x + y^2 + y + 1]
[[ 3, 5, 12, 17, 33, 62 ],'<2, 1>',x^13 + x^12 + x^9 + x^7 + x^6*y + x^6 + x^4 + x^3 + x^2*y + x^2 + x + y^2 + y]
[[ 5, 9, 8, 17, 25, 78 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^4 + x^2*y + x^2 + y^2 + y]
[[ 3, 5, 6, 9, 33, 86 ],'<2, 1>',x^14 + x^12 + x^10 + x^6*y + x^6 + x^5 + x^4 + x^3 + x^2*y + x^2 + x + y^2 + y + 1]
[[ 5, 9, 14, 33, 25, 54 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^6 + x^5 + x^4 + x^2*y + x^2 + x + y^2 + y]
[[ 3, 9, 6, 25, 23, 78 ],'<2, 1>',x^13 + x^12 + x^11 + x^6*y + x^6 + x^5 + x^4 + x^3 + x^2*y + x^2 + x + y^2 + y]
[[ 3, 9, 6, 9, 23, 54 ],'<2, 1>',x^14 + x^12 + x^9 + x^7 + x^6*y + x^6 + x^4 + x^3 + x^2*y + x^2 + x + y^2 + y]
[[ 3, 5, 12, 17, 33, 38 ],'<2, 1>',x^13 + x^12 + x^11 + x^6*y + x^6 + x^5 + x^4 + x^3 + x^2*y + x^2 + x + y^2 + y + 1]
[[ 5, 9, 8, 17, 45, 78 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^5 + x^2*y + x + y^2 + y]
[[ 3, 5, 12, 33, 33, 86 ],'<2, 1>',x^14 + x^12 + x^11 + x^7 + x^6*y + x^5 + x^4 + x^3 + x^2*y + x^2 + x + y^2 + y + 1]
[[ 5, 5, 14, 9, 35, 62 ],'<2, 1>',x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5 + x^2*y + x^2 + y^2 + y]
[[ 1, 9, 4, 17, 41, 102 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^6*y + x^5 + x^4 + x^3 + x^2*y + y^2 + y + 1]
