[[ 3, 5, 3, 25, 28, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x + y^2 + y + 1]
[[ 3, 5, 9, 17, 28, 29 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6 + x^5*y + x^4*y + x^3*y + x^3 + x^2*y + x^2 + y^2 + y + 1]
[[ 3, 5, 9, 9, 38, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x + y^2 + y + 1]
[[ 3, 5, 9, 25, 18, 53 ],'<2, 1>',x^14 + x^13 + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + y^2 + y]
[[ 3, 5, 9, 25, 18, 53 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^6 + x^5*y + x^4*y + x^3*y + x^2 + x*y + x + y^2 + y]
[[ 3, 9, 3, 25, 28, 45 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7 + x^5*y + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x + y^2 + y]
[[ 3, 9, 15, 33, 18, 93 ],'<2, 1>',x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4*y + x^4 + x^3*y + x^2*y + x + y^2 + y]
[[ 3, 9, 3, 33, 48, 93 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^8 + x^7 + x^5*y + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x + y^2 + y + 1]
[[ 3, 9, 15, 17, 18, 81 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x + y^2 + y + 1]
[[ 3, 9, 15, 17, 38, 69 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^7 + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x + y^2 + y + 1]
[[ 3, 9, 15, 17, 38, 69 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^3 + x*y + x + y^2 + y]
