[[ 2, 10, 2, 26, 22, 58 ],'<2, 1>',x^14 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 2, 10, 2, 26, 22, 58 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 2, 10, 14, 26, 52, 58 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^2 + y^2 + y + 1]
[[ 4, 6, 10, 26, 14, 78 ],'<2, 1>',x^13 + x^11 + x^9 + x^7*y + x^7 + x^5 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 2, 6, 2, 26, 22, 42 ],'<2, 1>',x^14 + x^13 + x^11 + x^7*y + x^7 + x^5 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 4, 6, 10, 26, 34, 54 ],'<2, 1>',x^12 + x^9 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^3 + x^2 + y^2 + y + 1]
[[ 4, 6, 10, 26, 34, 54 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^4 + x^3*y + x^3 + y^2 + y]
[[ 4, 6, 10, 26, 34, 54 ],'<2, 1>',x^12 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + y]
[[ 2, 6, 14, 18, 42, 90 ],'<2, 1>',x^14 + x^10 + x^9 + x^7*y + x^7 + x^5 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 4, 10, 4, 26, 14, 58 ],'<2, 1>',x^12 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^3 + x + y^2 + y]
[[ 2, 10, 14, 10, 32, 58 ],'<2, 1>',x^14 + x^13 + x^12 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^2 + y^2 + y + 1]
[[ 2, 6, 14, 26, 12, 102 ],'<2, 1>',x^14 + x^10 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^2 + x + y^2 + y]
[[ 2, 6, 8, 10, 42, 30 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^3 + y^2 + y + 1]
