[[ 2, 10, 8, 18, 22, 58 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^4 + x^3 + x^2 + x*y + y^2 + y + 1]
[[ 2, 10, 8, 18, 22, 58 ],'<2, 1>',x^14 + x^9 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^2 + x + y^2 + y + 1]
[[ 2, 6, 8, 26, 52, 30 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^5 + x^3 + x^2 + x*y + x + y^2 + y + 1]
[[ 0, 6, 6, 26, 10, 78 ],'<2, 1>',x^14 + x^11 + x^10 + x^7*y + x^7 + x^4 + x^3 + x*y + y^2 + y + 1]
[[ 4, 10, 4, 26, 14, 70 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^5 + x^2 + x*y + x + y^2 + y]
[[ 4, 6, 16, 10, 34, 90 ],'<2, 1>',x^14 + x^10 + x^8 + x^7*y + x^7 + x^6 + x^5 + x*y + y^2 + y]
[[ 0, 10, 6, 26, 20, 34 ],'<2, 1>',x^14 + x^12 + x^11 + x^7*y + x^5 + x^4 + x^3 + x*y + y^2 + y + 1]
[[ 0, 10, 6, 34, 50, 70 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^7*y + x^6 + x^2 + x*y + x + y^2 + y + 1]
[[ 0, 6, 6, 18, 10, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^4 + x^2 + x*y + y^2 + y + 1]
[[ 4, 6, 10, 26, 34, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^7*y + x^4 + x^2 + x*y + x + y^2 + y]
[[ 6, 6, 18, 10, 56, 66 ],'<2, 1>',x^13 + x^9 + x^7*y + x^5 + x^4 + x^2 + x*y + x + y^2 + y]
[[ 4, 10, 10, 18, 24, 94 ],'<2, 1>',x^14 + x^13 + x^11 + x^9 + x^8 + x^7*y + x^7 + x^4 + x^3 + x*y + y^2 + y]
[[ 4, 10, 10, 18, 24, 94 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^8 + x^7*y + x^4 + x^3*y + x^3 + x^2 + y^2 + y]
[[ 6, 6, 12, 18, 26, 78 ],'<2, 1>',x^9 + x^8 + x^7*y + x^7 + x^5 + x^4 + x*y + x + y^2 + y]
[[ 2, 10, 14, 26, 52, 70 ],'<2, 1>',x^12 + x^11 + x^7*y + x^4 + x^3 + x^2 + x*y + x + y^2 + y + 1]
[[ 6, 10, 12, 26, 16, 94 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6 + x^3 + x*y + x + y^2 + y]
[[ 2, 10, 2, 18, 32, 58 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^5 + x^4 + x*y + x + y^2 + y + 1]
[[ 2, 10, 2, 18, 32, 58 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^5 + x^3*y + x^3 + x + y^2 + y + 1]
[[ 6, 6, 6, 18, 26, 66 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^5 + x^4 + x^3 + x^2 + x*y + y^2 + y]
[[ 0, 10, 6, 18, 30, 82 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^7*y + x^7 + x^2 + x*y + x + y^2 + y + 1]
[[ 0, 10, 6, 18, 30, 82 ],'<2, 1>',x^14 + x^12 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^5 + x^4*y + x^3*y + x^2*y + x^2 + y^2 + y + 1]
[[ 0, 10, 6, 26, 40, 70 ],'<2, 1>',x^14 + x^13 + x^11 + x^9 + x^8 + x^7*y + x^6 + x^2 + x*y + x + y^2 + y + 1]
[[ 0, 10, 6, 26, 40, 70 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6 + x^3*y + x^3 + y^2 + y + 1]
[[ 6, 6, 12, 26, 36, 66 ],'<2, 1>',x^13 + x^11 + x^7*y + x^4 + x^3 + x^2 + x*y + x + y^2 + y]
[[ 6, 6, 12, 26, 36, 66 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^5 + x^4*y + x^3*y + x^2*y + x^2 + x + y^2 + y]
[[ 6, 10, 12, 18, 36, 82 ],'<2, 1>',x^11 + x^8 + x^7*y + x^6 + x^4 + x^3 + x^2 + x*y + y^2 + y]
[[ 6, 10, 12, 18, 36, 82 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x + y^2 + y]
[[ 0, 6, 12, 18, 40, 66 ],'<2, 1>',x^14 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^3 + x*y + y^2 + y + 1]
[[ 4, 6, 10, 10, 24, 102 ],'<2, 1>',x^14 + x^13 + x^11 + x^9 + x^8 + x^7*y + x^7 + x^5 + x*y + x + y^2 + y]
[[ 4, 10, 4, 26, 24, 82 ],'<2, 1>',x^14 + x^10 + x^9 + x^8 + x^7*y + x^4 + x^3 + x^2 + x*y + x + y^2 + y]
[[ 6, 10, 12, 34, 16, 70 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^5 + x^4 + x^3 + x*y + y^2 + y]
[[ 4, 6, 16, 26, 44, 78 ],'<2, 1>',x^14 + x^13 + x^11 + x^7*y + x^5 + x^4 + x^3 + x*y + y^2 + y]
[[ 4, 6, 16, 26, 44, 78 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6 + x^4*y + x^3*y + x^2*y + x + y^2 + y]
[[ 0, 6, 0, 26, 50, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7*y + x^5 + x^3 + x*y + x + y^2 + y + 1]
[[ 6, 6, 12, 18, 36, 78 ],'<2, 1>',x^10 + x^8 + x^7*y + x^7 + x^4 + x^3 + x^2 + x*y + y^2 + y]
[[ 6, 6, 12, 18, 36, 78 ],'<2, 1>',x^11 + x^8 + x^7*y + x^6 + x^4 + x^3*y + x^3 + x^2 + y^2 + y]
[[ 6, 6, 12, 18, 36, 78 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x + y^2 + y]
[[ 2, 6, 8, 26, 32, 66 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^3 + x^2 + x*y + x + y^2 + y + 1]
[[ 0, 10, 6, 26, 50, 94 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^7*y + x^5 + x^4 + x^2 + x*y + y^2 + y + 1]
[[ 2, 6, 8, 18, 32, 66 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^5 + x^4 + x^3 + x^2 + x*y + y^2 + y + 1]
