[[ 2, 10, 8, 26, 42, 82 ],'<2, 1>',x^14 + x^13 + x^8 + x^7*y + x^7 + x^6 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 2, 10, 8, 26, 42, 82 ],'<2, 1>',x^14 + x^10 + x^8 + x^7*y + x^7 + x^6 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + y + 1]
[[ 4, 6, 10, 26, 44, 102 ],'<2, 1>',x^13 + x^9 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^3 + x + y^2 + y]
[[ 2, 10, 14, 10, 32, 70 ],'<2, 1>',x^14 + x^9 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^3 + x + y^2 + y]
[[ 2, 10, 14, 18, 22, 82 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x + y^2 + y + 1]
[[ 0, 6, 0, 18, 20, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 0, 6, 0, 18, 20, 66 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 0, 10, 12, 18, 30, 94 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7*y + x^4 + x^3*y + x^2 + x + y^2 + y + 1]
[[ 2, 10, 8, 26, 22, 106 ],'<2, 1>',x^13 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^3*y + x^3 + y^2 + y + 1]
[[ 0, 6, 12, 34, 10, 54 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7*y + x^4 + x^3*y + x^3 + x + y^2 + y + 1]
[[ 2, 10, 8, 26, 22, 58 ],'<2, 1>',x^13 + x^12 + x^11 + x^7*y + x^6 + x^5 + x^3*y + x^2 + y^2 + y + 1]
[[ 2, 10, 8, 18, 32, 58 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6 + x^3*y + x^3 + x^2 + y^2 + y + 1]
[[ 4, 6, 16, 34, 34, 66 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^8 + x^7*y + x^7 + x^4 + x^3*y + x^3 + y^2 + y]
[[ 6, 6, 12, 18, 46, 66 ],'<2, 1>',x^12 + x^10 + x^7*y + x^6 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 6, 6, 18, 18, 46, 66 ],'<2, 1>',x^13 + x^9 + x^7*y + x^6 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 6, 6, 18, 18, 46, 66 ],'<2, 1>',x^13 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^3*y + y^2 + y]
[[ 2, 6, 2, 34, 32, 66 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^4 + x^3*y + x^3 + x + y^2 + y + 1]
[[ 6, 6, 12, 26, 26, 78 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 4, 10, 10, 10, 54, 70 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7*y + x^5 + x^4 + x^3*y + x^2 + y^2 + y]
[[ 4, 10, 10, 18, 14, 106 ],'<2, 1>',x^14 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^3*y + x^3 + y^2 + y]
[[ 0, 10, 12, 26, 40, 94 ],'<2, 1>',x^14 + x^12 + x^8 + x^7*y + x^6 + x^5 + x^4 + x^3*y + y^2 + y + 1]
[[ 0, 10, 12, 26, 40, 94 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^8 + x^7*y + x^4 + x^3*y + x^3 + x + y^2 + y + 1]
[[ 0, 10, 12, 26, 40, 94 ],'<2, 1>',x^14 + x^12 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^5 + x^4*y + x^3*y + x^2*y + x + y^2 + y + 1]
[[ 0, 6, 12, 18, 30, 78 ],'<2, 1>',x^14 + x^12 + x^9 + x^7*y + x^6 + x^5 + x^3*y + x^3 + y^2 + y + 1]
[[ 4, 6, 10, 26, 54, 54 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^7*y + x^4 + x^3*y + x^3 + x^2 + y^2 + y]
[[ 0, 10, 12, 18, 10, 46 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7*y + x^7 + x^3*y + x^3 + x^2 + y^2 + y + 1]
[[ 4, 6, 4, 26, 34, 102 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^8 + x^7*y + x^7 + x^4 + x^3*y + x + y^2 + y]
