[[ 2, 6, 14, 26, 22, 102 ],'<2, 1>',x^14 + x^12 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^3 + x^2 + x*y + x + y^2 + y + 1]
[[ 4, 10, 4, 26, 24, 58 ],'<2, 1>',x^13 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^4 + x^3 + x^2 + x*y + x + y^2 + y + 1]
[[ 2, 6, 8, 18, 32, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^7*y + x^7 + x^6 + x^5 + x^2 + x*y + x + y^2 + y + 1]
[[ 2, 6, 8, 18, 32, 78 ],'<2, 1>',x^14 + x^9 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^3 + x + y^2 + y + 1]
[[ 2, 6, 8, 18, 32, 78 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x + y^2 + y + 1]
[[ 4, 10, 4, 18, 34, 70 ],'<2, 1>',x^13 + x^9 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3 + x*y + x + y^2 + y]
[[ 2, 10, 2, 26, 42, 70 ],'<2, 1>',x^14 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^3 + x^2 + x*y + x + y^2 + y + 1]
[[ 2, 10, 2, 26, 42, 70 ],'<2, 1>',x^14 + x^13 + x^11 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^3 + y^2 + y + 1]
[[ 2, 6, 8, 34, 52, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^2 + x*y + y^2 + y + 1]
[[ 2, 6, 8, 34, 52, 66 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^5 + x^4 + x^3*y + x^2 + y^2 + y + 1]
[[ 2, 10, 14, 18, 62, 82 ],'<2, 1>',x^14 + x^11 + x^9 + x^7*y + x^6 + x^5 + x^4 + x^3 + x^2 + x*y + x + y^2 + y + 1]
[[ 2, 10, 14, 18, 32, 70 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^7*y + x^7 + x^6 + x^5 + x^3 + x*y + x + y^2 + y + 1]
[[ 2, 10, 8, 10, 22, 34 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3 + x*y + y^2 + y]
