[[ 1, 5, 13, 25, 11, 83 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^2 + x + y^2 + y + 1]
[[ 3, 5, 9, 17, 23, 59 ],'<2, 1>',x^13 + x^10 + x^8 + x^6*y + x^5*y + y^2 + y]
[[ 3, 5, 3, 9, 53, 83 ],'<2, 1>',x^14 + x^9 + x^8 + x^6*y + x^5*y + y^2 + y]
[[ 3, 5, 12, 25, 33, 86 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^5 + x^4*y + x^3 + x^2 + y^2 + y + 1]
[[ 3, 9, 6, 9, 23, 54 ],'<2, 1>',x^14 + x^11 + x^7 + x^6*y + x^4*y + y^2 + y + 1]
[[ 3, 5, 12, 33, 33, 86 ],'<2, 1>',x^13 + x^8 + x^6*y + x^5 + x^4*y + y^2 + y]
[[ 3, 9, 6, 25, 3, 54 ],'<2, 1>',x^14 + x^8 + x^6*y + x^5 + x^4*y + y^2 + y]
[[ 3, 9, 12, 17, 43, 30 ],'<2, 1>',x^13 + x^11 + x^8 + x^6*y + x^4*y + y^2 + y + 1]
[[ 3, 9, 6, 25, 23, 78 ],'<2, 1>',x^14 + x^11 + x^9 + x^6*y + x^4*y + y^2 + y + 1]
[[ 3, 9, 12, 25, 23, 78 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^5 + x^4*y + x^2 + x + y^2 + y]
[[ 3, 9, 6, 9, 43, 54 ],'<2, 1>',x^13 + x^11 + x^9 + x^6*y + x^4*y + y^2 + y]
[[ 3, 9, 12, 17, 43, 78 ],'<2, 1>',x^14 + x^9 + x^8 + x^6*y + x^4*y + y^2 + y + 1]
[[ 3, 9, 12, 17, 43, 78 ],'<2, 1>',x^13 + x^11 + x^10 + x^6*y + x^4*y + y^2 + y]
[[ 3, 9, 6, 25, 43, 102 ],'<2, 1>',x^13 + x^10 + x^8 + x^6*y + x^4*y + y^2 + y]
[[ 3, 9, 6, 25, 43, 78 ],'<2, 1>',x^13 + x^8 + x^6*y + x^5 + x^4*y + y^2 + y + 1]
[[ 3, 9, 12, 17, 3, 102 ],'<2, 1>',x^13 + x^9 + x^8 + x^6*y + x^4*y + y^2 + y]
[[ 3, 5, 6, 25, 33, 62 ],'<2, 1>',x^14 + x^10 + x^9 + x^6*y + x^4*y + y^2 + y + 1]
[[ 3, 5, 6, 25, 33, 62 ],'<2, 1>',x^13 + x^11 + x^8 + x^6*y + x^4*y + y^2 + y]
[[ 3, 5, 6, 25, 33, 62 ],'<2, 1>',x^13 + x^11 + x^10 + x^6*y + x^4*y + y^2 + y + 1]
[[ 3, 9, 12, 17, 23, 78 ],'<2, 1>',x^13 + x^10 + x^9 + x^6*y + x^4*y + y^2 + y + 1]
[[ 3, 9, 12, 33, 43, 54 ],'<2, 1>',x^14 + x^10 + x^9 + x^6*y + x^4*y + y^2 + y]
[[ 3, 9, 12, 9, 23, 54 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^5 + x^4*y + x^4 + x + y^2 + y + 1]
[[ 3, 5, 6, 25, 33, 86 ],'<2, 1>',x^13 + x^10 + x^9 + x^6*y + x^4*y + y^2 + y]
[[ 3, 5, 12, 33, 53, 38 ],'<2, 1>',x^13 + x^10 + x^8 + x^6*y + x^4*y + y^2 + y + 1]
[[ 3, 9, 12, 25, 63, 54 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x + y^2 + y + 1]
[[ 3, 9, 6, 33, 23, 54 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^5 + x^4*y + x^2 + x + y^2 + y + 1]
[[ 3, 9, 12, 33, 23, 102 ],'<2, 1>',x^14 + x^11 + x^10 + x^6*y + x^4*y + y^2 + y + 1]
[[ 3, 5, 12, 25, 33, 62 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^4*y + x^4 + x^3 + x^2 + y^2 + y]
[[ 3, 5, 12, 25, 33, 62 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^5 + x^4*y + x^3 + x + y^2 + y + 1]
[[ 3, 5, 12, 25, 33, 62 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^5 + x^4*y + x^2 + x + y^2 + y]
[[ 3, 5, 6, 9, 33, 86 ],'<2, 1>',x^14 + x^9 + x^8 + x^6*y + x^4*y + y^2 + y]
[[ 3, 5, 6, 17, 33, 86 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^5 + x^4*y + x^3 + x + y^2 + y + 1]
[[ 3, 5, 6, 25, 33, 38 ],'<2, 1>',x^14 + x^11 + x^10 + x^6*y + x^4*y + y^2 + y]
[[ 3, 5, 6, 9, 53, 86 ],'<2, 1>',x^14 + x^11 + x^8 + x^6*y + x^4*y + y^2 + y + 1]
[[ 3, 9, 12, 17, 43, 54 ],'<2, 1>',x^14 + x^11 + x^8 + x^6*y + x^4*y + y^2 + y]
[[ 3, 9, 6, 17, 23, 78 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^4*y + x^4 + x^3 + y^2 + y + 1]
[[ 3, 9, 6, 17, 23, 78 ],'<2, 1>',x^14 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x + y^2 + y]
[[ 3, 5, 6, 17, 33, 38 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^6 + x^4*y + x^3 + x + y^2 + y + 1]
[[ 3, 5, 12, 25, 53, 62 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^5 + x^4*y + x^3 + x + y^2 + y]
[[ 5, 5, 8, 17, 35, 62 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^4*y + x + y^2 + y]
