[[ 2, 4, 11, 20, 47, 61 ],'<1, 1>',(x^6 + x^3 + 1)*y^3 + (x^5 + x^3 + x^2 + x)*y^2 + x^5*y + x^3]
[[ 5, 5, 5, 9, 40, 41 ],'<1, 1>',(x^6 + x^4 + x^2 + 1)*y^3 + x^5*y^2 + (x^5 + x^3)*y + x^4]
[[ 4, 6, 10, 26, 64, 54 ],'<1, 1>',(x^6 + x^5 + x^4 + x^3 + x + 1)*y^3 + (x^6 + x^5)*y^2 + (x^5 + x^2)*y + x^3]
[[ 3, 7, 3, 11, 63, 91 ],'<1, 1>',(x^6 + x^4 + x^2 + 1)*y^3 + (x^3 + x^2 + x)*y^2 + (x^4 + x^3 + x^2)*y + x^4]
[[ 3, 5, 24, 17, 33, 86 ],'<1, 1>',(x^6 + x^2 + x + 1)*y^3 + (x^6 + x^5 + x^4 + x^3)*y^2 + (x^4 + x^2)*y + x^3]
[[ 1, 1, 19, 21, 16, 91 ],'<1, 1>',(x^7 + x^6 + x^5 + x^4 + x^2 + x + 1)*y^3 + (x^5 + x^2 + x)*y^2 + (x^4 + x^3)*y + x^3]
[[ 6, 10, 12, 34, 26, 58 ],'<1, 1>',(x^4 + x)*y^3 + (x^6 + x^4)*y^2 + (x^5 + x^4 + x^3)*y + x^3]
[[ 4, 12, 7, 20, 29, 81 ],'<1, 1>',(x^6 + x^3)*y^3 + (x^6 + x^2 + x)*y^2 + x^2*y + x^3]
[[ 6, 10, 9, 26, 31, 73 ],'<1, 1>',(x^3 + x^2)*y^3 + (x^6 + x^5 + x^4 + x^3 + x^2 + x)*y^2 + (x^5 + x^4 + x^2)*y + x^3]
[[ 2, 4, 11, 20, 47, 61 ],'<1, 1>',(x^6 + x^5 + x^2 + x + 1)*y^3 + (x^6 + x^3)*y^2 + (x^5 + x^2)*y + x^4 + x^3]
[[ 2, 2, 14, 26, 52, 92 ],'<1, 1>',(x^6 + x^5 + x^4 + x + 1)*y^3 + (x^6 + x^3 + x^2)*y^2 + (x^3 + x^2)*y + x^3]
[[ 5, 11, 5, 35, 55, 59 ],'<2, 1>',(x^6 + x^5 + x^4 + x^3 + x^2 + x)*y^3 + (x^6 + x^4)*y^2 + (x^5 + x^3)*y + x^3]
[[ 1, 7, 10, 11, 31, 58 ],'<1, 1>',(x^7 + x^6 + x^5 + x^4 + x^3 + x + 1)*y^3 + (x^6 + x^5 + x)*y^2 + (x^5 + x^3)*y + x^3]
[[ 3, 5, 24, 17, 28, 92 ],'<1, 1>',(x^6 + x^5 + x^3 + x + 1)*y^3 + (x^5 + x^4 + x^3 + x)*y^2 + (x^5 + x^3)*y + x^4 + x^3]
[[ 3, 7, 15, 11, 23, 67 ],'<1, 1>',(x^6 + x^4 + x^2 + 1)*y^3 + (x^5 + x^4 + x^2)*y^2 + (x^5 + x^3 + x^2)*y + x^3]
[[ 3, 7, 9, 47, 33, 55 ],'<1, 1>',(x^6 + x^4 + x^2 + 1)*y^3 + (x^6 + x^4 + x)*y^2 + x^4*y + x^3]
[[ 1, 5, 10, 9, 41, 74 ],'<1, 1>',(x^7 + x^6 + x^5 + x^4 + x^2 + x + 1)*y^3 + x^4*y^2 + (x^4 + x^2)*y + x^3]
[[ 5, 11, 14, 23, 25, 86 ],'<1, 1>',(x^5 + x)*y^3 + (x^6 + x^5 + x^4 + x^2 + x)*y^2 + (x^5 + x^3 + x^2)*y + x^3]
[[ 4, 6, 10, 26, 44, 126 ],'<1, 1>',(x^6 + x^5 + x^2 + 1)*y^3 + (x^6 + x^4)*y^2 + (x^5 + x^4 + x^3 + x^2)*y + x^3]
[[ 3, 13, 3, 29, 28, 49 ],'<1, 1>',(x^6 + x^3 + x^2 + 1)*y^3 + (x^3 + x^2 + x)*y^2 + (x^4 + x^3 + x^2)*y + x^4]
