[[0, 4, 5, 7], [2, 4], [3, 5], [6, 7]]
[[5,9,5,17,40,75],[34, 35, 17, 18, 53]]
[[5,11,11,19,30,71],[34, 37, 17, 18, 53]]
[[3,7,15,31,53,61],[34, 37, 17, 18, 54]]
[[3,9,9,33,28,81],[34, 17, 38, 18, 54]]
[[4,16,7,24,24,79],[34, 17, 18, 39, 53]]
[[2,10,2,22,42,88],[34, 17, 18, 39, 54]]
[[4,12,7,28,49,69],[34, 40, 17, 18, 54]]
[[3,11,6,43,28,38],[34, 42, 17, 18, 54]]
[[5,9,14,29,25,54],[34, 17, 43, 18, 53]]
[[3,11,12,19,43,86],[34, 17, 43, 18, 54]]
[[4,6,13,30,29,75],[34, 17, 52, 18, 44]]
[[3,5,12,45,43,56],[34, 17, 18, 44, 53]]
[[3,15,6,23,38,72],[34, 17, 18, 44, 54]]
[[5,11,8,19,40,62],[34, 49, 17, 18, 53]]
[[3,13,6,25,18,76],[34, 49, 17, 18, 54]]
[[5,13,14,21,40,40],[34, 17, 50, 18, 53]]
[[4,8,7,20,24,107],[34, 17, 18, 51, 53]]
[[2,4,5,36,37,43],[34, 17, 18, 51, 54]]
[[6,12,15,16,31,69],[34, 17, 52, 18, 53]]
[[3,5,9,25,48,77],[34, 17, 18, 53, 54]]
[[3,9,9,33,43,87],[35, 37, 17, 18, 54]]
[[5,17,5,25,30,59],[35, 17, 38, 18, 53]]
[[3,9,9,21,48,87],[35, 17, 38, 18, 54]]
[[2,6,5,30,42,57],[35, 17, 18, 39, 54]]
[[4,12,10,28,44,78],[35, 40, 17, 18, 53]]
[[3,11,3,39,33,47],[35, 42, 17, 18, 54]]
[[3,5,6,33,28,50],[35, 17, 43, 18, 54]]
[[4,12,13,24,29,69],[35, 17, 52, 18, 44]]
[[3,13,6,33,38,58],[35, 17, 18, 44, 53]]
[[5,11,17,19,25,83],[35, 49, 17, 18, 53]]
[[5,13,8,29,40,58],[35, 17, 50, 18, 53]]
[[3,7,6,35,23,40],[35, 17, 50, 18, 54]]
[[5,11,17,19,40,59],[35, 17, 52, 18, 51]]
[[2,10,5,26,32,61],[35, 17, 18, 51, 54]]
[[6,14,9,30,16,53],[35, 17, 52, 18, 53]]
[[3,9,15,21,48,69],[35, 17, 18, 53, 54]]
[[5,9,14,29,40,60],[37, 17, 38, 18, 53]]
[[4,10,7,18,19,91],[37, 17, 18, 39, 53]]
[[2,8,2,24,37,74],[37, 17, 18, 39, 54]]
[[4,10,10,18,74,70],[40, 37, 17, 18, 54]]
[[5,13,11,21,35,73],[37, 42, 17, 18, 53]]
[[5,15,11,23,30,51],[37, 17, 43, 18, 53]]
[[3,9,6,33,28,78],[37, 17, 43, 18, 54]]
[[4,14,7,30,34,65],[37, 17, 52, 18, 44]]
[[3,13,6,25,38,76],[37, 17, 18, 44, 53]]
[[3,15,6,15,38,90],[37, 17, 18, 44, 54]]
[[5,9,8,25,10,90],[37, 49, 17, 18, 53]]
[[3,11,6,31,23,74],[37, 49, 17, 18, 54]]
