[[0, 4, 5, 7], [2, 4], [3, 5], [6, 7]]
[[2,6,11,22,22,75],[10, 16, 49, 53, 54]]
[[3,13,9,25,38,73],[10, 16, 50, 51, 53]]
[[2,8,14,32,17,80],[10, 16, 50, 53, 54]]
[[4,10,7,34,44,91],[10, 16, 52, 51, 53]]
[[3,11,12,27,33,86],[10, 16, 51, 53, 54]]
[[4,8,19,24,39,77],[10, 34, 17, 18, 53]]
[[2,8,5,28,27,41],[10, 34, 17, 18, 54]]
[[4,12,13,28,44,45],[10, 35, 17, 18, 53]]
[[2,8,2,32,22,32],[10, 35, 17, 18, 54]]
[[4,12,13,20,29,87],[10, 37, 17, 18, 53]]
[[2,8,8,32,52,62],[10, 37, 17, 18, 54]]
[[4,12,10,20,49,78],[10, 17, 38, 18, 53]]
[[2,12,5,20,32,81],[10, 17, 38, 18, 54]]
[[5,11,17,27,20,47],[10, 17, 18, 39, 53]]
[[3,9,15,29,33,87],[10, 17, 18, 39, 54]]
[[3,11,6,27,23,92],[10, 40, 17, 18, 53]]
[[3,5,6,33,18,56],[10, 40, 17, 18, 54]]
[[4,12,10,32,34,84],[10, 42, 17, 18, 53]]
[[2,6,5,22,47,87],[10, 42, 17, 18, 54]]
[[4,10,13,22,44,61],[10, 17, 43, 18, 53]]
[[2,12,8,24,37,66],[10, 17, 43, 18, 54]]
[[1,13,19,21,31,91],[10, 17, 52, 18, 44]]
[[4,8,25,20,29,77],[10, 17, 18, 44, 54]]
[[4,14,10,22,29,86],[10, 49, 17, 18, 53]]
[[2,8,11,28,17,113],[10, 49, 17, 18, 54]]
[[4,12,10,28,29,72],[10, 17, 50, 18, 53]]
[[2,14,8,26,42,68],[10, 17, 50, 18, 54]]
[[5,11,14,19,45,68],[10, 17, 18, 51, 53]]
[[3,7,18,31,38,64],[10, 17, 18, 51, 54]]
[[3,9,6,33,33,78],[10, 17, 52, 18, 53]]
[[4,8,10,36,39,92],[10, 17, 18, 53, 54]]
