[ 34, 17, 43, 52, 53, 54 ],1
[ 34, 49, 17, 52, 44, 51 ],1
[ 34, 49, 17, 52, 44, 53 ],1
[ 34, 17, 50, 52, 44, 51 ],1
[ 34, 17, 50, 52, 44, 53 ],1
[ 13, 34, 14, 35, 38, 50, 52, 18, 39, 44, 51, 53 ],1
[ 34, 17, 52, 44, 51, 53 ],1
[ 34, 17, 52, 44, 51, 54 ],2
[ 34, 17, 52, 44, 53, 54 ],1
[ 34, 49, 17, 52, 51, 53 ],1
[ 34, 17, 52, 51, 53, 54 ],1
[ 35, 37, 42, 17, 52, 53 ],1
[ 35, 37, 17, 50, 52, 51 ],1
[ 35, 37, 17, 52, 53, 54 ],1
[ 35, 40, 17, 38, 52, 53 ],1
[ 35, 17, 38, 52, 44, 51 ],1
[ 13, 34, 14, 35, 40, 42, 49, 17, 43, 52, 44, 51 ],1
[ 35, 17, 38, 52, 44, 53 ],1
[ 35, 17, 38, 50, 52, 51 ],1
[ 35, 17, 38, 52, 53, 54 ],1
[ 35, 49, 17, 52, 39, 53 ],1
[ 35, 40, 42, 17, 52, 53 ],1
[ 35, 40, 17, 50, 52, 53 ],1
[ 35, 40, 17, 52, 51, 53 ],1
[ 35, 42, 17, 52, 44, 53 ],1
[ 35, 42, 17, 50, 52, 53 ],1
[ 35, 17, 43, 50, 52, 53 ],1
[ 35, 17, 43, 52, 51, 53 ],1
[ 35, 17, 43, 52, 53, 54 ],1
[ 35, 17, 50, 52, 44, 53 ],1
[ 35, 17, 50, 52, 44, 54 ],1
[ 35, 17, 52, 44, 51, 54 ],2
[ 35, 17, 50, 52, 53, 54 ],1
[ 35, 17, 52, 51, 53, 54 ],1
[ 13, 14, 35, 37, 42, 17, 43, 52, 44, 51, 53, 54 ],1
[ 37, 17, 38, 52, 53, 54 ],1
[ 40, 37, 17, 52, 39, 53 ],1
[ 13, 34, 14, 35, 42, 17, 38, 52, 39, 44, 51, 53 ],1
[ 37, 42, 17, 52, 39, 53 ],1
[ 37, 17, 43, 52, 39, 53 ],1
[ 37, 17, 50, 52, 39, 51 ],2
[ 37, 17, 52, 39, 53, 54 ],1
[ 40, 37, 49, 17, 52, 53 ],1
[ 40, 37, 17, 52, 51, 54 ],1
[ 40, 37, 17, 52, 53, 54 ],1
[ 37, 42, 17, 43, 52, 51 ],1
[ 37, 42, 17, 43, 52, 53 ],1
[ 37, 42, 17, 50, 52, 53 ],1
[ 13, 14, 37, 42, 49, 17, 43, 50, 52, 39, 44, 53 ],1
[ 37, 42, 17, 50, 52, 54 ],1
[ 37, 42, 17, 52, 51, 53 ],1
[ 37, 42, 17, 52, 51, 54 ],2
[ 37, 17, 43, 50, 52, 54 ],1
[ 37, 17, 43, 52, 51, 53 ],1
[ 37, 17, 43, 52, 51, 54 ],1
