[[0, 8], [2, 4], [3, 5], [6, 7]]
[[4,6,13,26,14,75],[10, 13, 14, 35, 40, 16, 37, 42, 49, 17, 38, 43, 52, 18, 39, 44, 51]]
[[3,9,18,21,38,72],[10, 13, 14, 35, 40, 16, 37, 42, 49, 17, 38, 43, 18, 39, 44, 51, 54]]
[[2,4,14,24,32,82],[10, 13, 14, 35, 40, 16, 37, 42, 49, 17, 38, 43, 52, 18, 39, 44, 54]]
[[3,5,21,17,28,77],[10, 13, 14, 35, 40, 16, 37, 42, 17, 38, 43, 50, 52, 18, 39, 44, 53]]
[[2,4,11,36,57,67],[10, 13, 14, 35, 40, 16, 37, 42, 17, 38, 43, 50, 18, 39, 44, 53, 54]]
[[1,1,19,17,21,55],[10, 13, 14, 35, 40, 16, 37, 42, 17, 38, 43, 52, 18, 39, 44, 51, 54]]
[[2,6,5,14,52,75],[10, 13, 14, 35, 40, 16, 37, 42, 17, 38, 43, 18, 39, 44, 51, 53, 54]]
[[4,10,10,34,29,46],[10, 13, 14, 35, 40, 16, 37, 42, 49, 17, 38, 43, 50, 52, 18, 39, 54]]
[[6,8,12,28,21,86],[10, 13, 14, 35, 40, 16, 37, 42, 49, 17, 38, 43, 52, 18, 39, 51, 53]]
[[4,6,22,26,34,66],[10, 13, 14, 35, 40, 16, 37, 42, 49, 17, 38, 43, 52, 18, 39, 51, 54]]
[[3,3,12,7,33,78],[10, 13, 14, 35, 40, 16, 37, 42, 49, 17, 38, 43, 18, 39, 51, 53, 54]]
[[3,9,12,25,23,72],[10, 13, 14, 35, 40, 16, 37, 42, 17, 38, 43, 52, 18, 39, 51, 53, 54]]
[[4,6,7,30,34,93],[10, 13, 14, 35, 40, 16, 37, 42, 49, 17, 38, 50, 52, 18, 39, 44, 54]]
[[4,4,13,24,44,85],[10, 13, 14, 35, 40, 16, 37, 42, 49, 17, 38, 52, 18, 39, 44, 51, 53]]
[[5,11,8,15,45,80],[10, 13, 14, 35, 40, 16, 37, 42, 49, 17, 38, 18, 39, 44, 51, 53, 54]]
[[2,6,17,22,37,75],[10, 13, 14, 35, 40, 16, 37, 42, 49, 17, 38, 52, 18, 39, 44, 53, 54]]
[[3,7,12,31,33,52],[10, 13, 14, 35, 40, 16, 37, 42, 17, 38, 50, 52, 18, 39, 44, 51, 54]]
