[[0, 8], [2, 4], [3, 5], [6, 7]]
[[1,5,4,29,46,62],[10, 16, 37, 42, 17, 43, 50, 52, 18, 39, 44, 51, 53, 54]]
[[1,3,16,19,31,48],[10, 40, 16, 37, 42, 49, 17, 43, 50, 52, 18, 44, 53, 54]]
[[1,7,10,23,46,70],[10, 40, 16, 37, 42, 49, 17, 43, 50, 52, 18, 51, 53, 54]]
[[1,3,4,35,51,90],[10, 40, 16, 37, 49, 17, 43, 50, 52, 18, 44, 51, 53, 54]]
[[3,5,6,17,48,68],[10, 40, 16, 42, 49, 17, 38, 43, 50, 52, 18, 39, 44, 51]]
[[4,6,7,30,34,93],[10, 40, 16, 42, 49, 17, 38, 43, 50, 18, 39, 44, 51, 54]]
[[4,6,10,30,44,102],[10, 40, 16, 42, 49, 17, 38, 43, 50, 18, 39, 44, 53, 54]]
[[4,12,10,24,29,90],[10, 40, 16, 42, 17, 38, 43, 50, 52, 18, 39, 44, 51, 54]]
[[3,7,9,27,33,109],[10, 40, 16, 42, 49, 17, 38, 43, 50, 52, 18, 39, 51, 53]]
[[1,7,4,27,31,46],[10, 40, 16, 42, 49, 17, 38, 43, 50, 52, 18, 39, 51, 54]]
[[2,4,11,20,37,31],[10, 40, 16, 42, 49, 17, 38, 43, 50, 18, 39, 51, 53, 54]]
[[3,7,9,11,33,67],[10, 40, 16, 42, 49, 17, 38, 43, 50, 52, 18, 39, 53, 54]]
[[4,8,13,20,49,71],[10, 40, 16, 42, 17, 38, 43, 50, 52, 18, 39, 51, 53, 54]]
[[3,9,9,13,38,87],[10, 40, 16, 42, 49, 17, 38, 50, 52, 18, 39, 44, 51, 53]]
[[2,6,11,22,32,69],[10, 40, 16, 42, 49, 17, 38, 50, 18, 39, 44, 51, 53, 54]]
[[2,8,11,20,22,71],[10, 40, 16, 42, 17, 38, 50, 52, 18, 39, 44, 51, 53, 54]]
[[2,6,14,30,32,90],[10, 40, 16, 49, 17, 38, 43, 50, 18, 39, 44, 51, 53, 54]]
[[3,5,9,25,53,35],[10, 40, 16, 49, 17, 38, 43, 50, 52, 18, 39, 44, 53, 54]]
[[1,5,10,21,31,74],[10, 40, 16, 49, 17, 38, 43, 52, 18, 39, 44, 51, 53, 54]]
[[2,4,11,20,17,97],[10, 40, 16, 17, 38, 43, 50, 52, 18, 39, 44, 51, 53, 54]]
[[2,8,17,28,17,101],[10, 16, 42, 49, 17, 38, 43, 50, 52, 18, 39, 44, 51, 54]]
[[1,9,16,25,61,78],[10, 16, 42, 49, 17, 38, 43, 50, 18, 39, 44, 51, 53, 54]]
[[4,6,7,30,39,111],[10, 16, 42, 49, 17, 38, 43, 50, 52, 18, 39, 51, 53, 54]]
[[2,4,8,24,17,100],[10, 16, 42, 49, 17, 38, 50, 52, 18, 39, 44, 51, 53, 54]]
[[3,3,12,39,38,78],[10, 40, 16, 42, 49, 17, 38, 43, 50, 52, 18, 44, 51, 53]]
[[1,5,7,29,31,77],[10, 40, 16, 42, 49, 17, 38, 43, 50, 52, 18, 44, 51, 54]]
[[2,4,5,20,37,67],[10, 40, 16, 42, 49, 17, 38, 43, 50, 18, 44, 51, 53, 54]]
[[3,7,9,35,28,67],[10, 40, 16, 42, 49, 17, 38, 43, 50, 52, 18, 44, 53, 54]]
[[4,10,13,22,39,37],[10, 40, 16, 42, 17, 38, 43, 50, 52, 18, 44, 51, 53, 54]]
[[1,1,13,21,21,103],[10, 40, 16, 42, 49, 17, 38, 43, 50, 52, 18, 51, 53, 54]]
[[1,5,10,17,41,62],[10, 40, 16, 42, 49, 17, 38, 50, 52, 18, 44, 51, 53, 54]]
[[3,7,12,23,18,100],[10, 40, 16, 49, 17, 38, 43, 50, 52, 18, 44, 51, 53, 54]]
[[2,6,20,26,37,72],[10, 16, 42, 49, 17, 38, 43, 50, 52, 18, 44, 51, 53, 54]]
[[2,4,11,20,27,61],[10, 40, 16, 42, 49, 17, 43, 50, 18, 39, 44, 51, 53, 54]]
[[2,6,8,26,37,48],[10, 40, 16, 42, 17, 43, 50, 52, 18, 39, 44, 51, 53, 54]]
[[1,3,4,19,31,60],[10, 40, 16, 42, 49, 17, 43, 50, 52, 18, 39, 51, 53, 54]]
[[1,3,10,31,31,108],[10, 40, 16, 49, 17, 43, 50, 52, 18, 39, 44, 51, 53, 54]]
[[0,6,9,30,40,87],[10, 16, 42, 49, 17, 43, 50, 52, 18, 39, 44, 51, 53, 54]]
[[3,5,18,21,43,86],[10, 40, 16, 42, 49, 17, 43, 50, 52, 18, 44, 51, 53, 54]]
[[2,6,8,22,42,54],[10, 34, 35, 40, 16, 37, 42, 49, 17, 38, 43, 39, 44, 51]]
[[3,3,9,35,28,75],[10, 34, 35, 40, 16, 37, 42, 49, 17, 38, 43, 52, 39, 44]]
[[2,6,8,30,42,84],[10, 34, 35, 40, 16, 37, 42, 49, 17, 38, 43, 39, 44, 54]]
[[2,8,11,32,42,77],[10, 34, 35, 40, 16, 37, 42, 17, 38, 43, 50, 52, 39, 44]]
[[3,7,3,23,38,85],[10, 34, 35, 40, 16, 37, 42, 17, 38, 43, 50, 39, 44, 53]]
[[4,8,10,32,44,68],[10, 34, 35, 40, 16, 37, 42, 17, 38, 43, 52, 39, 44, 51]]
[[1,7,4,23,21,70],[10, 34, 35, 40, 16, 37, 42, 17, 38, 43, 39, 44, 51, 54]]
[[2,4,17,16,22,97],[10, 34, 35, 40, 16, 37, 42, 17, 38, 43, 52, 39, 44, 53]]
[[2,4,5,16,47,25],[10, 34, 35, 40, 16, 37, 42, 17, 38, 43, 52, 39, 44, 54]]
[[2,4,8,28,27,82],[10, 34, 35, 40, 16, 37, 42, 49, 17, 38, 43, 50, 39, 54]]
[[3,3,18,23,38,72],[10, 34, 35, 40, 16, 37, 42, 49, 17, 38, 43, 52, 39, 51]]
[[4,10,10,26,29,58],[10, 34, 35, 40, 16, 37, 42, 49, 17, 38, 43, 39, 51, 53]]
[[2,6,2,22,22,90],[10, 34, 35, 40, 16, 37, 42, 49, 17, 38, 43, 39, 51, 54]]
[[4,10,7,14,24,67],[10, 34, 35, 40, 16, 37, 42, 49, 17, 38, 43, 39, 53, 54]]
[[2,8,11,20,42,65],[10, 34, 35, 40, 16, 37, 42, 17, 38, 43, 50, 52, 39, 51]]
[[2,8,11,12,37,47],[10, 34, 35, 40, 16, 37, 42, 17, 38, 43, 50, 52, 39, 54]]
[[4,6,10,14,54,84],[10, 34, 35, 40, 16, 37, 42, 17, 38, 43, 52, 39, 51, 54]]
[[2,6,20,22,22,78],[10, 34, 35, 40, 16, 37, 42, 17, 38, 43, 52, 39, 53, 54]]
[[3,5,9,25,43,77],[10, 34, 35, 40, 16, 37, 42, 49, 17, 38, 50, 52, 39, 44]]
[[2,4,11,24,47,79],[10, 34, 35, 40, 16, 37, 42, 49, 17, 38, 50, 39, 44, 54]]
[[3,5,3,33,23,59],[10, 34, 35, 40, 16, 37, 42, 49, 17, 38, 52, 39, 44, 51]]
[[2,6,8,38,32,78],[10, 34, 35, 40, 16, 37, 42, 49, 17, 38, 39, 44, 51, 53]]
[[1,5,16,29,26,86],[10, 34, 35, 40, 16, 37, 42, 17, 38, 50, 39, 44, 51, 54]]
