[[0, 8], [2, 4], [3, 5], [6, 7]]
[[4,4,16,28,39,88],[13, 34, 40, 16, 37, 17, 44]]
[[6,6,12,30,46,84],[13, 34, 40, 16, 37, 17, 51]]
[[5,7,14,27,45,58],[13, 34, 16, 37, 42, 17, 44]]
[[5,11,14,15,35,68],[13, 34, 16, 37, 42, 17, 51]]
[[5,9,14,25,30,60],[13, 34, 16, 37, 42, 17, 54]]
[[3,9,9,29,33,57],[13, 34, 16, 37, 17, 43, 44]]
[[3,7,12,27,28,88],[13, 34, 16, 37, 17, 43, 54]]
[[4,10,16,30,19,82],[13, 34, 16, 37, 17, 52, 44]]
[[5,7,14,27,50,76],[13, 34, 16, 37, 17, 44, 53]]
[[5,7,14,19,35,64],[13, 34, 16, 37, 17, 44, 54]]
[[4,8,16,16,24,74],[13, 34, 16, 37, 49, 17, 51]]
[[4,4,4,16,34,40],[13, 34, 16, 37, 49, 17, 54]]
[[3,7,6,15,28,82],[13, 34, 16, 37, 17, 50, 51]]
[[4,10,16,22,24,94],[13, 34, 16, 37, 17, 52, 51]]
[[5,7,14,31,35,64],[13, 34, 16, 37, 17, 51, 54]]
[[2,10,11,26,42,103],[13, 34, 16, 37, 17, 52, 54]]
[[3,7,15,31,33,91],[13, 34, 16, 37, 17, 53, 54]]
[[3,7,6,11,58,70],[13, 34, 16, 17, 38, 39, 51]]
[[4,8,16,24,24,98],[13, 34, 40, 16, 17, 38, 44]]
[[4,8,10,44,19,68],[13, 34, 40, 16, 17, 38, 51]]
[[4,10,16,30,24,88],[13, 34, 40, 16, 17, 38, 54]]
[[3,3,12,23,48,54],[13, 34, 16, 42, 17, 38, 44]]
[[5,9,20,9,35,84],[13, 34, 16, 42, 17, 38, 51]]
[[5,7,11,19,30,91],[13, 34, 16, 17, 38, 44, 51]]
[[2,2,8,22,37,74],[13, 34, 16, 49, 17, 38, 54]]
[[4,8,16,12,14,98],[13, 34, 16, 17, 38, 52, 54]]
[[6,8,9,32,31,71],[13, 34, 40, 16, 17, 39, 44]]
[[5,7,8,27,30,64],[13, 34, 16, 42, 17, 39, 44]]
