[[2, 7], [3, 5], [4, 7], [6, 7]]
[0, 10, 5, 14, 40, 7, 43, 9, 51, 54]
[0, 10, 5, 14, 40, 7, 43, 52, 9, 53]
[0, 10, 5, 14, 40, 7, 43, 52, 9, 54]
[0, 10, 5, 14, 40, 7, 43, 9, 53, 54]
[0, 10, 5, 14, 40, 7, 49, 50, 9, 44]
[0, 10, 5, 14, 40, 7, 49, 9, 44, 51]
[0, 10, 5, 14, 40, 7, 49, 52, 9, 44]
[0, 10, 5, 14, 40, 7, 49, 9, 44, 53]
[0, 10, 5, 14, 40, 7, 49, 9, 44, 54]
[0, 10, 5, 14, 40, 7, 50, 9, 44, 51]
[0, 10, 5, 14, 40, 7, 50, 52, 9, 44]
[0, 10, 5, 14, 40, 7, 50, 9, 44, 53]
[0, 10, 5, 14, 40, 7, 50, 9, 44, 54]
[0, 10, 5, 14, 40, 7, 52, 9, 44, 51]
[0, 10, 5, 14, 40, 7, 9, 44, 51, 53]
[0, 10, 5, 14, 40, 7, 9, 44, 51, 54]
[0, 10, 5, 14, 40, 7, 52, 9, 44, 53]
[0, 10, 5, 14, 40, 7, 52, 9, 44, 54]
[0, 10, 5, 14, 40, 7, 9, 44, 53, 54]
[0, 10, 5, 14, 40, 7, 49, 50, 9, 51]
[0, 10, 5, 14, 40, 7, 49, 50, 52, 9]
[0, 10, 5, 14, 40, 7, 49, 50, 9, 53]
[0, 10, 5, 14, 40, 7, 49, 50, 9, 54]
[0, 10, 5, 14, 40, 7, 49, 52, 9, 51]
[0, 10, 5, 14, 40, 7, 49, 9, 51, 53]
[0, 10, 5, 14, 40, 7, 49, 9, 51, 54]
[0, 10, 5, 14, 40, 7, 49, 52, 9, 53]
[0, 10, 5, 14, 40, 7, 49, 52, 9, 54]
[0, 10, 5, 14, 40, 7, 49, 9, 53, 54]
[0, 10, 5, 14, 40, 7, 50, 52, 9, 51]
[0, 10, 5, 14, 40, 7, 50, 9, 51, 53]
[0, 10, 5, 14, 40, 7, 50, 9, 51, 54]
[0, 10, 5, 14, 40, 7, 50, 52, 9, 53]
[0, 10, 5, 14, 40, 7, 50, 52, 9, 54]
[0, 10, 5, 14, 40, 7, 50, 9, 53, 54]
[0, 10, 5, 14, 40, 7, 52, 9, 51, 53]
[0, 10, 5, 14, 40, 7, 52, 9, 51, 54]
