[[2], [3, 5], [4], [6, 7]]
[[2,10,11,42,32,67],[0, 1, 10, 5, 14, 7, 16, 8, 17, 52, 9, 51, 54]]
[[1,7,13,23,61,79],[0, 1, 10, 5, 14, 7, 16, 8, 17, 52, 9, 53, 54]]
[[3,7,12,15,13,88],[0, 1, 10, 5, 14, 7, 16, 8, 52, 9, 18, 51, 54]]
[[2,8,11,24,22,77],[0, 1, 10, 5, 14, 7, 16, 8, 52, 9, 18, 53, 54]]
[[2,6,8,30,52,66],[0, 1, 10, 5, 14, 40, 7, 16, 8, 52, 9, 51, 54]]
[[1,7,4,31,26,88],[0, 1, 10, 5, 14, 40, 7, 16, 8, 52, 9, 53, 54]]
[[3,7,12,15,13,88],[0, 1, 10, 5, 14, 7, 16, 42, 8, 52, 9, 51, 54]]
[[2,8,11,24,22,77],[0, 1, 10, 5, 14, 7, 16, 42, 8, 52, 9, 53, 54]]
[[3,5,9,21,33,125],[0, 1, 10, 5, 14, 7, 16, 8, 43, 52, 9, 51, 54]]
[[2,6,14,14,22,66],[0, 1, 10, 5, 14, 7, 16, 8, 43, 52, 9, 53, 54]]
[[2,6,8,30,52,66],[0, 1, 10, 5, 14, 7, 16, 8, 52, 9, 44, 51, 54]]
[[1,7,4,31,26,88],[0, 1, 10, 5, 14, 7, 16, 8, 52, 9, 44, 53, 54]]
[[3,5,9,21,33,125],[0, 1, 10, 5, 14, 7, 16, 49, 8, 52, 9, 51, 54]]
[[2,6,14,14,22,66],[0, 1, 10, 5, 14, 7, 16, 49, 8, 52, 9, 53, 54]]
[[2,8,17,28,7,89],[0, 1, 10, 5, 14, 7, 16, 8, 52, 9, 51, 53, 54]]
[[2,6,5,30,22,75],[0, 1, 10, 5, 14, 7, 8, 17, 50, 52, 9, 18, 54]]
[[2,6,17,18,7,81],[0, 1, 10, 5, 14, 7, 8, 17, 52, 9, 18, 51, 54]]
[[1,11,7,27,41,65],[0, 1, 10, 5, 14, 7, 8, 17, 52, 9, 18, 53, 54]]
[[1,7,4,39,51,64],[0, 1, 10, 5, 14, 40, 7, 8, 17, 50, 52, 9, 54]]
[[1,9,1,37,56,57],[0, 1, 10, 5, 14, 40, 7, 8, 17, 52, 9, 51, 54]]
[[0,6,6,26,45,90],[0, 1, 10, 5, 14, 40, 7, 8, 17, 52, 9, 53, 54]]
[[2,6,5,30,22,75],[0, 1, 10, 5, 14, 7, 42, 8, 17, 50, 52, 9, 54]]
[[2,6,17,18,7,81],[0, 1, 10, 5, 14, 7, 42, 8, 17, 52, 9, 51, 54]]
[[1,11,7,27,41,65],[0, 1, 10, 5, 14, 7, 42, 8, 17, 52, 9, 53, 54]]
[[2,8,17,32,22,101],[0, 1, 10, 5, 14, 7, 8, 17, 43, 50, 52, 9, 54]]
[[2,8,11,28,57,71],[0, 1, 10, 5, 14, 7, 8, 17, 43, 52, 9, 51, 54]]
[[1,9,13,33,31,93],[0, 1, 10, 5, 14, 7, 8, 17, 43, 52, 9, 53, 54]]
[[1,5,10,33,21,92],[0, 1, 10, 5, 14, 7, 8, 17, 50, 52, 9, 44, 54]]
[[1,5,10,25,21,86],[0, 1, 10, 5, 14, 7, 8, 17, 52, 9, 44, 51, 54]]
[[0,6,3,18,25,81],[0, 1, 10, 5, 14, 7, 8, 17, 52, 9, 44, 53, 54]]
[[2,8,17,32,22,101],[0, 1, 10, 5, 14, 7, 49, 8, 17, 50, 52, 9, 54]]
[[2,8,11,28,57,71],[0, 1, 10, 5, 14, 7, 49, 8, 17, 52, 9, 51, 54]]
[[1,9,13,33,31,93],[0, 1, 10, 5, 14, 7, 49, 8, 17, 52, 9, 53, 54]]
[[1,7,7,23,16,79],[0, 1, 10, 5, 14, 7, 8, 17, 50, 52, 9, 53, 54]]
[[1,11,10,19,26,68],[0, 1, 10, 5, 14, 7, 8, 17, 52, 9, 51, 53, 54]]
[[2,8,5,40,42,53],[0, 1, 10, 5, 14, 40, 7, 8, 50, 52, 9, 18, 54]]
[[3,9,9,37,23,57],[0, 1, 10, 5, 14, 7, 42, 8, 50, 52, 9, 18, 54]]
[[3,9,9,29,33,69],[0, 1, 10, 5, 14, 7, 8, 43, 50, 52, 9, 18, 54]]
[[2,6,11,34,32,75],[0, 1, 10, 5, 14, 7, 8, 50, 52, 9, 18, 44, 54]]
[[3,9,9,29,33,69],[0, 1, 10, 5, 14, 7, 49, 8, 50, 52, 9, 18, 54]]
[[2,8,8,24,32,92],[0, 1, 10, 5, 14, 7, 8, 50, 52, 9, 18, 53, 54]]
[[2,8,5,40,42,53],[0, 1, 10, 5, 14, 40, 7, 42, 8, 50, 52, 9, 54]]
[[2,6,2,14,22,90],[0, 1, 10, 5, 14, 40, 7, 8, 43, 50, 52, 9, 54]]
[[3,7,6,23,38,136],[0, 1, 10, 5, 14, 40, 7, 8, 50, 52, 9, 44, 54]]
[[2,6,2,14,22,90],[0, 1, 10, 5, 14, 40, 7, 49, 8, 50, 52, 9, 54]]
[[1,9,7,33,21,57],[0, 1, 10, 5, 14, 40, 7, 8, 50, 52, 9, 53, 54]]
[[3,9,9,29,33,69],[0, 1, 10, 5, 14, 7, 42, 8, 43, 50, 52, 9, 54]]
[[2,6,11,34,32,75],[0, 1, 10, 5, 14, 7, 42, 8, 50, 52, 9, 44, 54]]
[[3,9,9,29,33,69],[0, 1, 10, 5, 14, 7, 42, 49, 8, 50, 52, 9, 54]]
[[2,8,8,24,32,92],[0, 1, 10, 5, 14, 7, 42, 8, 50, 52, 9, 53, 54]]
[[2,4,8,20,27,106],[0, 1, 10, 5, 14, 7, 8, 43, 50, 52, 9, 44, 54]]
[[3,9,9,37,23,57],[0, 1, 10, 5, 14, 7, 49, 8, 43, 50, 52, 9, 54]]
[[2,6,14,18,27,78],[0, 1, 10, 5, 14, 7, 8, 43, 50, 52, 9, 53, 54]]
[[2,4,8,20,27,106],[0, 1, 10, 5, 14, 7, 49, 8, 50, 52, 9, 44, 54]]
[[1,7,4,19,36,70],[0, 1, 10, 5, 14, 7, 8, 50, 52, 9, 44, 53, 54]]
[[2,6,14,18,27,78],[0, 1, 10, 5, 14, 7, 49, 8, 50, 52, 9, 53, 54]]
[[2,12,11,32,27,81],[0, 1, 10, 5, 14, 7, 8, 50, 52, 9, 51, 53, 54]]
[[2,10,8,34,22,70],[0, 1, 10, 5, 7, 16, 8, 17, 52, 9, 18, 51, 54]]
[[1,7,10,27,16,70],[0, 1, 10, 5, 7, 16, 8, 17, 52, 9, 18, 53, 54]]
[[1,7,1,23,26,61],[0, 1, 10, 5, 40, 7, 16, 8, 17, 50, 52, 9, 54]]
[[1,5,10,25,21,86],[0, 1, 10, 5, 40, 7, 16, 8, 17, 52, 9, 51, 54]]
[[0,6,3,18,25,81],[0, 1, 10, 5, 40, 7, 16, 8, 17, 52, 9, 53, 54]]
[[2,10,8,34,22,70],[0, 1, 10, 5, 7, 16, 42, 8, 17, 52, 9, 51, 54]]
[[1,7,10,27,16,70],[0, 1, 10, 5, 7, 16, 42, 8, 17, 52, 9, 53, 54]]
