[[2], [3, 5], [4], [6, 7]]
[[2,10,5,18,32,67],[0, 1, 10, 5, 14, 40, 16, 8, 17, 43, 52, 9, 18, 44, 53, 54]]
[[2,8,17,32,22,101],[0, 1, 10, 5, 14, 40, 16, 49, 8, 17, 43, 50, 52, 9, 18, 54]]
[[2,10,8,42,42,58],[0, 1, 10, 5, 14, 40, 16, 49, 8, 17, 43, 52, 9, 18, 51, 54]]
[[1,9,7,21,36,87],[0, 1, 10, 5, 14, 40, 16, 8, 17, 43, 50, 52, 9, 18, 53, 54]]
[[1,7,10,31,26,94],[0, 1, 10, 5, 14, 40, 16, 8, 17, 43, 52, 9, 18, 51, 53, 54]]
[[3,15,12,23,33,66],[0, 1, 10, 5, 14, 40, 16, 49, 8, 17, 50, 52, 9, 18, 44, 54]]
[[2,10,5,18,32,67],[0, 1, 10, 5, 14, 40, 16, 49, 8, 17, 52, 9, 18, 44, 53, 54]]
[[2,14,11,22,32,77],[0, 1, 10, 5, 14, 40, 16, 8, 17, 50, 52, 9, 18, 44, 53, 54]]
[[1,9,7,21,36,87],[0, 1, 10, 5, 14, 40, 16, 49, 8, 17, 50, 52, 9, 18, 53, 54]]
[[1,7,10,31,26,94],[0, 1, 10, 5, 14, 40, 16, 49, 8, 17, 52, 9, 18, 51, 53, 54]]
[[1,7,4,19,31,64],[0, 1, 10, 5, 14, 40, 16, 8, 17, 50, 52, 9, 18, 51, 53, 54]]
[[2,8,11,28,57,71],[0, 1, 10, 5, 14, 16, 42, 8, 17, 43, 52, 9, 18, 44, 51, 54]]
[[1,9,13,33,31,93],[0, 1, 10, 5, 14, 16, 42, 8, 17, 43, 52, 9, 18, 44, 53, 54]]
[[3,9,21,25,23,87],[0, 1, 10, 5, 14, 16, 42, 49, 8, 17, 43, 50, 52, 9, 18, 54]]
[[2,14,17,22,32,77],[0, 1, 10, 5, 14, 16, 42, 49, 8, 17, 43, 52, 9, 18, 53, 54]]
[[2,10,17,18,27,67],[0, 1, 10, 5, 14, 16, 42, 8, 17, 43, 52, 9, 18, 51, 53, 54]]
[[2,8,11,28,57,71],[0, 1, 10, 5, 14, 16, 42, 49, 8, 17, 52, 9, 18, 44, 51, 54]]
[[1,9,13,33,31,93],[0, 1, 10, 5, 14, 16, 42, 49, 8, 17, 52, 9, 18, 44, 53, 54]]
[[2,10,17,18,27,67],[0, 1, 10, 5, 14, 16, 42, 49, 8, 17, 52, 9, 18, 51, 53, 54]]
[[2,10,8,22,22,76],[0, 1, 10, 5, 14, 16, 49, 8, 17, 43, 50, 52, 9, 18, 44, 54]]
[[2,6,17,18,7,81],[0, 1, 10, 5, 14, 16, 49, 8, 17, 43, 52, 9, 18, 44, 51, 54]]
[[1,11,7,27,41,65],[0, 1, 10, 5, 14, 16, 49, 8, 17, 43, 52, 9, 18, 44, 53, 54]]
[[1,7,7,23,16,79],[0, 1, 10, 5, 14, 16, 8, 17, 43, 50, 52, 9, 18, 44, 53, 54]]
[[1,11,7,35,51,65],[0, 1, 10, 5, 14, 16, 8, 17, 43, 52, 9, 18, 44, 51, 53, 54]]
[[2,12,8,20,37,84],[0, 1, 10, 5, 14, 16, 49, 8, 17, 43, 50, 52, 9, 18, 53, 54]]
[[2,8,14,20,27,56],[0, 1, 10, 5, 14, 16, 49, 8, 17, 43, 52, 9, 18, 51, 53, 54]]
[[1,7,7,23,16,79],[0, 1, 10, 5, 14, 16, 49, 8, 17, 50, 52, 9, 18, 44, 53, 54]]
[[1,11,7,35,51,65],[0, 1, 10, 5, 14, 16, 49, 8, 17, 52, 9, 18, 44, 51, 53, 54]]
[[3,15,12,23,33,66],[0, 1, 10, 5, 14, 40, 16, 42, 8, 17, 43, 50, 52, 9, 44, 54]]
[[2,10,5,18,32,67],[0, 1, 10, 5, 14, 40, 16, 42, 8, 17, 43, 52, 9, 44, 53, 54]]
[[2,8,17,32,22,101],[0, 1, 10, 5, 14, 40, 16, 42, 49, 8, 17, 43, 50, 52, 9, 54]]
[[2,10,8,42,42,58],[0, 1, 10, 5, 14, 40, 16, 42, 49, 8, 17, 43, 52, 9, 51, 54]]
[[1,9,7,21,36,87],[0, 1, 10, 5, 14, 40, 16, 42, 8, 17, 43, 50, 52, 9, 53, 54]]
[[1,7,10,31,26,94],[0, 1, 10, 5, 14, 40, 16, 42, 8, 17, 43, 52, 9, 51, 53, 54]]
[[3,15,12,23,33,66],[0, 1, 10, 5, 14, 40, 16, 42, 49, 8, 17, 50, 52, 9, 44, 54]]
[[2,10,5,18,32,67],[0, 1, 10, 5, 14, 40, 16, 42, 49, 8, 17, 52, 9, 44, 53, 54]]
[[2,14,11,22,32,77],[0, 1, 10, 5, 14, 40, 16, 42, 8, 17, 50, 52, 9, 44, 53, 54]]
[[1,9,7,21,36,87],[0, 1, 10, 5, 14, 40, 16, 42, 49, 8, 17, 50, 52, 9, 53, 54]]
[[1,7,10,31,26,94],[0, 1, 10, 5, 14, 40, 16, 42, 49, 8, 17, 52, 9, 51, 53, 54]]
[[1,7,4,19,31,64],[0, 1, 10, 5, 14, 40, 16, 42, 8, 17, 50, 52, 9, 51, 53, 54]]
[[3,9,9,13,68,69],[0, 1, 10, 5, 14, 40, 16, 49, 8, 17, 43, 52, 9, 44, 51, 54]]
[[1,11,10,19,26,68],[0, 1, 10, 5, 14, 40, 16, 49, 8, 17, 43, 52, 9, 51, 53, 54]]
[[1,9,16,29,36,78],[0, 1, 10, 5, 14, 40, 16, 8, 17, 43, 50, 52, 9, 51, 53, 54]]
[[2,14,5,30,47,59],[0, 1, 10, 5, 14, 40, 16, 8, 17, 50, 52, 9, 44, 51, 53, 54]]
[[1,9,16,29,36,78],[0, 1, 10, 5, 14, 40, 16, 49, 8, 17, 50, 52, 9, 51, 53, 54]]
[[2,10,8,22,22,76],[0, 1, 10, 5, 14, 16, 42, 49, 8, 17, 43, 50, 52, 9, 44, 54]]
