[[2], [3, 5], [4], [6, 7]]
[[3,7,12,19,43,76],[10, 5, 14, 40, 7, 16, 42, 49, 8, 43, 50, 52, 18, 44, 51, 53, 54]]
[[2,6,8,10,42,36],[10, 5, 14, 40, 7, 42, 49, 8, 17, 43, 50, 52, 18, 44, 51, 53, 54]]
[[1,9,10,37,46,78],[10, 5, 14, 40, 7, 16, 42, 49, 17, 43, 50, 52, 9, 18, 44, 53, 54]]
[[1,5,10,21,11,86],[10, 5, 14, 40, 7, 16, 42, 49, 17, 43, 52, 9, 18, 44, 51, 53, 54]]
[[1,7,7,23,16,85],[10, 5, 14, 40, 7, 16, 42, 17, 43, 50, 52, 9, 18, 44, 51, 53, 54]]
[[2,8,11,32,27,101],[10, 5, 14, 40, 7, 16, 42, 49, 17, 43, 50, 52, 9, 18, 51, 53, 54]]
[[1,7,7,23,16,85],[10, 5, 14, 40, 7, 16, 42, 49, 17, 50, 52, 9, 18, 44, 51, 53, 54]]
[[1,9,4,33,46,60],[10, 5, 14, 40, 7, 16, 49, 17, 43, 50, 52, 9, 18, 44, 51, 53, 54]]
[[2,6,8,10,42,36],[10, 5, 14, 7, 16, 42, 49, 17, 43, 50, 52, 9, 18, 44, 51, 53, 54]]
[[1,9,4,33,46,60],[10, 5, 14, 40, 7, 16, 42, 49, 17, 43, 50, 52, 9, 44, 51, 53, 54]]
[[1,5,7,17,41,71],[10, 5, 14, 40, 7, 42, 49, 17, 43, 50, 52, 9, 18, 44, 51, 53, 54]]
[[1,7,7,31,31,79],[10, 5, 40, 7, 16, 42, 49, 17, 43, 50, 52, 9, 18, 44, 51, 53, 54]]
[[2,6,8,10,42,36],[10, 5, 14, 40, 7, 16, 42, 49, 17, 43, 50, 52, 18, 44, 51, 53, 54]]
[[1,5,4,21,51,56],[10, 5, 14, 40, 16, 42, 49, 8, 17, 43, 50, 52, 9, 18, 44, 53, 54]]
[[1,5,7,17,61,65],[10, 5, 14, 40, 16, 42, 49, 8, 17, 43, 52, 9, 18, 44, 51, 53, 54]]
[[2,8,5,24,32,53],[10, 5, 14, 40, 16, 42, 49, 8, 17, 43, 50, 52, 9, 18, 51, 53, 54]]
[[1,5,10,25,31,86],[10, 5, 14, 40, 16, 49, 8, 17, 43, 50, 52, 9, 18, 44, 51, 53, 54]]
[[1,5,10,25,31,86],[10, 5, 14, 40, 16, 42, 49, 8, 17, 43, 50, 52, 9, 44, 51, 53, 54]]
[[2,4,8,20,32,76],[10, 5, 14, 40, 16, 42, 49, 8, 43, 50, 52, 9, 18, 44, 51, 53, 54]]
[[1,7,7,31,31,79],[10, 5, 14, 40, 42, 49, 8, 17, 43, 50, 52, 9, 18, 44, 51, 53, 54]]
[[1,5,7,17,41,71],[10, 5, 40, 16, 42, 49, 8, 17, 43, 50, 52, 9, 18, 44, 51, 53, 54]]
[[1,7,7,31,31,79],[10, 5, 14, 40, 16, 42, 49, 17, 43, 50, 52, 9, 18, 44, 51, 53, 54]]
[[3,11,12,35,38,68],[0, 1, 10, 5, 14, 40, 7, 16, 42, 8, 17, 43, 50, 52, 9, 18, 44, 54]]
[[2,8,8,20,22,92],[0, 1, 10, 5, 14, 40, 7, 16, 42, 49, 8, 17, 43, 50, 52, 9, 18, 54]]
[[2,6,11,18,12,75],[0, 1, 10, 5, 14, 40, 7, 16, 42, 49, 8, 17, 43, 52, 9, 18, 51, 54]]
[[1,11,7,35,41,77],[0, 1, 10, 5, 14, 40, 7, 16, 42, 49, 8, 17, 43, 52, 9, 18, 53, 54]]
[[1,9,7,21,6,57],[0, 1, 10, 5, 14, 40, 7, 16, 42, 8, 17, 43, 50, 52, 9, 18, 53, 54]]
[[1,11,10,27,36,80],[0, 1, 10, 5, 14, 40, 7, 16, 42, 8, 17, 43, 52, 9, 18, 51, 53, 54]]
[[3,11,12,35,38,68],[0, 1, 10, 5, 14, 40, 7, 16, 42, 49, 8, 17, 50, 52, 9, 18, 44, 54]]
[[2,14,8,22,27,74],[0, 1, 10, 5, 14, 40, 7, 16, 42, 8, 17, 50, 52, 9, 18, 44, 53, 54]]
[[1,9,7,21,6,57],[0, 1, 10, 5, 14, 40, 7, 16, 42, 49, 8, 17, 50, 52, 9, 18, 53, 54]]
[[1,11,10,27,36,80],[0, 1, 10, 5, 14, 40, 7, 16, 42, 49, 8, 17, 52, 9, 18, 51, 53, 54]]
[[2,12,14,20,47,84],[0, 1, 10, 5, 14, 40, 7, 16, 8, 17, 43, 52, 9, 18, 44, 51, 53, 54]]
[[1,7,16,15,56,58],[0, 1, 10, 5, 14, 40, 7, 16, 49, 8, 17, 43, 50, 52, 9, 18, 53, 54]]
[[1,7,4,23,31,88],[0, 1, 10, 5, 14, 40, 7, 16, 8, 17, 43, 50, 52, 9, 18, 51, 53, 54]]
[[2,12,14,20,47,84],[0, 1, 10, 5, 14, 40, 7, 16, 49, 8, 17, 52, 9, 18, 44, 51, 53, 54]]
[[2,12,8,16,32,84],[0, 1, 10, 5, 14, 40, 7, 16, 8, 17, 50, 52, 9, 18, 44, 51, 53, 54]]
[[1,7,4,23,31,88],[0, 1, 10, 5, 14, 40, 7, 16, 49, 8, 17, 50, 52, 9, 18, 51, 53, 54]]
[[2,6,26,30,22,72],[0, 1, 10, 5, 14, 7, 16, 42, 49, 8, 17, 43, 50, 52, 9, 18, 44, 54]]
[[1,7,4,31,46,58],[0, 1, 10, 5, 14, 7, 16, 42, 8, 17, 43, 50, 52, 9, 18, 44, 53, 54]]
[[1,7,13,23,36,73],[0, 1, 10, 5, 14, 7, 16, 42, 8, 17, 43, 52, 9, 18, 44, 51, 53, 54]]
[[2,12,8,16,7,66],[0, 1, 10, 5, 14, 7, 16, 42, 49, 8, 17, 43, 50, 52, 9, 18, 53, 54]]
[[2,8,5,20,42,71],[0, 1, 10, 5, 14, 7, 16, 42, 49, 8, 17, 43, 52, 9, 18, 51, 53, 54]]
