[[0, 1, 4, 5, 7], [2, 4], [3, 5], [6, 7]]
[[5,9,17,9,35,105],[40, 16, 52, 44, 54]]
[[7,7,13,31,17,91],[40, 16, 49, 53, 54]]
[[6,8,15,16,46,83],[40, 16, 50, 51, 53]]
[[7,9,10,25,42,60],[40, 16, 50, 51, 54]]
[[6,6,15,22,36,75],[40, 16, 50, 53, 54]]
[[6,6,18,18,51,60],[40, 16, 52, 51, 54]]
[[5,9,11,13,45,69],[40, 16, 52, 53, 54]]
[[4,10,10,22,24,106],[16, 42, 43, 53, 54]]
[[6,12,6,20,51,60],[16, 42, 49, 44, 53]]
[[6,8,18,20,41,62],[16, 42, 50, 44, 54]]
[[5,5,14,25,35,92],[16, 42, 52, 44, 54]]
[[7,11,13,23,32,35],[16, 42, 49, 53, 54]]
[[6,8,6,28,51,50],[16, 42, 50, 51, 53]]
[[7,7,10,27,42,58],[16, 42, 52, 51, 53]]
[[3,7,12,23,28,112],[16, 42, 52, 53, 54]]
[[4,8,13,16,24,83],[16, 49, 43, 44, 53]]
[[6,14,9,26,26,53],[16, 43, 52, 44, 53]]
[[7,9,13,21,42,51],[16, 49, 43, 51, 53]]
[[5,7,17,23,40,85],[16, 49, 43, 53, 54]]
[[7,11,13,23,22,65],[16, 43, 52, 51, 53]]
[[5,11,14,23,20,86],[16, 43, 52, 53, 54]]
[[6,8,15,20,31,71],[16, 49, 52, 44, 54]]
[[7,7,22,15,32,46],[16, 44, 51, 53, 54]]
[[5,9,8,25,45,72],[16, 49, 50, 51, 53]]
[[4,8,13,28,39,65],[16, 49, 50, 51, 54]]
[[6,8,18,12,51,74],[16, 49, 52, 51, 53]]
[[7,9,19,13,32,57],[16, 50, 52, 51, 53]]
[[6,12,9,20,41,63],[34, 35, 17, 18, 53]]
[[6,12,9,16,36,99],[34, 37, 17, 18, 53]]
[[5,7,14,15,30,64],[34, 37, 17, 18, 54]]
[[6,10,9,26,56,31],[34, 17, 38, 18, 53]]
[[3,7,12,35,43,70],[34, 17, 38, 18, 54]]
[[7,11,13,23,27,47],[34, 40, 17, 18, 54]]
[[8,10,11,22,28,55],[34, 42, 17, 18, 53]]
[[6,12,9,16,46,69],[34, 49, 17, 18, 54]]
[[8,8,14,16,38,68],[34, 17, 50, 18, 53]]
[[6,12,12,24,36,48],[35, 42, 17, 18, 54]]
[[4,10,10,30,29,70],[35, 17, 43, 18, 54]]
[[7,9,10,25,37,72],[35, 17, 52, 18, 51]]
[[8,12,11,12,33,63],[40, 37, 17, 18, 54]]
[[7,9,10,29,32,60],[37, 42, 17, 18, 53]]
[[6,14,9,30,16,47],[37, 17, 43, 18, 54]]
[[5,11,14,23,30,56],[37, 49, 17, 18, 54]]
[[7,9,13,29,32,39],[37, 17, 50, 18, 53]]
[[6,10,15,22,36,73],[40, 17, 38, 18, 54]]
[[5,11,17,11,30,89],[49, 17, 38, 18, 54]]
[[7,11,16,11,32,68],[17, 38, 50, 18, 53]]
[[5,13,11,25,30,73],[17, 38, 52, 18, 54]]
[[6,12,12,20,31,60],[17, 18, 39, 51, 54]]
[[5,13,14,21,15,100],[40, 42, 17, 18, 53]]
[[5,13,14,21,30,70],[40, 17, 43, 18, 53]]
[[4,10,10,22,39,70],[40, 17, 43, 18, 54]]
[[4,12,13,32,19,75],[40, 17, 52, 18, 44]]
[[7,11,13,23,27,47],[40, 49, 17, 18, 54]]
[[7,13,7,33,12,49],[40, 17, 50, 18, 53]]
[[5,9,11,21,45,75],[40, 17, 52, 18, 51]]
[[4,8,25,16,29,89],[42, 17, 43, 18, 54]]
[[6,10,12,30,31,58],[42, 49, 17, 18, 53]]
[[5,9,11,25,50,75],[42, 17, 52, 18, 51]]
[[8,12,14,12,8,84],[49, 17, 43, 18, 53]]
[[7,11,13,23,12,77],[17, 43, 52, 18, 51]]
[[6,10,15,26,21,73],[17, 43, 52, 18, 53]]
[[6,8,15,28,31,65],[17, 18, 44, 53, 54]]
[[6,10,9,26,36,73],[49, 17, 50, 18, 53]]
[[6,10,12,14,31,106],[17, 50, 52, 18, 53]]
[[5,9,11,25,25,93],[17, 50, 52, 18, 54]]
[[5,7,23,15,50,73],[17, 18, 51, 53, 54]]
[[7,9,13,21,42,51],[34, 35, 17, 39, 53]]
[[4,8,16,12,24,110],[34, 35, 17, 44, 53]]
[[7,13,7,25,22,79],[34, 35, 17, 51, 53]]
[[6,6,15,18,46,69],[34, 35, 17, 51, 54]]
[[7,7,13,23,32,73],[34, 37, 17, 44, 54]]
[[5,9,8,21,50,54],[34, 37, 17, 51, 53]]
[[5,7,14,23,35,88],[34, 37, 17, 53, 54]]
[[4,16,10,28,19,64],[34, 17, 38, 39, 54]]
[[5,9,11,25,50,75],[34, 17, 38, 44, 54]]
[[4,8,16,8,24,86],[34, 17, 38, 51, 54]]
[[5,7,11,31,30,97],[34, 17, 38, 53, 54]]
[[5,9,14,17,25,90],[34, 40, 17, 44, 54]]
[[7,11,7,27,32,71],[34, 40, 17, 51, 53]]
[[7,7,16,19,42,58],[34, 40, 17, 53, 54]]
[[7,11,10,19,32,80],[34, 42, 17, 51, 53]]
[[6,10,12,18,41,82],[34, 42, 17, 51, 54]]
[[6,10,12,14,36,82],[34, 17, 43, 44, 53]]
[[6,8,15,16,46,83],[34, 49, 17, 51, 53]]
[[8,12,8,20,28,66],[34, 17, 52, 51, 53]]
[[7,13,10,17,27,82],[35, 37, 17, 39, 54]]
