[[0, 1, 4, 5, 7], [2, 4], [3, 5], [6, 7]]
[[3,9,9,29,43,69],[10, 16, 49, 53, 54]]
[[4,12,7,24,19,87],[10, 16, 50, 51, 53]]
[[3,9,12,25,28,60],[10, 16, 50, 51, 54]]
[[2,6,11,22,12,99],[10, 16, 50, 53, 54]]
[[3,7,12,23,18,112],[10, 16, 52, 51, 53]]
[[3,7,15,31,43,43],[10, 34, 17, 18, 54]]
[[4,12,13,20,19,99],[10, 37, 17, 18, 54]]
[[2,8,11,16,7,59],[10, 17, 38, 18, 54]]
[[4,8,19,16,34,77],[10, 40, 17, 18, 54]]
[[5,11,11,23,20,89],[10, 42, 17, 18, 53]]
[[5,13,14,21,30,70],[10, 17, 43, 18, 53]]
[[3,7,15,31,43,43],[10, 49, 17, 18, 54]]
[[5,11,14,27,20,86],[10, 17, 50, 18, 53]]
[[5,9,14,17,45,78],[10, 34, 17, 44, 54]]
[[5,11,5,19,25,89],[10, 34, 17, 51, 53]]
[[3,11,6,27,28,50],[10, 34, 17, 53, 54]]
[[4,10,7,22,19,109],[10, 35, 17, 39, 53]]
[[3,15,9,27,33,75],[10, 35, 17, 44, 53]]
[[6,10,12,22,51,34],[10, 35, 17, 51, 53]]
[[6,12,6,20,31,108],[10, 37, 17, 44, 54]]
[[4,8,13,12,34,77],[10, 37, 17, 51, 53]]
[[4,14,10,22,24,86],[10, 37, 17, 53, 54]]
[[1,7,7,31,26,73],[10, 17, 38, 39, 54]]
[[4,10,19,14,19,97],[10, 17, 38, 44, 54]]
[[4,14,13,22,34,71],[10, 17, 38, 53, 54]]
[[2,6,8,34,62,60],[10, 40, 17, 44, 54]]
[[4,10,19,18,24,91],[10, 40, 17, 51, 53]]
[[4,6,7,22,9,51],[10, 40, 17, 53, 54]]
[[4,10,13,26,39,91],[10, 42, 17, 51, 53]]
[[3,5,12,21,33,110],[10, 42, 17, 51, 54]]
[[3,11,12,23,48,92],[10, 17, 43, 44, 53]]
[[5,9,14,17,25,90],[10, 49, 17, 44, 54]]
[[3,13,12,33,28,70],[10, 49, 17, 51, 53]]
[[3,7,18,19,38,94],[10, 49, 17, 53, 54]]
[[4,10,13,22,34,91],[10, 17, 50, 53, 54]]
[[5,9,17,17,35,81],[10, 17, 52, 51, 53]]
[[6,10,6,10,46,94],[10, 34, 50, 18, 53]]
[[5,9,11,21,35,81],[10, 34, 52, 18, 53]]
[[4,10,19,22,29,67],[10, 35, 52, 18, 44]]
[[6,12,12,28,21,54],[10, 35, 52, 18, 53]]
[[5,7,11,7,25,73],[10, 37, 38, 18, 53]]
[[5,11,11,23,25,83],[10, 37, 52, 18, 54]]
[[7,13,10,13,37,76],[10, 38, 43, 18, 53]]
[[5,9,11,21,55,63],[10, 40, 50, 18, 53]]
[[5,9,11,29,25,81],[10, 40, 52, 18, 51]]
[[4,10,13,22,49,67],[10, 43, 50, 18, 54]]
[[4,10,10,26,34,82],[10, 49, 50, 18, 53]]
[[7,7,13,31,42,37],[10, 34, 42, 39, 53]]
[[5,9,8,21,50,54],[10, 34, 43, 39, 53]]
[[7,11,7,27,27,83],[10, 34, 43, 51, 53]]
[[7,7,16,23,32,64],[10, 34, 50, 44, 54]]
[[6,6,18,22,26,66],[10, 34, 52, 44, 54]]
[[6,10,12,26,36,52],[10, 34, 49, 53, 54]]
[[5,9,8,13,40,42],[10, 34, 50, 53, 54]]
[[5,9,17,25,30,57],[10, 34, 52, 51, 54]]
[[2,8,14,20,22,56],[10, 34, 52, 53, 54]]
[[6,10,9,26,56,31],[10, 35, 37, 51, 53]]
[[3,11,6,23,53,104],[10, 35, 38, 44, 53]]
[[6,8,9,12,31,107],[10, 35, 38, 51, 53]]
[[5,9,11,29,25,81],[10, 35, 50, 39, 54]]
[[6,10,12,22,36,70],[10, 35, 50, 53, 54]]
[[6,8,15,20,31,65],[10, 35, 52, 51, 54]]
[[5,9,11,29,25,81],[10, 37, 52, 39, 44]]
[[6,10,18,10,36,82],[10, 37, 42, 53, 54]]
[[6,10,9,14,36,103],[10, 37, 43, 53, 54]]
[[5,7,14,31,25,88],[10, 37, 52, 51, 53]]
[[4,8,13,20,19,107],[10, 38, 52, 39, 51]]
[[7,11,10,23,27,80],[10, 38, 50, 44, 53]]
[[5,9,11,13,30,117],[10, 49, 38, 51, 53]]
[[6,10,9,26,26,85],[10, 40, 42, 39, 53]]
[[4,14,10,18,34,80],[10, 40, 43, 39, 53]]
[[7,13,10,13,37,76],[10, 42, 49, 39, 53]]
[[6,10,12,18,26,100],[10, 42, 50, 39, 53]]
[[6,8,15,12,36,89],[10, 42, 52, 39, 51]]
[[7,11,10,23,22,86],[10, 42, 52, 39, 53]]
[[3,9,18,17,13,90],[10, 43, 52, 39, 44]]
[[6,14,9,22,21,83],[10, 43, 52, 39, 51]]
[[7,9,13,25,32,57],[10, 43, 52, 39, 53]]
[[6,10,12,22,31,58],[10, 39, 51, 53, 54]]
[[4,8,10,16,24,80],[10, 40, 42, 51, 53]]
[[5,13,11,29,25,61],[10, 40, 43, 44, 53]]
[[4,12,13,24,9,105],[10, 40, 43, 51, 53]]
[[4,6,13,18,24,51],[10, 40, 50, 44, 54]]
[[7,9,10,21,32,90],[10, 40, 49, 53, 54]]
[[6,6,9,18,31,69],[10, 40, 50, 53, 54]]
[[6,8,12,24,36,80],[10, 40, 52, 51, 54]]
[[3,7,9,27,18,97],[10, 40, 52, 53, 54]]
[[4,8,16,20,49,92],[10, 42, 43, 53, 54]]
[[3,9,9,25,28,105],[10, 42, 50, 44, 53]]
[[7,7,10,19,42,70],[10, 42, 49, 51, 53]]
[[6,8,9,16,41,65],[10, 42, 50, 51, 53]]
[[5,5,8,9,35,50],[10, 42, 52, 51, 53]]
[[5,11,8,27,45,68],[10, 43, 50, 44, 53]]
[[5,9,8,13,15,108],[10, 49, 43, 51, 53]]
[[7,7,13,31,42,49],[10, 43, 52, 51, 53]]
[[5,9,5,25,45,69],[10, 49, 50, 44, 54]]
[[6,8,12,24,56,56],[10, 49, 52, 44, 54]]
[[3,7,12,23,23,88],[10, 49, 50, 53, 54]]
[[3,7,6,35,28,58],[10, 49, 52, 51, 54]]
[[2,10,11,26,27,85],[10, 49, 52, 53, 54]]
[[8,10,14,14,38,40],[13, 14, 16, 53, 54]]
[[7,11,10,15,42,86],[13, 14, 17, 18, 53]]
[[6,10,12,30,31,58],[13, 14, 17, 39, 53]]
[[7,9,13,25,27,69],[13, 14, 17, 51, 54]]
[[5,11,17,15,25,95],[13, 14, 38, 18, 53]]
[[7,11,10,23,27,80],[13, 14, 42, 18, 53]]
[[7,7,13,31,42,37],[13, 34, 14, 39, 53]]
[[7,11,13,23,17,71],[13, 34, 14, 51, 53]]
[[4,8,10,24,34,110],[13, 14, 35, 53, 54]]
[[6,8,15,28,31,65],[13, 14, 37, 51, 53]]
[[6,14,12,18,16,86],[13, 14, 37, 53, 54]]
[[6,8,15,16,46,83],[13, 14, 38, 39, 53]]
[[6,8,12,20,36,92],[13, 14, 38, 51, 53]]
[[4,12,13,24,29,69],[13, 14, 40, 39, 53]]
[[4,8,19,12,19,101],[13, 14, 43, 39, 53]]
[[7,13,10,13,37,76],[13, 14, 49, 39, 53]]
[[5,7,23,15,45,67],[13, 14, 50, 39, 54]]
[[6,8,12,12,36,80],[13, 14, 52, 39, 51]]
[[5,7,8,31,50,70],[13, 14, 52, 39, 53]]
[[6,12,9,24,26,81],[13, 14, 40, 51, 53]]
[[4,6,10,14,19,30],[13, 14, 43, 53, 54]]
[[5,13,5,33,25,67],[13, 14, 50, 44, 53]]
[[4,8,10,24,64,68],[13, 14, 52, 44, 53]]
[[5,7,14,15,20,76],[13, 14, 52, 44, 54]]
[[6,10,12,26,36,64],[13, 14, 50, 51, 53]]
[[7,7,13,23,27,91],[13, 14, 52, 51, 53]]
[[8,8,20,8,38,44],[13, 16, 17, 44, 54]]
[[6,8,12,8,46,92],[13, 34, 16, 18, 53]]
[[5,7,8,15,35,88],[13, 16, 37, 18, 53]]
[[5,13,5,37,35,55],[13, 16, 38, 18, 53]]
[[7,9,13,17,47,57],[13, 40, 16, 18, 53]]
[[6,8,12,24,26,92],[13, 16, 49, 18, 53]]
[[4,8,16,24,24,92],[13, 16, 50, 18, 54]]
[[6,12,6,24,36,84],[13, 16, 52, 18, 53]]
[[6,8,9,16,26,77],[13, 34, 16, 44, 53]]
[[6,8,15,20,31,59],[13, 35, 16, 51, 53]]
[[6,8,21,20,31,47],[13, 35, 16, 53, 54]]
[[4,8,10,32,34,104],[13, 16, 37, 53, 54]]
[[4,6,10,10,24,54],[13, 16, 38, 51, 53]]
[[6,8,9,28,51,41],[13, 16, 42, 39, 53]]
[[4,8,13,12,14,101],[13, 16, 52, 39, 54]]
[[6,6,18,10,56,66],[13, 16, 42, 53, 54]]
[[5,13,5,29,25,85],[13, 16, 43, 44, 53]]
[[6,10,12,18,51,52],[13, 16, 43, 51, 53]]
[[6,8,15,24,46,53],[13, 16, 49, 44, 53]]
[[6,6,15,18,46,69],[13, 16, 50, 44, 54]]
[[6,8,9,24,36,65],[13, 16, 52, 44, 53]]
[[4,10,10,22,19,82],[13, 16, 50, 53, 54]]
[[5,7,11,11,35,67],[13, 16, 52, 51, 53]]
[[4,12,10,24,19,102],[13, 34, 17, 18, 53]]
[[2,6,14,26,22,114],[13, 17, 38, 18, 54]]
[[7,11,7,27,27,83],[13, 42, 17, 18, 53]]
[[4,12,10,36,29,60],[13, 34, 17, 39, 54]]
[[4,6,22,14,39,78],[13, 34, 17, 51, 54]]
[[3,7,21,31,38,73],[13, 34, 17, 53, 54]]
[[6,8,9,12,31,107],[13, 35, 17, 39, 53]]
[[3,9,9,25,28,105],[13, 35, 17, 44, 53]]
[[6,10,12,10,41,100],[13, 35, 17, 51, 53]]
[[5,13,5,17,30,109],[13, 37, 17, 39, 54]]
[[5,7,11,7,25,73],[13, 37, 17, 44, 53]]
[[4,10,10,26,54,82],[13, 37, 17, 51, 53]]
[[3,5,12,21,33,110],[13, 37, 17, 51, 54]]
[[3,11,9,27,38,89],[13, 17, 38, 39, 54]]
[[4,6,16,10,34,90],[13, 17, 38, 44, 54]]
[[6,8,12,8,46,92],[13, 17, 38, 51, 53]]
[[3,9,12,17,28,90],[13, 17, 38, 51, 54]]
[[4,6,13,18,24,57],[13, 17, 38, 53, 54]]
[[5,5,17,21,40,71],[13, 40, 17, 39, 54]]
[[6,12,9,16,36,99],[13, 42, 17, 39, 53]]
[[6,10,6,22,21,106],[13, 17, 43, 39, 53]]
[[4,6,22,6,29,90],[13, 49, 17, 39, 54]]
[[4,8,16,8,9,110],[13, 17, 52, 39, 51]]
[[6,8,12,24,46,56],[13, 40, 17, 53, 54]]
[[5,11,8,19,35,86],[13, 42, 17, 44, 53]]
[[6,10,6,14,46,76],[13, 42, 17, 51, 53]]
[[8,8,14,16,38,68],[13, 17, 43, 51, 53]]
[[5,7,14,7,40,88],[13, 49, 17, 51, 53]]
[[5,9,8,13,25,108],[13, 49, 17, 53, 54]]
[[6,6,12,30,36,90],[13, 17, 50, 51, 53]]
[[3,7,12,23,18,58],[13, 17, 52, 53, 54]]
[[8,8,14,20,33,56],[13, 34, 35, 18, 53]]
[[6,10,12,26,36,64],[13, 34, 38, 18, 53]]
[[8,8,17,16,28,65],[13, 34, 42, 18, 53]]
