[[0, 5], [2, 4], [3, 5], [6, 7]]
[[3,7,12,43,43,52],[10, 34, 35, 16, 37, 42, 49, 17, 43, 50, 52, 39, 44, 51, 53]]
[[3,7,15,19,33,85],[10, 34, 35, 16, 37, 42, 49, 17, 43, 50, 52, 39, 44, 53, 54]]
[[1,5,10,21,46,80],[10, 34, 35, 16, 37, 42, 49, 17, 50, 52, 39, 44, 51, 53, 54]]
[[4,10,19,22,29,73],[10, 34, 35, 40, 16, 37, 42, 49, 17, 43, 50, 52, 44, 51, 53]]
[[3,13,9,25,33,61],[10, 34, 35, 40, 16, 37, 42, 17, 43, 50, 52, 44, 51, 53, 54]]
[[3,11,9,39,33,65],[10, 34, 35, 16, 37, 42, 49, 17, 43, 50, 52, 44, 51, 53, 54]]
[[3,7,9,23,33,79],[10, 34, 35, 40, 16, 42, 49, 17, 38, 43, 50, 52, 39, 44, 53]]
[[1,5,1,37,41,77],[10, 34, 35, 40, 16, 42, 49, 17, 38, 43, 50, 52, 39, 44, 54]]
[[2,6,5,22,22,111],[10, 34, 35, 40, 16, 42, 49, 17, 38, 43, 52, 39, 44, 51, 54]]
[[2,8,14,12,52,80],[10, 34, 35, 40, 16, 42, 49, 17, 38, 43, 52, 39, 44, 53, 54]]
[[1,7,10,27,26,88],[10, 34, 35, 40, 16, 42, 17, 38, 43, 52, 39, 44, 51, 53, 54]]
[[3,7,15,27,38,49],[10, 34, 35, 40, 16, 42, 49, 17, 38, 43, 50, 52, 39, 51, 53]]
[[1,7,7,39,36,91],[10, 34, 35, 40, 16, 42, 49, 17, 38, 43, 50, 52, 39, 53, 54]]
[[1,9,13,33,16,75],[10, 34, 35, 40, 16, 42, 49, 17, 38, 50, 52, 39, 44, 53, 54]]
[[4,10,13,34,19,79],[10, 34, 35, 40, 16, 49, 17, 38, 43, 50, 52, 39, 44, 51, 53]]
[[1,7,7,27,26,67],[10, 34, 35, 40, 16, 49, 17, 38, 43, 52, 39, 44, 51, 53, 54]]
[[1,5,16,25,21,68],[10, 34, 35, 40, 16, 17, 38, 43, 50, 52, 39, 44, 51, 53, 54]]
[[2,10,14,26,27,64],[10, 34, 35, 40, 16, 49, 17, 38, 43, 50, 52, 39, 51, 53, 54]]
[[0,4,6,28,15,70],[10, 34, 35, 40, 16, 49, 17, 38, 50, 52, 39, 44, 51, 53, 54]]
[[4,8,19,20,39,65],[10, 34, 35, 16, 42, 49, 17, 38, 43, 50, 52, 39, 44, 51, 53]]
[[2,6,5,50,47,57],[10, 34, 35, 16, 42, 49, 17, 38, 50, 52, 39, 44, 51, 53, 54]]
[[1,11,7,35,51,65],[10, 34, 35, 16, 49, 17, 38, 43, 50, 52, 39, 44, 51, 53, 54]]
[[5,7,11,31,15,67],[10, 34, 35, 40, 16, 42, 49, 17, 38, 43, 50, 52, 44, 51, 53]]
[[1,7,10,23,31,82],[10, 34, 35, 40, 16, 42, 49, 17, 38, 43, 50, 52, 44, 53, 54]]
[[2,8,8,16,27,56],[10, 34, 35, 40, 16, 42, 49, 17, 38, 43, 52, 44, 51, 53, 54]]
