[[0, 1, 5], [2, 4], [3, 5], [6, 7]]
[34, 35, 40, 17, 38, 52, 18, 39, 51, 53]
[34, 35, 40, 17, 38, 52, 18, 39, 51, 54]
[34, 35, 40, 17, 38, 18, 39, 51, 53, 54]
[34, 35, 40, 17, 38, 52, 18, 39, 53, 54]
[34, 35, 42, 49, 17, 38, 43, 18, 39, 44]
[34, 35, 42, 17, 38, 43, 50, 18, 39, 44]
[34, 35, 42, 17, 38, 43, 18, 39, 44, 51]
[34, 35, 42, 17, 38, 43, 52, 18, 39, 44]
[34, 35, 42, 17, 38, 43, 18, 39, 44, 53]
[34, 35, 42, 17, 38, 43, 18, 39, 44, 54]
[34, 35, 42, 49, 17, 38, 43, 50, 18, 39]
[34, 35, 42, 49, 17, 38, 43, 18, 39, 51]
[34, 35, 42, 49, 17, 38, 43, 52, 18, 39]
[34, 35, 42, 49, 17, 38, 43, 18, 39, 53]
[34, 35, 42, 49, 17, 38, 43, 18, 39, 54]
[34, 35, 42, 17, 38, 43, 50, 18, 39, 51]
[34, 35, 42, 17, 38, 43, 50, 52, 18, 39]
[34, 35, 42, 17, 38, 43, 50, 18, 39, 53]
[34, 35, 42, 17, 38, 43, 50, 18, 39, 54]
[34, 35, 42, 17, 38, 43, 52, 18, 39, 51]
[34, 35, 42, 17, 38, 43, 18, 39, 51, 53]
[34, 35, 42, 17, 38, 43, 18, 39, 51, 54]
[34, 35, 42, 17, 38, 43, 52, 18, 39, 53]
[34, 35, 42, 17, 38, 43, 52, 18, 39, 54]
[34, 35, 42, 17, 38, 43, 18, 39, 53, 54]
[34, 35, 42, 49, 17, 38, 50, 18, 39, 44]
[34, 35, 42, 49, 17, 38, 18, 39, 44, 51]
[34, 35, 42, 49, 17, 38, 52, 18, 39, 44]
[34, 35, 42, 49, 17, 38, 18, 39, 44, 53]
[34, 35, 42, 49, 17, 38, 18, 39, 44, 54]
[34, 35, 42, 17, 38, 50, 18, 39, 44, 51]
[34, 35, 42, 17, 38, 50, 52, 18, 39, 44]
[34, 35, 42, 17, 38, 50, 18, 39, 44, 53]
[34, 35, 42, 17, 38, 50, 18, 39, 44, 54]
[34, 35, 42, 17, 38, 52, 18, 39, 44, 51]
[34, 35, 42, 17, 38, 18, 39, 44, 51, 53]
[34, 35, 42, 17, 38, 18, 39, 44, 51, 54]
[34, 35, 42, 17, 38, 52, 18, 39, 44, 53]
[34, 35, 42, 17, 38, 52, 18, 39, 44, 54]
[34, 35, 42, 17, 38, 18, 39, 44, 53, 54]
[34, 35, 42, 49, 17, 38, 50, 18, 39, 51]
[34, 35, 42, 49, 17, 38, 50, 52, 18, 39]
[34, 35, 42, 49, 17, 38, 50, 18, 39, 53]
[34, 35, 42, 49, 17, 38, 50, 18, 39, 54]
[34, 35, 42, 49, 17, 38, 52, 18, 39, 51]
[34, 35, 42, 49, 17, 38, 18, 39, 51, 53]
[34, 35, 42, 49, 17, 38, 18, 39, 51, 54]
[34, 35, 42, 49, 17, 38, 52, 18, 39, 53]
[34, 35, 42, 49, 17, 38, 52, 18, 39, 54]
[34, 35, 42, 49, 17, 38, 18, 39, 53, 54]
[34, 35, 42, 17, 38, 50, 52, 18, 39, 51]
[34, 35, 42, 17, 38, 50, 18, 39, 51, 53]
[34, 35, 42, 17, 38, 50, 18, 39, 51, 54]
[34, 35, 42, 17, 38, 50, 52, 18, 39, 53]
[34, 35, 42, 17, 38, 50, 52, 18, 39, 54]
[34, 35, 42, 17, 38, 50, 18, 39, 53, 54]
[34, 35, 42, 17, 38, 52, 18, 39, 51, 53]
[34, 35, 42, 17, 38, 52, 18, 39, 51, 54]
[34, 35, 42, 17, 38, 18, 39, 51, 53, 54]
[34, 35, 42, 17, 38, 52, 18, 39, 53, 54]
[34, 35, 49, 17, 38, 43, 50, 18, 39, 44]
[34, 35, 49, 17, 38, 43, 18, 39, 44, 51]
[34, 35, 49, 17, 38, 43, 52, 18, 39, 44]
[34, 35, 49, 17, 38, 43, 18, 39, 44, 53]
[34, 35, 49, 17, 38, 43, 18, 39, 44, 54]
[34, 35, 17, 38, 43, 50, 18, 39, 44, 51]
[34, 35, 17, 38, 43, 50, 52, 18, 39, 44]
[34, 35, 17, 38, 43, 50, 18, 39, 44, 53]
[34, 35, 17, 38, 43, 50, 18, 39, 44, 54]
[34, 35, 17, 38, 43, 52, 18, 39, 44, 51]
[34, 35, 17, 38, 43, 18, 39, 44, 51, 53]
[34, 35, 17, 38, 43, 18, 39, 44, 51, 54]
[34, 35, 17, 38, 43, 52, 18, 39, 44, 53]
[34, 35, 17, 38, 43, 52, 18, 39, 44, 54]
[34, 35, 17, 38, 43, 18, 39, 44, 53, 54]
[34, 35, 49, 17, 38, 43, 50, 18, 39, 51]
[34, 35, 49, 17, 38, 43, 50, 52, 18, 39]
[34, 35, 49, 17, 38, 43, 50, 18, 39, 53]
[34, 35, 49, 17, 38, 43, 50, 18, 39, 54]
[34, 35, 49, 17, 38, 43, 52, 18, 39, 51]
[34, 35, 49, 17, 38, 43, 18, 39, 51, 53]
[34, 35, 49, 17, 38, 43, 18, 39, 51, 54]
[34, 35, 49, 17, 38, 43, 52, 18, 39, 53]
[34, 35, 49, 17, 38, 43, 52, 18, 39, 54]
[34, 35, 49, 17, 38, 43, 18, 39, 53, 54]
[34, 35, 17, 38, 43, 50, 52, 18, 39, 51]
[34, 35, 17, 38, 43, 50, 18, 39, 51, 53]
[34, 35, 17, 38, 43, 50, 18, 39, 51, 54]
[34, 35, 17, 38, 43, 50, 52, 18, 39, 53]
[34, 35, 17, 38, 43, 50, 52, 18, 39, 54]
[34, 35, 17, 38, 43, 50, 18, 39, 53, 54]
[34, 35, 17, 38, 43, 52, 18, 39, 51, 53]
[34, 35, 17, 38, 43, 52, 18, 39, 51, 54]
[34, 35, 17, 38, 43, 18, 39, 51, 53, 54]
[34, 35, 17, 38, 43, 52, 18, 39, 53, 54]
[34, 35, 49, 17, 38, 50, 18, 39, 44, 51]
[34, 35, 49, 17, 38, 50, 52, 18, 39, 44]
[34, 35, 49, 17, 38, 50, 18, 39, 44, 53]
[34, 35, 49, 17, 38, 50, 18, 39, 44, 54]
[34, 35, 49, 17, 38, 52, 18, 39, 44, 51]
[34, 35, 49, 17, 38, 18, 39, 44, 51, 53]
[34, 35, 49, 17, 38, 18, 39, 44, 51, 54]
[34, 35, 49, 17, 38, 52, 18, 39, 44, 53]
[34, 35, 49, 17, 38, 52, 18, 39, 44, 54]
[34, 35, 49, 17, 38, 18, 39, 44, 53, 54]
[34, 35, 17, 38, 50, 52, 18, 39, 44, 51]
[34, 35, 17, 38, 50, 18, 39, 44, 51, 53]
[34, 35, 17, 38, 50, 18, 39, 44, 51, 54]
[34, 35, 17, 38, 50, 52, 18, 39, 44, 53]
[34, 35, 17, 38, 50, 52, 18, 39, 44, 54]
[34, 35, 17, 38, 50, 18, 39, 44, 53, 54]
[34, 35, 17, 38, 52, 18, 39, 44, 51, 53]
[34, 35, 17, 38, 52, 18, 39, 44, 51, 54]
[34, 35, 17, 38, 18, 39, 44, 51, 53, 54]
[34, 35, 17, 38, 52, 18, 39, 44, 53, 54]
[34, 35, 49, 17, 38, 50, 52, 18, 39, 51]
[34, 35, 49, 17, 38, 50, 18, 39, 51, 53]
[34, 35, 49, 17, 38, 50, 18, 39, 51, 54]
