[[2, 4], [3], [5], [6, 7]]
[0, 34, 37, 17, 38, 52, 18]
[0, 34, 37, 17, 38, 18, 53]
[0, 34, 37, 17, 38, 18, 54]
[0, 34, 37, 49, 17, 18, 39]
[0, 34, 37, 17, 50, 18, 39]
[0, 34, 37, 17, 18, 39, 51]
[0, 34, 37, 17, 52, 18, 39]
[0, 34, 37, 17, 18, 39, 53]
[0, 34, 37, 17, 18, 39, 54]
[0, 34, 37, 49, 17, 50, 18]
[0, 34, 37, 49, 17, 18, 51]
[0, 34, 37, 49, 17, 52, 18]
[0, 34, 37, 49, 17, 18, 53]
[0, 34, 37, 49, 17, 18, 54]
[0, 34, 37, 17, 50, 18, 51]
[0, 34, 37, 17, 50, 52, 18]
[0, 34, 37, 17, 50, 18, 53]
[0, 34, 37, 17, 50, 18, 54]
[0, 34, 37, 17, 52, 18, 51]
[0, 34, 37, 17, 18, 51, 53]
[0, 34, 37, 17, 18, 51, 54]
[0, 34, 37, 17, 52, 18, 53]
[0, 34, 37, 17, 52, 18, 54]
[0, 34, 37, 17, 18, 53, 54]
[0, 34, 49, 17, 38, 18, 39]
[0, 34, 17, 38, 50, 18, 39]
[0, 34, 17, 38, 18, 39, 51]
[0, 34, 17, 38, 52, 18, 39]
[0, 34, 17, 38, 18, 39, 53]
[0, 34, 17, 38, 18, 39, 54]
[0, 34, 49, 17, 38, 50, 18]
[0, 34, 49, 17, 38, 18, 51]
[0, 34, 49, 17, 38, 52, 18]
[0, 34, 49, 17, 38, 18, 53]
[0, 34, 49, 17, 38, 18, 54]
[0, 34, 17, 38, 50, 18, 51]
[0, 34, 17, 38, 50, 52, 18]
[0, 34, 17, 38, 50, 18, 53]
[0, 34, 17, 38, 50, 18, 54]
[0, 34, 17, 38, 52, 18, 51]
[0, 34, 17, 38, 18, 51, 53]
[0, 34, 17, 38, 18, 51, 54]
[0, 34, 17, 38, 52, 18, 53]
[0, 34, 17, 38, 52, 18, 54]
[0, 34, 17, 38, 18, 53, 54]
[0, 34, 49, 17, 50, 18, 39]
[0, 34, 49, 17, 18, 39, 51]
[0, 34, 49, 17, 52, 18, 39]
[0, 34, 49, 17, 18, 39, 53]
[0, 34, 49, 17, 18, 39, 54]
[0, 34, 17, 50, 18, 39, 51]
[0, 34, 17, 50, 52, 18, 39]
[0, 34, 17, 50, 18, 39, 53]
[0, 34, 17, 50, 18, 39, 54]
[0, 34, 17, 52, 18, 39, 51]
[0, 34, 17, 18, 39, 51, 53]
[0, 34, 17, 18, 39, 51, 54]
[0, 34, 17, 52, 18, 39, 53]
[0, 34, 17, 52, 18, 39, 54]
[0, 34, 17, 18, 39, 53, 54]
[0, 34, 49, 17, 50, 18, 51]
[0, 34, 49, 17, 50, 52, 18]
[0, 34, 49, 17, 50, 18, 53]
[0, 34, 49, 17, 50, 18, 54]
[0, 34, 49, 17, 52, 18, 51]
[0, 34, 49, 17, 18, 51, 53]
[0, 34, 49, 17, 18, 51, 54]
[0, 34, 49, 17, 52, 18, 53]
[0, 34, 49, 17, 52, 18, 54]
[0, 34, 49, 17, 18, 53, 54]
[0, 34, 17, 50, 52, 18, 51]
[0, 34, 17, 50, 18, 51, 53]
[0, 34, 17, 50, 18, 51, 54]
[0, 34, 17, 50, 52, 18, 53]
[0, 34, 17, 50, 52, 18, 54]
[0, 34, 17, 50, 18, 53, 54]
[0, 34, 17, 52, 18, 51, 53]
[0, 34, 17, 52, 18, 51, 54]
[0, 34, 17, 18, 51, 53, 54]
[0, 34, 17, 52, 18, 53, 54]
[0, 37, 49, 17, 38, 18, 39]
[0, 37, 17, 38, 50, 18, 39]
[0, 37, 17, 38, 18, 39, 51]
[0, 37, 17, 38, 52, 18, 39]
[0, 37, 17, 38, 18, 39, 53]
[0, 37, 17, 38, 18, 39, 54]
[0, 37, 49, 17, 38, 50, 18]
[0, 37, 49, 17, 38, 18, 51]
[0, 37, 49, 17, 38, 52, 18]
[0, 37, 49, 17, 38, 18, 53]
[0, 37, 49, 17, 38, 18, 54]
[0, 37, 17, 38, 50, 18, 51]
[0, 37, 17, 38, 50, 52, 18]
[0, 37, 17, 38, 50, 18, 53]
[0, 37, 17, 38, 50, 18, 54]
[0, 37, 17, 38, 52, 18, 51]
[0, 37, 17, 38, 18, 51, 53]
[0, 37, 17, 38, 18, 51, 54]
[0, 37, 17, 38, 52, 18, 53]
[0, 37, 17, 38, 52, 18, 54]
[0, 37, 17, 38, 18, 53, 54]
[0, 37, 49, 17, 50, 18, 39]
[0, 37, 49, 17, 18, 39, 51]
[0, 37, 49, 17, 52, 18, 39]
[0, 37, 49, 17, 18, 39, 53]
[0, 37, 49, 17, 18, 39, 54]
[0, 37, 17, 50, 18, 39, 51]
[0, 37, 17, 50, 52, 18, 39]
[0, 37, 17, 50, 18, 39, 53]
[0, 37, 17, 50, 18, 39, 54]
[0, 37, 17, 52, 18, 39, 51]
[0, 37, 17, 18, 39, 51, 53]
[0, 37, 17, 18, 39, 51, 54]
[0, 37, 17, 52, 18, 39, 53]
[0, 37, 17, 52, 18, 39, 54]
[0, 37, 17, 18, 39, 53, 54]
[0, 37, 49, 17, 50, 18, 51]
[0, 37, 49, 17, 50, 52, 18]
[0, 37, 49, 17, 50, 18, 53]
[0, 37, 49, 17, 50, 18, 54]
[0, 37, 49, 17, 52, 18, 51]
[0, 37, 49, 17, 18, 51, 53]
[0, 37, 49, 17, 18, 51, 54]
[0, 37, 49, 17, 52, 18, 53]
[0, 37, 49, 17, 52, 18, 54]
[0, 37, 49, 17, 18, 53, 54]
[0, 37, 17, 50, 52, 18, 51]
[0, 37, 17, 50, 18, 51, 53]
[0, 37, 17, 50, 18, 51, 54]
[0, 37, 17, 50, 52, 18, 53]
[0, 37, 17, 50, 52, 18, 54]
[0, 37, 17, 50, 18, 53, 54]
[0, 37, 17, 52, 18, 51, 53]
[0, 37, 17, 52, 18, 51, 54]
[0, 37, 17, 18, 51, 53, 54]
[0, 37, 17, 52, 18, 53, 54]
[0, 49, 17, 38, 50, 18, 39]
[0, 49, 17, 38, 18, 39, 51]
[0, 49, 17, 38, 52, 18, 39]
[0, 49, 17, 38, 18, 39, 53]
[0, 49, 17, 38, 18, 39, 54]
[0, 17, 38, 50, 18, 39, 51]
[0, 17, 38, 50, 52, 18, 39]
[0, 17, 38, 50, 18, 39, 53]
[0, 17, 38, 50, 18, 39, 54]
[0, 17, 38, 52, 18, 39, 51]
[0, 17, 38, 18, 39, 51, 53]
[0, 17, 38, 18, 39, 51, 54]
[0, 17, 38, 52, 18, 39, 53]
[0, 17, 38, 52, 18, 39, 54]
[0, 17, 38, 18, 39, 53, 54]
[0, 49, 17, 38, 50, 18, 51]
[0, 49, 17, 38, 50, 52, 18]
[0, 49, 17, 38, 50, 18, 53]
[0, 49, 17, 38, 50, 18, 54]
[0, 49, 17, 38, 52, 18, 51]
[0, 49, 17, 38, 18, 51, 53]
[0, 49, 17, 38, 18, 51, 54]
[0, 49, 17, 38, 52, 18, 53]
[0, 49, 17, 38, 52, 18, 54]
[0, 49, 17, 38, 18, 53, 54]
[0, 17, 38, 50, 52, 18, 51]
[0, 17, 38, 50, 18, 51, 53]
[0, 17, 38, 50, 18, 51, 54]
[0, 17, 38, 50, 52, 18, 53]
[0, 17, 38, 50, 52, 18, 54]
[0, 17, 38, 50, 18, 53, 54]
[0, 17, 38, 52, 18, 51, 53]
[0, 17, 38, 52, 18, 51, 54]
[0, 17, 38, 18, 51, 53, 54]
[0, 17, 38, 52, 18, 53, 54]
[0, 49, 17, 50, 18, 39, 51]
[0, 49, 17, 50, 52, 18, 39]
[0, 49, 17, 50, 18, 39, 53]
[0, 49, 17, 50, 18, 39, 54]
[0, 49, 17, 52, 18, 39, 51]
[0, 49, 17, 18, 39, 51, 53]
[0, 49, 17, 18, 39, 51, 54]
[0, 49, 17, 52, 18, 39, 53]
[0, 49, 17, 52, 18, 39, 54]
[0, 49, 17, 18, 39, 53, 54]
[0, 17, 50, 52, 18, 39, 51]
[0, 17, 50, 18, 39, 51, 53]
[0, 17, 50, 18, 39, 51, 54]
[0, 17, 50, 52, 18, 39, 53]
[0, 17, 50, 52, 18, 39, 54]
[0, 17, 50, 18, 39, 53, 54]
[0, 17, 52, 18, 39, 51, 53]
[0, 17, 52, 18, 39, 51, 54]
[0, 17, 18, 39, 51, 53, 54]
[0, 17, 52, 18, 39, 53, 54]
[0, 49, 17, 50, 52, 18, 51]
[0, 49, 17, 50, 18, 51, 53]
[0, 49, 17, 50, 18, 51, 54]
[0, 49, 17, 50, 52, 18, 53]
[0, 49, 17, 50, 52, 18, 54]
[0, 49, 17, 50, 18, 53, 54]
[0, 49, 17, 52, 18, 51, 53]
[0, 49, 17, 52, 18, 51, 54]
[0, 49, 17, 18, 51, 53, 54]
[0, 49, 17, 52, 18, 53, 54]
[0, 17, 50, 52, 18, 51, 53]
[0, 17, 50, 52, 18, 51, 54]
[0, 17, 50, 18, 51, 53, 54]
[0, 17, 50, 52, 18, 53, 54]
[0, 17, 52, 18, 51, 53, 54]
[0, 34, 37, 49, 17, 38, 39]
[0, 34, 37, 17, 38, 50, 39]
[0, 34, 37, 17, 38, 39, 51]
[0, 34, 37, 17, 38, 52, 39]
[0, 34, 37, 17, 38, 39, 53]
[0, 34, 37, 17, 38, 39, 54]
[0, 34, 37, 49, 17, 38, 50]
[0, 34, 37, 49, 17, 38, 51]
[0, 34, 37, 49, 17, 38, 52]
[0, 34, 37, 49, 17, 38, 53]
[0, 34, 37, 49, 17, 38, 54]
[0, 34, 37, 17, 38, 50, 51]
[0, 34, 37, 17, 38, 50, 52]
[0, 34, 37, 17, 38, 50, 53]
[0, 34, 37, 17, 38, 50, 54]
[0, 34, 37, 17, 38, 52, 51]
[0, 34, 37, 17, 38, 51, 53]
[0, 34, 37, 17, 38, 51, 54]
[0, 34, 37, 17, 38, 52, 53]
[0, 34, 37, 17, 38, 52, 54]
[0, 34, 37, 17, 38, 53, 54]
