[[2, 4], [3], [5], [6, 7]]
[4, 34, 16, 49, 9, 51]
[4, 34, 16, 49, 52, 9]
[4, 34, 16, 49, 9, 53]
[4, 34, 16, 49, 9, 54]
[4, 34, 16, 50, 9, 51]
[4, 34, 16, 50, 52, 9]
[4, 34, 16, 50, 9, 53]
[4, 34, 16, 50, 9, 54]
[4, 34, 16, 52, 9, 51]
[4, 34, 16, 9, 51, 53]
[4, 34, 16, 9, 51, 54]
[4, 34, 16, 52, 9, 53]
[4, 34, 16, 52, 9, 54]
[4, 34, 16, 9, 53, 54]
[4, 16, 37, 38, 9, 39]
[4, 16, 37, 49, 38, 9]
[4, 16, 37, 38, 50, 9]
[4, 16, 37, 38, 9, 51]
[4, 16, 37, 38, 52, 9]
[4, 16, 37, 38, 9, 53]
[4, 16, 37, 38, 9, 54]
[4, 16, 37, 49, 9, 39]
[4, 16, 37, 50, 9, 39]
[4, 16, 37, 9, 39, 51]
[4, 16, 37, 52, 9, 39]
[4, 16, 37, 9, 39, 53]
[4, 16, 37, 9, 39, 54]
[4, 16, 37, 49, 50, 9]
[4, 16, 37, 49, 9, 51]
[4, 16, 37, 49, 52, 9]
[4, 16, 37, 49, 9, 53]
[4, 16, 37, 49, 9, 54]
[4, 16, 37, 50, 9, 51]
[4, 16, 37, 50, 52, 9]
[4, 16, 37, 50, 9, 53]
[4, 16, 37, 50, 9, 54]
[4, 16, 37, 52, 9, 51]
[4, 16, 37, 9, 51, 53]
[4, 16, 37, 9, 51, 54]
[4, 16, 37, 52, 9, 53]
[4, 16, 37, 52, 9, 54]
[4, 16, 37, 9, 53, 54]
[4, 16, 49, 38, 9, 39]
[4, 16, 38, 50, 9, 39]
[4, 16, 38, 9, 39, 51]
[4, 16, 38, 52, 9, 39]
[4, 16, 38, 9, 39, 53]
[4, 16, 38, 9, 39, 54]
[4, 16, 49, 38, 50, 9]
[4, 16, 49, 38, 9, 51]
[4, 16, 49, 38, 52, 9]
[4, 16, 49, 38, 9, 53]
[4, 16, 49, 38, 9, 54]
[4, 16, 38, 50, 9, 51]
[4, 16, 38, 50, 52, 9]
[4, 16, 38, 50, 9, 53]
[4, 16, 38, 50, 9, 54]
[4, 16, 38, 52, 9, 51]
[4, 16, 38, 9, 51, 53]
[4, 16, 38, 9, 51, 54]
[4, 16, 38, 52, 9, 53]
[4, 16, 38, 52, 9, 54]
[4, 16, 38, 9, 53, 54]
[4, 16, 49, 50, 9, 39]
