[[2, 4], [3], [5], [6, 7]]
[34, 7, 16, 37, 8, 50, 51]
[34, 7, 16, 37, 8, 50, 52]
[34, 7, 16, 37, 8, 50, 53]
[34, 7, 16, 37, 8, 50, 54]
[34, 7, 16, 37, 8, 52, 51]
[34, 7, 16, 37, 8, 51, 53]
[34, 7, 16, 37, 8, 51, 54]
[34, 7, 16, 37, 8, 52, 53]
[34, 7, 16, 37, 8, 52, 54]
[34, 7, 16, 37, 8, 53, 54]
[34, 7, 16, 49, 8, 38, 39]
[34, 7, 16, 8, 38, 50, 39]
[34, 7, 16, 8, 38, 39, 51]
[34, 7, 16, 8, 38, 52, 39]
[34, 7, 16, 8, 38, 39, 53]
[34, 7, 16, 8, 38, 39, 54]
[34, 7, 16, 49, 8, 38, 50]
[34, 7, 16, 49, 8, 38, 51]
[34, 7, 16, 49, 8, 38, 52]
[34, 7, 16, 49, 8, 38, 53]
[34, 7, 16, 49, 8, 38, 54]
[34, 7, 16, 8, 38, 50, 51]
[34, 7, 16, 8, 38, 50, 52]
[34, 7, 16, 8, 38, 50, 53]
[34, 7, 16, 8, 38, 50, 54]
[34, 7, 16, 8, 38, 52, 51]
[34, 7, 16, 8, 38, 51, 53]
[34, 7, 16, 8, 38, 51, 54]
[34, 7, 16, 8, 38, 52, 53]
[34, 7, 16, 8, 38, 52, 54]
[34, 7, 16, 8, 38, 53, 54]
[34, 7, 16, 49, 8, 50, 39]
[34, 7, 16, 49, 8, 39, 51]
[34, 7, 16, 49, 8, 52, 39]
[34, 7, 16, 49, 8, 39, 53]
[34, 7, 16, 49, 8, 39, 54]
[34, 7, 16, 8, 50, 39, 51]
[34, 7, 16, 8, 50, 52, 39]
[34, 7, 16, 8, 50, 39, 53]
[34, 7, 16, 8, 50, 39, 54]
[34, 7, 16, 8, 52, 39, 51]
[34, 7, 16, 8, 39, 51, 53]
[34, 7, 16, 8, 39, 51, 54]
[34, 7, 16, 8, 52, 39, 53]
[34, 7, 16, 8, 52, 39, 54]
[34, 7, 16, 8, 39, 53, 54]
[34, 7, 16, 49, 8, 50, 51]
[34, 7, 16, 49, 8, 50, 52]
[34, 7, 16, 49, 8, 50, 53]
[34, 7, 16, 49, 8, 50, 54]
[34, 7, 16, 49, 8, 52, 51]
[34, 7, 16, 49, 8, 51, 53]
[34, 7, 16, 49, 8, 51, 54]
[34, 7, 16, 49, 8, 52, 53]
[34, 7, 16, 49, 8, 52, 54]
[34, 7, 16, 49, 8, 53, 54]
[34, 7, 16, 8, 50, 52, 51]
[34, 7, 16, 8, 50, 51, 53]
[34, 7, 16, 8, 50, 51, 54]
[34, 7, 16, 8, 50, 52, 53]
[34, 7, 16, 8, 50, 52, 54]
[34, 7, 16, 8, 50, 53, 54]
[34, 7, 16, 8, 52, 51, 53]
[34, 7, 16, 8, 52, 51, 54]
[34, 7, 16, 8, 51, 53, 54]
[34, 7, 16, 8, 52, 53, 54]
[7, 16, 37, 49, 8, 38, 39]
[7, 16, 37, 8, 38, 50, 39]
[7, 16, 37, 8, 38, 39, 51]
[7, 16, 37, 8, 38, 52, 39]
[7, 16, 37, 8, 38, 39, 53]
[7, 16, 37, 8, 38, 39, 54]
[7, 16, 37, 49, 8, 38, 50]
[7, 16, 37, 49, 8, 38, 51]
[7, 16, 37, 49, 8, 38, 52]
[7, 16, 37, 49, 8, 38, 53]
[7, 16, 37, 49, 8, 38, 54]
[7, 16, 37, 8, 38, 50, 51]
[7, 16, 37, 8, 38, 50, 52]
[7, 16, 37, 8, 38, 50, 53]
[7, 16, 37, 8, 38, 50, 54]
[7, 16, 37, 8, 38, 52, 51]
[7, 16, 37, 8, 38, 51, 53]
[7, 16, 37, 8, 38, 51, 54]
[7, 16, 37, 8, 38, 52, 53]
[7, 16, 37, 8, 38, 52, 54]
[7, 16, 37, 8, 38, 53, 54]
[7, 16, 37, 49, 8, 50, 39]
[7, 16, 37, 49, 8, 39, 51]
[7, 16, 37, 49, 8, 52, 39]
[7, 16, 37, 49, 8, 39, 53]
[7, 16, 37, 49, 8, 39, 54]
[7, 16, 37, 8, 50, 39, 51]
[7, 16, 37, 8, 50, 52, 39]
[7, 16, 37, 8, 50, 39, 53]
[7, 16, 37, 8, 50, 39, 54]
[7, 16, 37, 8, 52, 39, 51]
[7, 16, 37, 8, 39, 51, 53]
[7, 16, 37, 8, 39, 51, 54]
[7, 16, 37, 8, 52, 39, 53]
[7, 16, 37, 8, 52, 39, 54]
[7, 16, 37, 8, 39, 53, 54]
[7, 16, 37, 49, 8, 50, 51]
[7, 16, 37, 49, 8, 50, 52]
[7, 16, 37, 49, 8, 50, 53]
[7, 16, 37, 49, 8, 50, 54]
[7, 16, 37, 49, 8, 52, 51]
[7, 16, 37, 49, 8, 51, 53]
[7, 16, 37, 49, 8, 51, 54]
[7, 16, 37, 49, 8, 52, 53]
[7, 16, 37, 49, 8, 52, 54]
[7, 16, 37, 49, 8, 53, 54]
