[[2, 4], [3], [5], [6, 7]]
[0, 1, 13, 37, 49, 9, 51]
[0, 1, 13, 37, 49, 52, 9]
[0, 1, 13, 37, 49, 9, 53]
[0, 1, 13, 37, 49, 9, 54]
[0, 1, 13, 37, 50, 9, 51]
[0, 1, 13, 37, 50, 52, 9]
[0, 1, 13, 37, 50, 9, 53]
[0, 1, 13, 37, 50, 9, 54]
[0, 1, 13, 37, 52, 9, 51]
[0, 1, 13, 37, 9, 51, 53]
[0, 1, 13, 37, 9, 51, 54]
[0, 1, 13, 37, 52, 9, 53]
[0, 1, 13, 37, 52, 9, 54]
[0, 1, 13, 37, 9, 53, 54]
[0, 1, 13, 49, 38, 9, 39]
[0, 1, 13, 38, 50, 9, 39]
[0, 1, 13, 38, 9, 39, 51]
[0, 1, 13, 38, 52, 9, 39]
[0, 1, 13, 38, 9, 39, 53]
[0, 1, 13, 38, 9, 39, 54]
[0, 1, 13, 49, 38, 50, 9]
[0, 1, 13, 49, 38, 9, 51]
[0, 1, 13, 49, 38, 52, 9]
[0, 1, 13, 49, 38, 9, 53]
[0, 1, 13, 49, 38, 9, 54]
[0, 1, 13, 38, 50, 9, 51]
[0, 1, 13, 38, 50, 52, 9]
[0, 1, 13, 38, 50, 9, 53]
[0, 1, 13, 38, 50, 9, 54]
[0, 1, 13, 38, 52, 9, 51]
[0, 1, 13, 38, 9, 51, 53]
[0, 1, 13, 38, 9, 51, 54]
[0, 1, 13, 38, 52, 9, 53]
[0, 1, 13, 38, 52, 9, 54]
[0, 1, 13, 38, 9, 53, 54]
[0, 1, 13, 49, 50, 9, 39]
[0, 1, 13, 49, 9, 39, 51]
[0, 1, 13, 49, 52, 9, 39]
[0, 1, 13, 49, 9, 39, 53]
[0, 1, 13, 49, 9, 39, 54]
[0, 1, 13, 50, 9, 39, 51]
[0, 1, 13, 50, 52, 9, 39]
[0, 1, 13, 50, 9, 39, 53]
[0, 1, 13, 50, 9, 39, 54]
[0, 1, 13, 52, 9, 39, 51]
[0, 1, 13, 9, 39, 51, 53]
[0, 1, 13, 9, 39, 51, 54]
[0, 1, 13, 52, 9, 39, 53]
[0, 1, 13, 52, 9, 39, 54]
[0, 1, 13, 9, 39, 53, 54]
[0, 1, 13, 49, 50, 9, 51]
[0, 1, 13, 49, 50, 52, 9]
[0, 1, 13, 49, 50, 9, 53]
[0, 1, 13, 49, 50, 9, 54]
[0, 1, 13, 49, 52, 9, 51]
[0, 1, 13, 49, 9, 51, 53]
[0, 1, 13, 49, 9, 51, 54]
[0, 1, 13, 49, 52, 9, 53]
[0, 1, 13, 49, 52, 9, 54]
[0, 1, 13, 49, 9, 53, 54]
[0, 1, 13, 50, 52, 9, 51]
[0, 1, 13, 50, 9, 51, 53]
[0, 1, 13, 50, 9, 51, 54]
[0, 1, 13, 50, 52, 9, 53]
[0, 1, 13, 50, 52, 9, 54]
[0, 1, 13, 50, 9, 53, 54]
[0, 1, 13, 52, 9, 51, 53]
[0, 1, 13, 52, 9, 51, 54]
[0, 1, 13, 9, 51, 53, 54]
[0, 1, 13, 52, 9, 53, 54]
[0, 1, 34, 16, 17, 9, 18]
[0, 1, 16, 37, 17, 9, 18]
[0, 1, 16, 17, 38, 9, 18]
[0, 1, 16, 17, 9, 18, 39]
[0, 1, 16, 49, 17, 9, 18]
[0, 1, 16, 17, 50, 9, 18]
[0, 1, 16, 17, 9, 18, 51]
[0, 1, 16, 17, 52, 9, 18]
[0, 1, 16, 17, 9, 18, 53]
[0, 1, 16, 17, 9, 18, 54]
[0, 1, 34, 16, 37, 17, 9]
[0, 1, 34, 16, 17, 38, 9]
[0, 1, 34, 16, 17, 9, 39]
[0, 1, 34, 16, 49, 17, 9]
[0, 1, 34, 16, 17, 50, 9]
[0, 1, 34, 16, 17, 9, 51]
[0, 1, 34, 16, 17, 52, 9]
[0, 1, 34, 16, 17, 9, 53]
[0, 1, 34, 16, 17, 9, 54]
[0, 1, 16, 37, 17, 38, 9]
[0, 1, 16, 37, 17, 9, 39]
[0, 1, 16, 37, 49, 17, 9]
[0, 1, 16, 37, 17, 50, 9]
[0, 1, 16, 37, 17, 9, 51]
[0, 1, 16, 37, 17, 52, 9]
[0, 1, 16, 37, 17, 9, 53]
[0, 1, 16, 37, 17, 9, 54]
[0, 1, 16, 17, 38, 9, 39]
[0, 1, 16, 49, 17, 38, 9]
[0, 1, 16, 17, 38, 50, 9]
[0, 1, 16, 17, 38, 9, 51]
[0, 1, 16, 17, 38, 52, 9]
[0, 1, 16, 17, 38, 9, 53]
[0, 1, 16, 17, 38, 9, 54]
[0, 1, 16, 49, 17, 9, 39]
[0, 1, 16, 17, 50, 9, 39]
[0, 1, 16, 17, 9, 39, 51]
[0, 1, 16, 17, 52, 9, 39]
[0, 1, 16, 17, 9, 39, 53]
[0, 1, 16, 17, 9, 39, 54]
[0, 1, 16, 49, 17, 50, 9]
[0, 1, 16, 49, 17, 9, 51]
[0, 1, 16, 49, 17, 52, 9]
[0, 1, 16, 49, 17, 9, 53]
[0, 1, 16, 49, 17, 9, 54]
[0, 1, 16, 17, 50, 9, 51]
[0, 1, 16, 17, 50, 52, 9]
[0, 1, 16, 17, 50, 9, 53]
[0, 1, 16, 17, 50, 9, 54]
[0, 1, 16, 17, 52, 9, 51]
