[[0, 1, 4, 5, 7], [2, 4], [3, 5], [6, 7]]
[34, 35, 40, 37, 49, 38, 43, 50, 39, 44, 54]
[34, 35, 40, 37, 49, 38, 43, 52, 39, 44, 51]
[34, 35, 40, 37, 49, 38, 43, 39, 44, 51, 53]
[34, 35, 40, 37, 49, 38, 43, 39, 44, 51, 54]
[34, 35, 40, 37, 49, 38, 43, 52, 39, 44, 53]
[34, 35, 40, 37, 49, 38, 43, 52, 39, 44, 54]
[34, 35, 40, 37, 49, 38, 43, 39, 44, 53, 54]
[34, 35, 40, 37, 38, 43, 50, 52, 39, 44, 51]
[34, 35, 40, 37, 38, 43, 50, 39, 44, 51, 53]
[34, 35, 40, 37, 38, 43, 50, 39, 44, 51, 54]
[34, 35, 40, 37, 38, 43, 50, 52, 39, 44, 53]
[34, 35, 40, 37, 38, 43, 50, 52, 39, 44, 54]
[34, 35, 40, 37, 38, 43, 50, 39, 44, 53, 54]
[34, 35, 40, 37, 38, 43, 52, 39, 44, 51, 53]
[34, 35, 40, 37, 38, 43, 52, 39, 44, 51, 54]
[34, 35, 40, 37, 38, 43, 39, 44, 51, 53, 54]
[34, 35, 40, 37, 38, 43, 52, 39, 44, 53, 54]
[34, 35, 40, 37, 49, 38, 43, 50, 52, 39, 51]
[34, 35, 40, 37, 49, 38, 43, 50, 39, 51, 53]
[34, 35, 40, 37, 49, 38, 43, 50, 39, 51, 54]
[34, 35, 40, 37, 49, 38, 43, 50, 52, 39, 53]
[34, 35, 40, 37, 49, 38, 43, 50, 52, 39, 54]
[34, 35, 40, 37, 49, 38, 43, 50, 39, 53, 54]
[34, 35, 40, 37, 49, 38, 43, 52, 39, 51, 53]
[34, 35, 40, 37, 49, 38, 43, 52, 39, 51, 54]
[34, 35, 40, 37, 49, 38, 43, 39, 51, 53, 54]
[34, 35, 40, 37, 49, 38, 43, 52, 39, 53, 54]
[34, 35, 40, 37, 38, 43, 50, 52, 39, 51, 53]
[34, 35, 40, 37, 38, 43, 50, 52, 39, 51, 54]
[34, 35, 40, 37, 38, 43, 50, 39, 51, 53, 54]
[34, 35, 40, 37, 38, 43, 50, 52, 39, 53, 54]
[34, 35, 40, 37, 38, 43, 52, 39, 51, 53, 54]
[34, 35, 40, 37, 49, 38, 50, 52, 39, 44, 51]
[34, 35, 40, 37, 49, 38, 50, 39, 44, 51, 53]
[34, 35, 40, 37, 49, 38, 50, 39, 44, 51, 54]
[34, 35, 40, 37, 49, 38, 50, 52, 39, 44, 53]
[34, 35, 40, 37, 49, 38, 50, 52, 39, 44, 54]
[34, 35, 40, 37, 49, 38, 50, 39, 44, 53, 54]
[34, 35, 40, 37, 49, 38, 52, 39, 44, 51, 53]
[34, 35, 40, 37, 49, 38, 52, 39, 44, 51, 54]
[34, 35, 40, 37, 49, 38, 39, 44, 51, 53, 54]
[34, 35, 40, 37, 49, 38, 52, 39, 44, 53, 54]
[34, 35, 40, 37, 38, 50, 52, 39, 44, 51, 53]
[34, 35, 40, 37, 38, 50, 52, 39, 44, 51, 54]
[34, 35, 40, 37, 38, 50, 39, 44, 51, 53, 54]
[34, 35, 40, 37, 38, 50, 52, 39, 44, 53, 54]
[34, 35, 40, 37, 38, 52, 39, 44, 51, 53, 54]
