[[0, 1, 4, 7], [2, 4], [3, 5], [6, 7]]
[[2,4,11,12,27,91],[10, 16, 49, 53, 54]]
[[2,8,11,20,47,83],[10, 16, 50, 51, 53]]
[[1,5,7,25,11,107],[10, 16, 50, 51, 54]]
[[2,4,5,28,37,85],[10, 16, 50, 52, 53]]
[[2,6,17,18,12,81],[10, 16, 52, 51, 53]]
[[2,6,8,22,17,114],[10, 16, 51, 53, 54]]
[[0,8,15,36,30,71],[10, 16, 52, 53, 54]]
[[2,6,11,38,37,87],[10, 34, 17, 18, 53]]
[[1,3,4,15,36,60],[10, 34, 17, 18, 54]]
[[3,11,15,23,38,77],[10, 35, 17, 18, 53]]
[[2,6,8,22,27,126],[10, 35, 17, 18, 54]]
[[2,10,20,30,17,64],[10, 37, 17, 18, 53]]
[[1,5,10,9,36,56],[10, 37, 17, 18, 54]]
[[1,7,10,23,46,82],[10, 17, 38, 18, 54]]
[[2,8,11,16,47,65],[10, 17, 18, 39, 53]]
[[1,5,13,13,46,65],[10, 17, 18, 39, 54]]
[[3,7,21,27,38,61],[10, 42, 17, 18, 53]]
[[2,4,11,8,37,97],[10, 42, 17, 18, 54]]
[[3,13,9,29,43,85],[10, 17, 43, 18, 53]]
[[2,8,8,36,37,68],[10, 17, 52, 18, 44]]
[[3,9,3,17,43,99],[10, 17, 18, 44, 53]]
[[1,5,10,13,31,62],[10, 49, 17, 18, 54]]
[[2,4,2,16,32,64],[10, 17, 52, 18, 53]]
[[2,8,14,32,32,92],[10, 17, 18, 53, 54]]
[[3,7,12,39,33,70],[10, 34, 35, 17, 53]]
[[2,6,14,18,37,72],[10, 34, 35, 17, 54]]
[[2,2,17,14,22,101],[10, 34, 37, 17, 53]]
[[1,5,16,17,51,50],[10, 34, 37, 17, 54]]
[[1,5,7,37,46,95],[10, 34, 17, 38, 54]]
[[2,6,17,18,7,69],[10, 34, 17, 39, 53]]
[[3,7,21,23,33,103],[10, 34, 42, 17, 53]]
[[2,4,20,20,17,76],[10, 34, 42, 17, 54]]
[[2,2,11,14,22,95],[10, 34, 17, 43, 54]]
