[[0, 1, 4, 7], [2, 4], [3, 5], [6, 7]]
[[2,4,14,20,27,112],[34, 16, 37, 50, 54]]
[[3,7,15,23,33,103],[34, 16, 37, 51, 53]]
[[3,7,15,31,28,91],[34, 16, 37, 52, 53]]
[[3,11,15,15,68,65],[34, 16, 37, 53, 54]]
[[3,11,15,23,38,71],[34, 16, 38, 39, 53]]
[[4,8,16,24,39,92],[34, 16, 42, 38, 53]]
[[4,10,19,26,24,67],[34, 16, 38, 43, 53]]
[[3,5,15,13,33,125],[34, 16, 38, 52, 44]]
[[4,12,13,28,29,63],[34, 16, 38, 44, 53]]
[[3,5,18,17,33,134],[34, 16, 38, 50, 53]]
[[3,13,9,25,48,79],[34, 16, 38, 51, 53]]
[[3,3,9,11,33,105],[34, 16, 38, 52, 53]]
[[2,2,2,14,37,32],[34, 16, 38, 52, 54]]
[[3,11,15,31,18,77],[34, 16, 38, 53, 54]]
[[4,4,19,12,49,91],[34, 40, 16, 39, 53]]
[[4,10,19,18,29,73],[34, 16, 42, 39, 53]]
[[4,12,10,32,24,72],[34, 16, 43, 39, 53]]
[[3,9,18,37,28,72],[34, 16, 52, 39, 44]]
[[4,8,22,16,29,110],[34, 16, 39, 44, 53]]
[[3,5,6,13,43,104],[34, 16, 49, 39, 53]]
[[2,10,8,34,42,70],[34, 16, 50, 39, 54]]
[[3,9,9,41,33,45],[34, 16, 39, 51, 53]]
[[3,11,9,27,23,101],[34, 16, 52, 39, 53]]
[[3,7,9,23,28,97],[34, 16, 39, 53, 54]]
[[3,11,12,23,53,62],[34, 40, 16, 43, 53]]
[[2,4,17,20,32,91],[34, 40, 16, 52, 44]]
[[3,7,9,31,33,121],[34, 40, 16, 44, 53]]
[[4,10,13,26,24,109],[34, 40, 16, 52, 53]]
[[4,6,19,10,39,99],[34, 40, 16, 53, 54]]
[[3,5,9,37,33,65],[34, 16, 42, 43, 53]]
[[2,4,11,28,27,91],[34, 16, 42, 52, 44]]
[[4,8,16,20,49,80],[34, 16, 42, 49, 53]]
[[4,8,13,24,34,77],[34, 16, 42, 50, 53]]
[[3,7,12,19,33,124],[34, 16, 42, 50, 54]]
[[4,12,16,24,24,78],[34, 16, 42, 51, 53]]
[[4,6,13,30,29,75],[34, 16, 42, 52, 53]]
[[2,2,14,14,32,92],[34, 16, 43, 52, 44]]
[[3,5,12,33,38,62],[34, 16, 43, 44, 53]]
[[4,6,16,18,34,108],[34, 16, 49, 43, 53]]
[[4,8,13,32,39,83],[34, 16, 43, 50, 53]]
[[3,7,18,23,18,100],[34, 16, 43, 50, 54]]
[[4,6,13,18,49,123],[34, 16, 43, 51, 53]]
[[4,8,16,44,24,50],[34, 16, 43, 52, 53]]
[[3,7,15,31,33,67],[34, 16, 43, 52, 54]]
[[4,8,10,32,24,68],[34, 16, 43, 53, 54]]
[[3,7,15,19,38,115],[34, 16, 49, 52, 44]]
[[3,5,21,13,28,77],[34, 16, 50, 52, 44]]
[[4,8,13,16,39,107],[34, 16, 50, 44, 53]]
[[4,8,16,20,29,104],[34, 16, 52, 44, 53]]
[[3,7,12,31,43,40],[34, 16, 49, 50, 53]]
[[3,5,15,29,43,77],[34, 16, 49, 51, 53]]
[[3,5,9,25,43,101],[34, 16, 49, 52, 53]]
[[3,9,15,33,28,105],[34, 16, 49, 53, 54]]
[[3,5,6,21,43,86],[34, 16, 50, 51, 53]]
[[2,6,17,18,22,69],[34, 16, 50, 51, 54]]
[[3,7,12,31,43,88],[34, 16, 50, 53, 54]]
[[3,9,24,25,23,66],[34, 16, 52, 51, 53]]
[[4,6,4,30,49,96],[35, 16, 37, 38, 53]]
[[4,8,16,32,29,86],[35, 16, 37, 39, 53]]
[[3,5,15,13,38,107],[35, 40, 16, 37, 53]]
[[3,9,6,25,28,108],[35, 16, 37, 43, 53]]
[[3,7,15,27,23,91],[35, 16, 37, 44, 53]]
[[4,10,16,30,34,46],[35, 16, 37, 50, 53]]
[[3,13,9,25,33,85],[35, 16, 37, 50, 54]]
[[4,8,10,40,34,80],[35, 16, 38, 39, 53]]
[[3,9,9,29,38,123],[35, 40, 16, 38, 53]]
[[3,5,18,13,38,116],[35, 16, 42, 38, 53]]
