[ 10, 49, 52, 18, 44, 51, 53, 54 ],1
[ 10, 34, 35, 40, 37, 42, 39, 54 ],1
[ 10, 34, 35, 40, 37, 43, 39, 44 ],1
[ 10, 34, 35, 40, 37, 52, 39, 54 ],1
[ 10, 34, 35, 40, 37, 42, 52, 44 ],1
[ 10, 34, 35, 40, 37, 49, 52, 54 ],1
[ 10, 34, 35, 40, 37, 51, 53, 54 ],1
[ 10, 34, 35, 37, 42, 43, 52, 44 ],1
[ 10, 34, 35, 37, 42, 49, 44, 54 ],1
[ 10, 34, 35, 37, 42, 49, 51, 54 ],1
[ 10, 34, 35, 37, 43, 50, 51, 54 ],1
[ 10, 34, 35, 37, 49, 50, 44, 53 ],1
[ 10, 34, 35, 37, 49, 44, 51, 54 ],1
[ 10, 34, 35, 37, 50, 52, 44, 53 ],1
[ 13, 34, 40, 49, 38, 50, 52, 18, 39, 44, 51, 53, 54 ],1
[ 13, 37, 42, 49, 38, 43, 50, 18, 39, 44, 51, 53, 54 ],1
[ 34, 14, 35, 16, 37, 42, 49, 17, 38, 18, 39, 44, 53 ],1
[ 34, 14, 35, 16, 37, 49, 17, 38, 52, 18, 39, 51, 54 ],1
[ 34, 14, 35, 16, 37, 17, 38, 52, 18, 39, 51, 53, 54 ],1
[ 34, 14, 35, 40, 16, 37, 42, 17, 38, 43, 52, 18, 54 ],1
[ 34, 14, 35, 40, 16, 37, 42, 17, 38, 18, 44, 51, 54 ],1
[ 34, 14, 35, 40, 16, 37, 42, 49, 17, 38, 18, 51, 54 ],1
[ 34, 14, 35, 40, 16, 37, 49, 17, 38, 43, 18, 44, 53 ],1
[ 34, 14, 35, 40, 16, 37, 49, 17, 38, 50, 52, 18, 44 ],1
[ 34, 14, 35, 40, 16, 37, 49, 17, 38, 18, 44, 51, 54 ],1
[ 34, 14, 35, 40, 16, 37, 17, 38, 52, 18, 44, 53, 54 ],1
[ 34, 14, 35, 16, 37, 42, 17, 38, 43, 18, 44, 51, 54 ],1
[ 34, 14, 35, 16, 37, 49, 17, 38, 43, 52, 18, 44, 53 ],1
[ 34, 14, 35, 16, 37, 17, 38, 43, 52, 18, 44, 53, 54 ],1
[ 34, 14, 35, 16, 37, 17, 38, 43, 50, 18, 51, 53, 54 ],1
[ 34, 14, 35, 16, 37, 49, 17, 38, 52, 18, 44, 51, 54 ],1
[ 34, 14, 35, 16, 37, 49, 17, 38, 18, 44, 51, 53, 54 ],1
[ 34, 14, 35, 16, 37, 17, 38, 50, 52, 18, 51, 53, 54 ],1
[ 34, 14, 35, 40, 16, 37, 17, 43, 52, 18, 39, 51, 54 ],1
[ 34, 14, 35, 40, 16, 37, 17, 18, 39, 44, 51, 53, 54 ],1
[ 34, 14, 35, 40, 16, 37, 17, 50, 18, 39, 51, 53, 54 ],1
[ 34, 14, 35, 16, 37, 42, 17, 43, 18, 39, 44, 51, 54 ],1
[ 34, 14, 35, 16, 37, 42, 17, 43, 52, 18, 39, 51, 54 ],1
[ 34, 14, 35, 16, 37, 42, 49, 17, 50, 18, 39, 53, 54 ],1
[ 34, 14, 35, 16, 37, 49, 17, 43, 50, 18, 39, 44, 51 ],1
[ 34, 14, 35, 16, 37, 49, 17, 43, 52, 18, 39, 44, 54 ],1
[ 14, 35, 16, 42, 49, 17, 38, 50, 52, 18, 39, 54 ],1
[ 34, 14, 35, 16, 37, 17, 43, 52, 18, 39, 44, 51, 54 ],1
[ 34, 14, 35, 16, 37, 17, 43, 18, 39, 44, 51, 53, 54 ],1
[ 34, 14, 35, 16, 37, 49, 17, 43, 52, 18, 39, 53, 54 ],1
[ 34, 14, 35, 16, 37, 17, 50, 52, 18, 39, 44, 51, 54 ],1
[ 34, 14, 35, 16, 37, 17, 52, 18, 39, 44, 51, 53, 54 ],1
[ 34, 14, 35, 40, 16, 37, 42, 49, 17, 43, 50, 18, 44 ],1
[ 34, 14, 35, 40, 16, 49, 17, 38, 50, 18, 39, 44, 53 ],1
[ 34, 14, 35, 16, 42, 17, 38, 43, 50, 52, 18, 39, 54 ],1
[ 34, 14, 35, 16, 42, 49, 17, 38, 50, 18, 39, 51, 54 ],1
