[[1, 4, 5, 7], [2, 4], [3, 5], [6, 7]]
[[2,6,5,30,22,99],[0, 7, 50, 53, 54]]
[[3,9,12,37,28,90],[0, 35, 8, 9, 53]]
[[3,9,12,25,18,84],[0, 40, 8, 9, 53]]
[[2,8,14,16,32,80],[0, 8, 52, 9, 44]]
[[4,6,16,22,34,90],[0, 34, 8, 38, 53]]
[[3,5,9,21,58,71],[0, 35, 8, 43, 53]]
[[3,5,15,17,23,101],[0, 35, 8, 52, 53]]
[[4,6,10,46,24,78],[0, 37, 8, 52, 53]]
[[3,15,9,23,33,75],[0, 8, 38, 39, 53]]
[[2,2,8,18,37,44],[0, 8, 38, 52, 44]]
[[2,10,8,30,32,100],[0, 8, 38, 44, 53]]
[[3,3,6,19,28,78],[0, 8, 38, 52, 51]]
[[3,5,9,13,33,89],[0, 8, 38, 53, 54]]
[[3,7,3,31,23,79],[0, 8, 50, 39, 53]]
[[3,7,12,27,33,112],[0, 40, 8, 52, 53]]
[[3,7,15,35,28,85],[0, 42, 8, 43, 53]]
[[2,12,11,32,32,75],[0, 8, 43, 44, 53]]
[[3,3,9,19,23,75],[0, 8, 43, 52, 54]]
[[2,6,5,26,32,69],[0, 8, 50, 52, 44]]
[[2,6,2,26,27,36],[0, 8, 50, 44, 53]]
[[2,8,8,20,47,104],[0, 8, 52, 44, 53]]
[[3,7,9,15,58,85],[0, 8, 52, 51, 53]]
[[3,11,6,23,28,68],[0, 34, 38, 9, 53]]
[[3,5,12,29,38,62],[0, 34, 50, 9, 53]]
[[3,5,12,41,38,68],[0, 34, 52, 9, 53]]
[[4,6,10,22,59,54],[0, 35, 43, 9, 53]]
[[3,13,9,29,43,85],[0, 37, 52, 9, 53]]
[[2,12,14,20,42,78],[0, 38, 9, 39, 53]]
[[4,6,16,14,44,114],[0, 40, 38, 9, 53]]
[[3,3,12,19,28,90],[0, 38, 52, 9, 44]]
[[3,9,12,25,23,90],[0, 38, 9, 44, 53]]
[[3,11,12,23,28,92],[0, 49, 38, 9, 53]]
[[2,8,8,24,17,44],[0, 38, 9, 51, 53]]
[[2,6,8,30,32,90],[0, 38, 52, 9, 54]]
[[2,12,11,28,17,87],[0, 38, 9, 53, 54]]
[[2,6,8,42,47,72],[0, 43, 9, 39, 53]]
[[2,12,8,20,27,60],[0, 50, 9, 39, 53]]
[[4,8,10,28,24,104],[0, 40, 50, 9, 53]]
[[4,10,16,14,49,58],[0, 42, 43, 9, 53]]
[[4,10,19,22,19,103],[0, 42, 52, 9, 53]]
[[3,7,9,11,43,85],[0, 43, 9, 44, 53]]
[[2,14,8,30,37,62],[0, 43, 9, 51, 53]]
[[2,12,8,36,42,60],[0, 43, 52, 9, 54]]
[[3,7,6,23,28,88],[0, 50, 52, 9, 44]]
[[3,9,15,25,23,81],[0, 50, 9, 44, 53]]
[[3,5,6,21,28,98],[0, 52, 9, 44, 53]]
[[3,5,12,29,38,62],[0, 49, 50, 9, 53]]
[[3,13,9,33,33,55],[0, 49, 52, 9, 53]]
[[2,8,8,20,32,104],[0, 50, 52, 9, 51]]
[[2,8,5,36,27,65],[0, 50, 52, 9, 54]]
[[2,10,11,34,37,85],[0, 50, 9, 53, 54]]
[[3,9,9,21,43,69],[0, 34, 35, 39, 53]]
[[3,11,12,23,48,56],[0, 34, 35, 40, 53]]
[[3,5,9,21,33,113],[0, 34, 35, 42, 53]]
[[4,8,10,24,34,104],[0, 34, 35, 44, 53]]
[[2,4,5,28,27,55],[0, 34, 35, 49, 53]]
[[1,9,4,13,31,96],[0, 34, 35, 50, 54]]
[[1,5,10,25,76,68],[0, 34, 35, 52, 51]]
[[3,7,12,19,48,106],[0, 34, 35, 51, 53]]
[[3,7,12,23,28,124],[0, 34, 35, 53, 54]]
[[2,14,8,22,32,86],[0, 34, 37, 42, 53]]
[[3,9,3,37,28,63],[0, 34, 38, 50, 53]]
[[3,5,9,17,43,71],[0, 34, 42, 39, 53]]
[[3,7,9,15,33,103],[0, 34, 39, 53, 54]]
[[3,7,6,23,23,52],[0, 34, 40, 42, 53]]
[[2,14,14,22,32,86],[0, 34, 40, 52, 44]]
[[2,6,2,38,22,30],[0, 34, 40, 49, 53]]
[[1,5,7,25,46,77],[0, 34, 40, 50, 54]]
[[1,13,13,17,16,73],[0, 34, 40, 52, 51]]
[[4,12,10,20,14,108],[0, 34, 42, 44, 53]]
[[1,5,10,21,46,74],[0, 34, 42, 50, 54]]
[[1,5,7,21,31,89],[0, 34, 42, 52, 51]]
[[3,5,6,13,28,86],[0, 34, 42, 53, 54]]
[[3,7,3,23,43,79],[0, 34, 43, 52, 53]]
[[1,7,10,31,26,100],[0, 34, 49, 52, 44]]
[[2,4,5,12,17,103],[0, 34, 50, 44, 54]]
[[2,6,11,18,62,63],[0, 34, 44, 51, 53]]
[[2,6,2,22,22,90],[0, 34, 52, 44, 54]]
[[2,8,8,28,42,80],[0, 34, 44, 53, 54]]
[[2,6,8,26,42,48],[0, 34, 49, 50, 54]]
[[2,6,8,26,42,48],[0, 34, 49, 52, 51]]
[[4,10,16,22,44,58],[0, 34, 49, 53, 54]]
[[3,7,15,19,28,109],[0, 34, 52, 51, 54]]
[[3,7,15,35,28,85],[0, 35, 37, 39, 53]]
[[2,6,17,34,37,93],[0, 35, 37, 52, 44]]
[[1,5,10,25,76,68],[0, 35, 37, 50, 54]]
[[1,9,4,13,31,96],[0, 35, 37, 52, 51]]
[[3,7,12,19,48,106],[0, 35, 37, 51, 53]]
[[2,8,14,32,17,104],[0, 35, 38, 43, 53]]
[[2,10,11,38,32,79],[0, 35, 38, 50, 53]]
[[2,4,5,24,22,85],[0, 35, 38, 52, 53]]
[[4,8,13,36,19,65],[0, 35, 40, 39, 53]]
[[3,13,12,29,28,82],[0, 35, 39, 44, 53]]
[[3,3,9,27,33,39],[0, 35, 49, 39, 53]]
[[2,8,2,24,42,92],[0, 35, 52, 39, 54]]
[[2,4,5,36,37,85],[0, 35, 39, 53, 54]]
[[1,9,10,29,26,66],[0, 35, 40, 52, 44]]
[[3,7,9,31,33,19],[0, 35, 40, 44, 53]]
[[2,6,17,34,32,93],[0, 35, 40, 50, 54]]
[[2,6,11,30,32,99],[0, 35, 40, 52, 51]]
[[4,8,7,24,59,89],[0, 35, 40, 51, 53]]
[[4,6,13,34,34,75],[0, 35, 40, 53, 54]]
[[1,7,7,23,31,67],[0, 35, 42, 52, 44]]
[[3,9,12,25,18,84],[0, 35, 42, 49, 53]]
[[2,6,2,38,32,42],[0, 35, 42, 50, 54]]
[[4,12,16,20,24,84],[0, 35, 42, 53, 54]]
[[2,8,14,20,67,44],[0, 35, 43, 50, 53]]
[[2,12,14,36,22,72],[0, 35, 43, 52, 53]]
[[4,8,10,24,34,104],[0, 35, 49, 44, 53]]
[[3,7,9,15,33,91],[0, 35, 44, 53, 54]]
[[1,11,13,31,36,77],[0, 35, 49, 50, 54]]
[[3,5,9,33,18,41],[0, 35, 49, 51, 53]]
[[2,4,17,12,17,85],[0, 35, 52, 51, 54]]
[[2,10,11,22,27,91],[0, 35, 51, 53, 54]]
[[3,5,12,25,43,68],[0, 37, 38, 43, 53]]
[[3,9,12,25,13,90],[0, 37, 38, 52, 53]]
[[3,5,9,21,58,71],[0, 37, 42, 39, 53]]
[[3,11,3,27,23,59],[0, 37, 39, 51, 53]]
[[3,7,12,27,38,82],[0, 40, 37, 42, 53]]
[[2,6,8,42,47,72],[0, 40, 37, 49, 53]]
[[1,13,16,25,36,88],[0, 40, 37, 50, 54]]
[[1,5,4,25,36,80],[0, 40, 37, 52, 51]]
[[3,7,6,19,23,112],[0, 40, 37, 53, 54]]
[[2,10,5,34,42,55],[0, 37, 42, 52, 44]]
[[2,8,11,20,57,83],[0, 37, 42, 49, 53]]
