[[1, 4, 5, 7], [2, 4], [3, 5], [6, 7]]
[[3,9,6,17,53,78],[0, 34, 35, 40, 42, 38, 43, 52, 44, 53]]
[[3,11,3,27,43,95],[0, 34, 35, 40, 42, 49, 38, 43, 52, 53]]
[[2,6,8,42,47,72],[0, 34, 35, 40, 42, 38, 43, 50, 51, 53]]
[[2,6,5,34,27,69],[0, 34, 35, 40, 42, 38, 43, 50, 52, 54]]
[[2,4,14,28,37,100],[0, 34, 35, 40, 42, 38, 43, 50, 53, 54]]
[[2,8,8,24,52,80],[0, 34, 35, 40, 42, 38, 43, 52, 51, 53]]
[[2,8,11,32,42,89],[0, 34, 35, 40, 42, 49, 38, 50, 44, 54]]
[[4,6,10,38,34,78],[0, 34, 35, 40, 42, 49, 38, 44, 51, 53]]
[[3,7,9,23,33,79],[0, 34, 35, 40, 42, 38, 50, 52, 44, 53]]
[[3,5,9,13,23,125],[0, 34, 35, 40, 42, 38, 44, 51, 53, 54]]
[[2,8,5,16,12,77],[0, 34, 35, 40, 42, 38, 50, 52, 51, 53]]
[[3,9,9,33,13,63],[0, 34, 35, 40, 38, 43, 50, 44, 51, 53]]
[[3,7,9,31,38,85],[0, 34, 35, 40, 49, 38, 43, 50, 52, 51]]
[[3,7,9,31,33,67],[0, 34, 35, 40, 49, 38, 43, 50, 51, 53]]
[[3,7,6,19,33,106],[0, 34, 35, 40, 49, 38, 43, 50, 52, 54]]
[[3,3,12,15,38,78],[0, 34, 35, 40, 49, 38, 43, 50, 53, 54]]
[[3,3,12,15,28,54],[0, 34, 35, 40, 49, 38, 43, 52, 51, 53]]
[[1,13,13,17,31,103],[0, 34, 35, 40, 49, 38, 43, 52, 53, 54]]
[[4,8,16,40,24,56],[0, 34, 35, 40, 38, 43, 50, 51, 53, 54]]
[[2,10,5,22,47,91],[0, 34, 35, 40, 49, 38, 50, 44, 51, 54]]
[[2,6,14,22,42,90],[0, 34, 35, 40, 49, 38, 50, 52, 44, 53]]
[[2,6,8,30,32,90],[0, 34, 35, 40, 49, 38, 52, 44, 51, 54]]
[[2,12,8,28,37,84],[0, 34, 35, 40, 49, 38, 44, 51, 53, 54]]
