[[0, 4, 8], [2, 4], [3, 5], [6, 7]]
[37, 42, 49, 17, 38, 43, 50, 39, 51, 53]
[37, 42, 49, 17, 38, 43, 50, 39, 51, 54]
[37, 42, 49, 17, 38, 43, 50, 52, 39, 53]
[37, 42, 49, 17, 38, 43, 50, 52, 39, 54]
[37, 42, 49, 17, 38, 43, 50, 39, 53, 54]
[37, 42, 49, 17, 38, 43, 52, 39, 51, 53]
[37, 42, 49, 17, 38, 43, 52, 39, 51, 54]
[37, 42, 49, 17, 38, 43, 39, 51, 53, 54]
[37, 42, 49, 17, 38, 43, 52, 39, 53, 54]
[37, 42, 17, 38, 43, 50, 52, 39, 51, 53]
[37, 42, 17, 38, 43, 50, 52, 39, 51, 54]
[37, 42, 17, 38, 43, 50, 39, 51, 53, 54]
[37, 42, 17, 38, 43, 50, 52, 39, 53, 54]
[37, 42, 17, 38, 43, 52, 39, 51, 53, 54]
[37, 42, 49, 17, 38, 50, 52, 39, 44, 51]
[37, 42, 49, 17, 38, 50, 39, 44, 51, 53]
[37, 42, 49, 17, 38, 50, 39, 44, 51, 54]
[37, 42, 49, 17, 38, 50, 52, 39, 44, 53]
[37, 42, 49, 17, 38, 50, 52, 39, 44, 54]
[37, 42, 49, 17, 38, 50, 39, 44, 53, 54]
[37, 42, 49, 17, 38, 52, 39, 44, 51, 53]
[37, 42, 49, 17, 38, 52, 39, 44, 51, 54]
[37, 42, 49, 17, 38, 39, 44, 51, 53, 54]
[37, 42, 49, 17, 38, 52, 39, 44, 53, 54]
[37, 42, 17, 38, 50, 52, 39, 44, 51, 53]
[37, 42, 17, 38, 50, 52, 39, 44, 51, 54]
[37, 42, 17, 38, 50, 39, 44, 51, 53, 54]
[37, 42, 17, 38, 50, 52, 39, 44, 53, 54]
[37, 42, 17, 38, 52, 39, 44, 51, 53, 54]
[37, 42, 49, 17, 38, 50, 52, 39, 51, 53]
[37, 42, 49, 17, 38, 50, 52, 39, 51, 54]
[37, 42, 49, 17, 38, 50, 39, 51, 53, 54]
[37, 42, 49, 17, 38, 50, 52, 39, 53, 54]
[37, 42, 49, 17, 38, 52, 39, 51, 53, 54]
[37, 42, 17, 38, 50, 52, 39, 51, 53, 54]
[37, 49, 17, 38, 43, 50, 52, 39, 44, 51]
[37, 49, 17, 38, 43, 50, 39, 44, 51, 53]
[37, 49, 17, 38, 43, 50, 39, 44, 51, 54]
[37, 49, 17, 38, 43, 50, 52, 39, 44, 53]
[37, 49, 17, 38, 43, 50, 52, 39, 44, 54]
[37, 49, 17, 38, 43, 50, 39, 44, 53, 54]
[37, 49, 17, 38, 43, 52, 39, 44, 51, 53]
[37, 49, 17, 38, 43, 52, 39, 44, 51, 54]
[37, 49, 17, 38, 43, 39, 44, 51, 53, 54]
[37, 49, 17, 38, 43, 52, 39, 44, 53, 54]
[37, 17, 38, 43, 50, 52, 39, 44, 51, 53]
[37, 17, 38, 43, 50, 52, 39, 44, 51, 54]
[37, 17, 38, 43, 50, 39, 44, 51, 53, 54]
[37, 17, 38, 43, 50, 52, 39, 44, 53, 54]
[37, 17, 38, 43, 52, 39, 44, 51, 53, 54]
[37, 49, 17, 38, 43, 50, 52, 39, 51, 53]
[37, 49, 17, 38, 43, 50, 52, 39, 51, 54]
[37, 49, 17, 38, 43, 50, 39, 51, 53, 54]
[37, 49, 17, 38, 43, 50, 52, 39, 53, 54]
[37, 49, 17, 38, 43, 52, 39, 51, 53, 54]
[37, 17, 38, 43, 50, 52, 39, 51, 53, 54]
