[[2, 5], [3, 5], [4, 5], [6, 7]]
[[4,6,10,30,34,102],[1, 8, 43, 52, 44, 53, 54]]
[[6,6,12,18,31,72],[1, 49, 8, 43, 50, 52, 51]]
[[4,8,19,16,29,113],[1, 49, 8, 50, 52, 53, 54]]
[[3,7,12,23,28,76],[1, 10, 14, 52, 9, 53, 54]]
[[4,8,16,36,29,62],[1, 10, 16, 17, 52, 9, 51]]
[[4,12,10,20,34,84],[1, 10, 17, 52, 9, 18, 51]]
[[4,12,16,24,9,108],[1, 10, 17, 52, 9, 44, 51]]
[[6,10,9,18,41,61],[1, 10, 42, 52, 9, 18, 51]]
[[6,12,9,20,41,69],[1, 10, 43, 52, 9, 18, 51]]
[[7,11,13,19,37,35],[1, 10, 52, 9, 18, 44, 51]]
[[4,8,13,20,39,107],[1, 10, 52, 9, 18, 53, 54]]
[[6,8,12,12,41,80],[1, 10, 40, 49, 52, 9, 51]]
[[4,8,19,12,14,113],[1, 10, 40, 52, 9, 53, 54]]
[[5,5,17,13,35,65],[1, 10, 42, 43, 52, 9, 51]]
[[7,11,13,19,37,35],[1, 10, 42, 49, 52, 9, 51]]
[[5,11,11,23,35,59],[1, 10, 42, 52, 9, 53, 54]]
[[6,12,12,20,31,84],[1, 10, 43, 52, 9, 44, 51]]
[[5,7,20,15,35,64],[1, 10, 49, 43, 52, 9, 51]]
[[6,10,9,18,41,61],[1, 10, 49, 52, 9, 44, 51]]
[[4,6,13,46,24,69],[1, 10, 52, 9, 44, 53, 54]]
[[5,15,5,23,40,75],[1, 10, 49, 52, 9, 53, 54]]
[[5,11,11,31,45,41],[1, 10, 52, 9, 51, 53, 54]]
[[4,8,16,20,24,104],[1, 14, 16, 52, 9, 18, 51]]
[[6,6,15,22,26,87],[1, 14, 40, 16, 52, 9, 51]]
[[7,11,7,23,37,71],[1, 14, 16, 42, 52, 9, 51]]
[[5,7,8,7,25,64],[1, 14, 16, 43, 52, 9, 51]]
[[7,13,7,25,17,91],[1, 14, 16, 49, 52, 9, 51]]
[[6,8,12,20,46,68],[1, 14, 16, 50, 52, 9, 51]]
[[3,13,12,21,23,82],[1, 14, 16, 52, 9, 53, 54]]
[[5,13,14,25,15,76],[1, 14, 17, 52, 9, 18, 51]]
[[6,12,12,28,16,66],[1, 14, 42, 17, 52, 9, 51]]
[[5,13,17,17,25,67],[1, 14, 17, 52, 9, 44, 51]]
[[6,6,21,10,51,57],[1, 14, 49, 17, 52, 9, 51]]
[[7,9,16,21,22,72],[1, 14, 17, 50, 52, 9, 51]]
[[4,10,10,38,29,88],[1, 14, 17, 52, 9, 53, 54]]
[[5,13,5,17,45,79],[1, 14, 43, 52, 9, 18, 51]]
[[6,8,18,12,51,68],[1, 14, 52, 9, 18, 44, 51]]
[[5,5,11,9,35,71],[1, 14, 40, 42, 52, 9, 51]]
[[5,9,11,13,25,93],[1, 14, 40, 49, 52, 9, 51]]
[[6,8,18,12,51,68],[1, 14, 42, 49, 52, 9, 51]]
[[4,12,19,20,19,75],[1, 14, 42, 52, 9, 53, 54]]
[[5,5,11,13,15,41],[1, 14, 43, 50, 52, 9, 51]]
[[4,6,16,10,19,66],[1, 14, 43, 52, 9, 53, 54]]
[[4,10,19,22,19,91],[1, 14, 50, 52, 9, 44, 51]]
[[4,10,16,22,24,100],[1, 16, 17, 52, 9, 18, 51]]
[[6,6,15,10,46,75],[1, 40, 16, 17, 52, 9, 51]]
[[7,9,10,21,27,102],[1, 16, 42, 17, 52, 9, 51]]
[[7,11,13,11,42,71],[1, 16, 17, 43, 52, 9, 51]]
[[4,8,19,20,34,107],[1, 16, 17, 52, 9, 44, 51]]
[[8,10,14,18,28,46],[1, 16, 17, 50, 52, 9, 51]]
[[6,12,9,32,16,69],[1, 16, 42, 52, 9, 18, 51]]
[[4,8,13,8,24,89],[1, 16, 43, 52, 9, 18, 51]]
[[5,7,14,23,25,64],[1, 16, 52, 9, 18, 44, 51]]
[[6,8,15,8,46,89],[1, 40, 16, 42, 52, 9, 51]]
[[5,5,17,13,55,77],[1, 40, 16, 52, 9, 44, 51]]
[[6,10,9,22,46,67],[1, 40, 16, 49, 52, 9, 51]]
[[5,7,14,23,25,64],[1, 16, 42, 49, 52, 9, 51]]
[[3,7,15,23,23,103],[1, 16, 42, 52, 9, 53, 54]]
[[6,12,9,32,16,69],[1, 16, 49, 52, 9, 44, 51]]
[[5,9,14,17,40,96],[1, 42, 17, 52, 9, 18, 51]]
[[5,9,11,21,45,93],[1, 17, 52, 9, 18, 53, 54]]
[[7,13,10,21,27,52],[1, 40, 17, 43, 52, 9, 51]]
[[6,10,6,34,41,52],[1, 40, 17, 52, 9, 44, 51]]
[[6,10,12,18,36,76],[1, 40, 17, 50, 52, 9, 51]]
[[6,6,15,18,41,69],[1, 42, 17, 43, 52, 9, 51]]
[[7,9,16,17,32,72],[1, 42, 17, 50, 52, 9, 51]]
[[6,12,12,24,16,84],[1, 42, 17, 52, 9, 53, 54]]
[[6,6,12,14,51,66],[1, 49, 17, 43, 52, 9, 51]]
[[4,8,19,28,24,77],[1, 17, 43, 52, 9, 53, 54]]
[[5,9,14,17,40,96],[1, 49, 17, 52, 9, 44, 51]]
[[6,10,15,22,36,67],[1, 17, 50, 52, 9, 44, 51]]
[[5,9,11,25,30,69],[1, 17, 52, 9, 44, 53, 54]]
[[6,8,9,32,51,53],[1, 17, 52, 9, 51, 53, 54]]
[[4,8,22,12,24,92],[1, 40, 42, 52, 9, 18, 51]]
[[4,10,7,22,44,79],[1, 40, 43, 52, 9, 18, 51]]
[[7,9,10,33,22,72],[1, 40, 52, 9, 18, 44, 51]]
[[3,9,6,29,28,90],[1, 40, 50, 52, 9, 18, 51]]
[[4,6,13,50,24,63],[1, 40, 52, 9, 18, 53, 54]]
[[3,7,9,31,38,85],[1, 42, 43, 52, 9, 18, 51]]
[[6,6,15,22,26,75],[1, 42, 52, 9, 18, 44, 51]]
[[4,8,16,16,19,98],[1, 42, 50, 52, 9, 18, 51]]
[[5,7,17,15,40,67],[1, 42, 52, 9, 18, 53, 54]]
[[6,8,9,24,36,77],[1, 43, 52, 9, 18, 44, 51]]
[[5,9,17,17,35,105],[1, 43, 52, 9, 18, 53, 54]]
[[6,10,21,14,26,67],[1, 49, 52, 9, 18, 44, 51]]
[[5,9,11,21,35,69],[1, 50, 52, 9, 18, 44, 51]]
