[[1], [2, 4], [3, 5], [6, 7]]
[[3,5,3,13,43,53],[0, 4, 40, 7, 42, 50, 9, 54]]
[[3,5,9,33,18,65],[0, 4, 40, 7, 43, 9, 53, 54]]
[[1,5,7,29,41,65],[0, 4, 40, 7, 50, 9, 44, 54]]
[[4,6,10,46,14,66],[0, 4, 40, 7, 49, 50, 9, 54]]
[[3,5,30,17,33,62],[0, 4, 40, 7, 50, 9, 51, 54]]
[[3,5,6,17,33,62],[0, 4, 40, 7, 50, 52, 9, 54]]
[[2,4,11,24,42,73],[0, 4, 7, 42, 50, 9, 44, 54]]
[[4,6,10,30,39,90],[0, 4, 7, 42, 9, 44, 53, 54]]
[[2,4,5,8,22,85],[0, 4, 7, 42, 50, 9, 51, 54]]
[[2,8,11,32,52,77],[0, 4, 7, 42, 50, 52, 9, 54]]
[[2,8,8,32,22,68],[0, 4, 7, 42, 52, 9, 51, 54]]
[[2,4,5,24,42,25],[0, 4, 7, 43, 50, 9, 44, 54]]
[[4,6,16,30,34,54],[0, 4, 7, 43, 9, 44, 53, 54]]
[[3,9,9,21,23,45],[0, 4, 7, 49, 43, 50, 9, 54]]
[[3,7,9,27,38,85],[0, 4, 7, 49, 43, 9, 53, 54]]
[[2,4,5,24,32,73],[0, 4, 7, 43, 50, 9, 51, 54]]
[[2,12,11,24,22,69],[0, 4, 7, 43, 50, 52, 9, 54]]
[[2,6,5,22,17,111],[0, 4, 7, 43, 50, 9, 53, 54]]
[[4,8,19,20,24,101],[0, 4, 7, 43, 9, 51, 53, 54]]
[[0,8,0,24,40,68],[0, 4, 7, 43, 52, 9, 53, 54]]
[[4,4,7,16,44,61],[0, 4, 7, 50, 9, 44, 51, 54]]
[[2,4,5,24,22,73],[0, 4, 7, 50, 52, 9, 44, 54]]
[[4,6,16,22,49,84],[0, 4, 7, 50, 9, 44, 53, 54]]
[[4,6,7,14,44,75],[0, 4, 7, 9, 44, 51, 53, 54]]
[[1,5,10,33,41,98],[0, 4, 7, 49, 50, 9, 51, 54]]
[[3,9,12,17,33,90],[0, 4, 7, 49, 50, 52, 9, 54]]
[[4,6,7,22,34,63],[0, 4, 34, 35, 7, 38, 53, 54]]
[[1,5,1,13,21,77],[0, 4, 34, 35, 40, 7, 50, 54]]
[[4,6,7,22,34,63],[0, 4, 34, 35, 7, 42, 53, 54]]
[[2,8,8,28,42,80],[0, 4, 34, 35, 7, 43, 50, 54]]
[[2,2,11,18,27,107],[0, 4, 34, 35, 7, 44, 53, 54]]
[[5,9,14,33,25,54],[0, 4, 34, 35, 7, 49, 53, 54]]
[[2,6,5,14,52,75],[0, 4, 34, 35, 7, 52, 53, 54]]
[[3,3,6,31,28,42],[0, 4, 34, 7, 37, 39, 53, 54]]
[[2,6,8,22,42,78],[0, 4, 34, 40, 7, 37, 50, 54]]
[[2,2,2,30,42,50],[0, 4, 34, 7, 37, 49, 50, 54]]
[[3,5,6,17,33,86],[0, 4, 34, 7, 37, 50, 51, 54]]
[[3,5,18,17,33,110],[0, 4, 34, 7, 37, 50, 52, 54]]
[[4,10,16,18,24,88],[0, 4, 34, 7, 38, 39, 53, 54]]
