[ 1, 10, 43, 52, 9, 53, 54 ],1
[ 1, 14, 50, 52, 9, 44, 54 ],1
[ 1, 16, 50, 52, 9, 44, 54 ],1
[ 1, 16, 50, 52, 9, 53, 54 ],1
[ 1, 17, 52, 9, 18, 51, 54 ],1
[ 1, 17, 43, 52, 9, 53, 54 ],1
[ 1, 17, 50, 52, 9, 53, 54 ],1
[ 1, 50, 52, 9, 18, 44, 54 ],1
[ 1, 52, 9, 18, 44, 51, 54 ],1
[ 1, 52, 9, 18, 44, 53, 54 ],1
[ 1, 43, 50, 52, 9, 44, 54 ],1
[ 1, 43, 52, 9, 44, 53, 54 ],1
[ 1, 50, 52, 9, 44, 53, 54 ],1
[ 1, 10, 14, 16, 50, 52, 54 ],1
[ 1, 10, 14, 17, 50, 52, 54 ],1
[ 1, 10, 14, 17, 52, 51, 54 ],1
[ 1, 10, 14, 17, 52, 53, 54 ],1
[ 1, 10, 16, 17, 50, 52, 54 ],1
[ 1, 10, 16, 17, 52, 51, 54 ],1
[ 1, 10, 17, 50, 52, 44, 54 ],1
[ 1, 10, 17, 50, 52, 53, 54 ],1
[ 1, 10, 43, 52, 18, 51, 54 ],1
[ 1, 10, 43, 52, 18, 53, 54 ],1
[ 1, 10, 52, 18, 44, 51, 54 ],1
[ 1, 10, 52, 18, 44, 53, 54 ],1
[ 1, 10, 52, 18, 51, 53, 54 ],2
[ 1, 10, 43, 52, 44, 51, 54 ],1
[ 1, 10, 43, 52, 44, 53, 54 ],1
[ 1, 10, 43, 52, 51, 53, 54 ],2
[ 0, 1, 10, 14, 7, 16, 42, 8, 43, 52, 9, 18, 44, 51, 53, 54 ],2
[ 1, 14, 16, 50, 52, 18, 54 ],1
[ 1, 14, 16, 52, 18, 53, 54 ],1
[ 1, 14, 16, 43, 52, 51, 54 ],1
[ 1, 14, 16, 50, 52, 53, 54 ],1
[ 1, 14, 16, 52, 51, 53, 54 ],1
[ 1, 14, 17, 52, 18, 51, 54 ],1
[ 1, 14, 17, 52, 18, 53, 54 ],1
[ 1, 14, 17, 43, 50, 52, 54 ],1
[ 1, 14, 17, 43, 52, 51, 54 ],1
[ 1, 14, 17, 43, 52, 53, 54 ],1
[ 1, 14, 43, 52, 18, 53, 54 ],1
[ 1, 14, 50, 52, 44, 53, 54 ],1
[ 1, 16, 17, 50, 52, 18, 54 ],1
[ 1, 16, 17, 52, 18, 51, 54 ],1
[ 1, 16, 17, 43, 52, 51, 54 ],1
[ 1, 16, 17, 43, 52, 53, 54 ],1
[ 1, 16, 17, 50, 52, 44, 54 ],1
[ 1, 16, 17, 50, 52, 53, 54 ],1
[ 1, 16, 17, 52, 51, 53, 54 ],1
[ 1, 16, 43, 52, 18, 51, 54 ],1
[ 1, 17, 50, 52, 18, 44, 54 ],1
