[ 13, 42, 17, 43, 52, 18, 39, 51 ],1
[ 13, 42, 17, 43, 18, 39, 51, 53 ],1
[ 13, 42, 17, 43, 18, 39, 51, 54 ],1
[ 13, 42, 49, 17, 52, 18, 39, 44 ],1
[ 13, 42, 49, 17, 18, 39, 44, 54 ],1
[ 13, 42, 17, 50, 52, 18, 39, 44 ],1
[ 13, 42, 17, 50, 18, 39, 44, 54 ],1
[ 13, 42, 17, 18, 39, 44, 51, 53 ],1
[ 13, 42, 17, 52, 18, 39, 44, 53 ],1
[ 13, 42, 17, 18, 39, 44, 53, 54 ],1
[ 13, 42, 49, 17, 18, 39, 51, 54 ],1
[ 13, 42, 17, 50, 18, 39, 51, 54 ],1
[ 13, 42, 17, 52, 18, 39, 51, 53 ],1
[ 13, 42, 17, 18, 39, 51, 53, 54 ],1
[ 13, 42, 17, 52, 18, 39, 53, 54 ],1
[ 13, 17, 43, 50, 18, 39, 44, 54 ],1
[ 13, 49, 17, 43, 50, 18, 39, 54 ],1
[ 13, 49, 17, 43, 18, 39, 53, 54 ],2
[ 13, 17, 43, 50, 18, 39, 51, 53 ],1
[ 13, 17, 43, 50, 52, 18, 39, 53 ],1
[ 13, 17, 43, 50, 18, 39, 53, 54 ],1
[ 13, 49, 17, 18, 39, 44, 53, 54 ],1
[ 13, 17, 50, 18, 39, 44, 51, 53 ],1
[ 13, 17, 50, 18, 39, 44, 51, 54 ],1
[ 13, 17, 50, 52, 18, 39, 44, 53 ],1
[ 13, 17, 50, 18, 39, 44, 53, 54 ],1
[ 10, 34, 14, 17, 44, 51, 53, 54 ],1
[ 13, 17, 52, 18, 39, 44, 53, 54 ],1
[ 13, 49, 17, 50, 18, 39, 51, 54 ],1
[ 13, 49, 17, 50, 52, 18, 39, 53 ],1
[ 13, 17, 50, 52, 18, 39, 53, 54 ],1
[ 13, 40, 42, 17, 43, 50, 18, 53 ],1
[ 13, 40, 42, 17, 50, 18, 44, 54 ],1
[ 13, 40, 42, 17, 52, 18, 44, 54 ],1
[ 13, 40, 42, 17, 50, 18, 51, 53 ],1
[ 13, 40, 42, 17, 50, 18, 51, 54 ],1
[ 13, 40, 42, 17, 50, 18, 53, 54 ],1
[ 13, 40, 42, 17, 52, 18, 51, 53 ],1
[ 13, 40, 42, 17, 18, 51, 53, 54 ],1
[ 13, 40, 49, 17, 43, 18, 44, 53 ],1
[ 13, 40, 49, 17, 43, 18, 44, 54 ],1
[ 13, 40, 17, 43, 18, 44, 51, 54 ],1
[ 13, 40, 49, 17, 43, 18, 51, 54 ],1
[ 13, 40, 17, 43, 50, 52, 18, 53 ],1
[ 13, 40, 17, 43, 50, 52, 18, 54 ],1
[ 13, 40, 17, 43, 50, 18, 53, 54 ],1
[ 13, 40, 49, 17, 18, 44, 51, 53 ],1
[ 13, 40, 49, 17, 50, 18, 53, 54 ],1
[ 13, 40, 17, 50, 52, 18, 51, 53 ],1
[ 13, 40, 17, 50, 52, 18, 53, 54 ],1
[ 13, 42, 17, 43, 50, 52, 18, 44 ],1
