[[1, 7], [2, 4], [3, 5], [6, 7]]
[[3,7,9,27,33,85],[34, 5, 8, 53]]
[[4,14,10,26,29,80],[5, 35, 8, 53]]
[[3,11,6,27,38,86],[5, 37, 8, 53]]
[[4,10,16,26,44,58],[5, 8, 38, 53]]
[[5,11,11,15,30,101],[5, 42, 8, 53]]
[[4,12,16,28,14,84],[5, 49, 8, 53]]
[[5,17,11,21,10,59],[5, 8, 50, 53]]
[[5,11,11,31,25,71],[5, 8, 52, 53]]
[[3,17,9,17,33,89],[5, 50, 9, 54]]
[[5,11,8,15,40,80],[5, 9, 53, 54]]
[[7,11,13,19,22,77],[34, 5, 35, 53]]
[[6,14,12,18,21,74],[34, 5, 37, 53]]
[[5,9,14,25,30,102],[34, 5, 39, 53]]
[[6,12,9,32,11,81],[34, 5, 42, 53]]
[[5,5,11,33,25,83],[34, 5, 49, 53]]
[[5,7,14,27,30,52],[5, 35, 42, 53]]
[[6,12,6,28,31,78],[5, 35, 49, 53]]
[[5,5,11,25,20,59],[5, 35, 50, 53]]
[[5,11,11,31,30,59],[5, 35, 52, 53]]
[[6,14,9,22,26,77],[5, 37, 42, 53]]
[[5,7,5,23,45,55],[5, 37, 43, 53]]
[[5,5,11,29,20,77],[5, 37, 49, 53]]
[[4,10,16,14,29,76],[5, 37, 52, 53]]
[[5,11,8,23,60,50],[5, 42, 38, 53]]
[[6,14,9,18,31,83],[5, 38, 43, 53]]
[[5,11,14,23,35,74],[5, 38, 50, 53]]
[[4,14,10,26,29,80],[5, 43, 39, 53]]
[[4,8,10,24,54,104],[5, 49, 39, 53]]
[[3,11,15,27,18,83],[5, 50, 39, 53]]
[[5,13,17,17,20,79],[5, 39, 51, 53]]
[[5,13,14,17,25,82],[5, 40, 52, 44]]
[[5,13,11,21,40,61],[5, 40, 44, 53]]
[[7,9,13,21,32,75],[5, 42, 49, 53]]
[[6,8,12,20,36,68],[5, 42, 50, 53]]
[[6,10,12,26,36,64],[5, 42, 52, 53]]
[[6,10,12,22,41,64],[5, 49, 43, 53]]
[[7,13,10,25,12,64],[5, 43, 50, 53]]
[[4,8,19,16,39,89],[5, 52, 51, 53]]
[[3,13,12,33,18,70],[0, 4, 5, 40, 53]]
[[3,11,3,31,38,65],[0, 4, 5, 50, 54]]
[[5,11,8,23,45,68],[0, 4, 5, 53, 54]]
[[5,11,14,23,25,74],[0, 4, 7, 8, 53]]
[[2,8,2,20,17,56],[0, 4, 34, 7, 53]]
[[2,8,11,24,17,89],[0, 4, 7, 37, 53]]
[[3,15,9,23,28,81],[0, 4, 7, 49, 53]]
[[4,10,7,26,14,73],[0, 4, 7, 52, 53]]
[[2,10,11,30,22,79],[0, 4, 34, 8, 53]]
[[2,6,5,30,32,75],[0, 4, 37, 8, 53]]
[[3,13,15,17,53,67],[0, 4, 8, 38, 53]]
[[4,12,10,32,39,66],[0, 4, 8, 50, 53]]
[[5,11,11,15,55,59],[0, 4, 9, 44, 53]]
[[2,14,5,18,22,59],[0, 4, 50, 9, 54]]
[[5,13,14,21,25,64],[0, 4, 34, 42, 53]]
[[4,6,7,22,54,87],[0, 4, 34, 43, 53]]
[[3,9,3,29,33,57],[0, 4, 34, 52, 53]]
[[6,10,9,30,26,79],[0, 4, 35, 37, 53]]
[[5,5,5,25,65,71],[0, 4, 35, 38, 53]]
[[4,10,4,26,24,70],[0, 4, 35, 42, 53]]
[[5,11,14,23,25,68],[0, 4, 35, 49, 53]]
[[4,8,22,16,29,86],[0, 4, 35, 50, 53]]
[[5,15,5,31,30,57],[0, 4, 37, 42, 53]]
[[4,10,16,26,14,100],[0, 4, 37, 43, 53]]
[[4,6,13,42,19,57],[0, 4, 37, 49, 53]]
[[3,7,9,35,28,55],[0, 4, 37, 51, 53]]
[[3,11,9,23,28,101],[0, 4, 38, 39, 53]]
[[4,12,10,12,19,114],[0, 4, 42, 38, 53]]
[[5,9,8,25,15,90],[0, 4, 38, 43, 53]]
[[4,8,13,28,29,77],[0, 4, 38, 50, 53]]
[[2,8,2,20,17,56],[0, 4, 38, 51, 53]]
[[3,7,6,23,33,52],[0, 4, 49, 39, 53]]
[[2,6,8,22,22,96],[0, 4, 50, 39, 53]]
[[4,12,10,32,29,66],[0, 4, 39, 51, 53]]
[[5,15,11,19,30,57],[0, 4, 40, 50, 54]]
[[6,6,6,38,51,66],[0, 4, 42, 49, 53]]
[[5,11,20,15,20,86],[0, 4, 42, 52, 53]]
[[6,16,9,20,16,67],[0, 4, 43, 50, 53]]
[[4,6,7,18,34,87],[0, 4, 43, 51, 53]]
[[4,8,10,32,34,92],[0, 4, 50, 44, 54]]
[[3,9,9,29,33,123],[0, 4, 50, 51, 53]]
[[3,5,12,21,23,86],[0, 4, 52, 51, 53]]
[[5,13,11,21,40,61],[0, 5, 7, 9, 53]]
[[2,12,8,28,27,84],[0, 5, 40, 7, 53]]
[[1,5,4,33,41,74],[0, 5, 7, 52, 44]]
[[4,10,7,26,34,109],[0, 5, 7, 53, 54]]
[[5,13,11,21,45,49],[0, 5, 8, 9, 53]]
[[2,12,5,32,32,57],[0, 5, 40, 8, 53]]
[[1,11,10,27,11,56],[0, 5, 8, 52, 44]]
[[4,10,7,22,19,67],[0, 5, 8, 53, 54]]
[[2,12,2,32,42,42],[0, 5, 42, 9, 53]]
[[4,12,4,12,14,96],[0, 5, 9, 51, 53]]
[[4,8,16,16,34,104],[0, 34, 5, 52, 44]]
[[4,10,10,30,34,64],[0, 34, 5, 44, 53]]
[[5,7,11,27,50,85],[0, 34, 5, 50, 54]]
[[6,8,15,24,31,71],[0, 5, 35, 40, 53]]
[[4,6,10,30,14,66],[0, 5, 35, 50, 54]]
