[[2, 7], [3, 5], [4, 7], [6, 7]]
[[4,12,10,28,39,72],[0, 1, 10, 5, 14, 7, 16, 49, 8, 17, 9, 44, 53, 54]]
[[4,10,10,26,14,94],[0, 1, 10, 5, 14, 7, 16, 8, 17, 50, 9, 44, 53, 54]]
[[2,12,8,40,42,36],[0, 1, 10, 5, 14, 7, 16, 8, 17, 52, 9, 44, 51, 54]]
[[5,15,8,27,35,48],[0, 1, 10, 5, 14, 7, 16, 49, 8, 17, 50, 52, 9, 53]]
[[5,9,14,33,30,72],[0, 1, 10, 5, 14, 7, 16, 8, 17, 50, 9, 51, 53, 54]]
[[2,12,8,28,32,54],[0, 1, 10, 5, 14, 7, 16, 8, 17, 52, 9, 51, 53, 54]]
[[6,10,9,18,36,73],[0, 1, 10, 5, 14, 40, 7, 16, 42, 8, 9, 18, 51, 53]]
[[5,7,17,19,45,73],[0, 1, 10, 5, 14, 40, 7, 16, 42, 8, 9, 18, 53, 54]]
[[6,12,9,32,36,33],[0, 1, 10, 5, 14, 7, 16, 42, 8, 43, 9, 18, 51, 53]]
[[7,11,13,19,27,59],[0, 1, 10, 5, 14, 7, 16, 42, 8, 43, 9, 18, 53, 54]]
[[6,10,9,22,51,43],[0, 1, 10, 5, 14, 7, 16, 42, 49, 8, 9, 18, 44, 53]]
[[7,9,13,29,27,57],[0, 1, 10, 5, 14, 7, 16, 42, 8, 52, 9, 18, 44, 53]]
[[4,8,13,24,24,89],[0, 1, 10, 5, 14, 7, 16, 42, 49, 8, 9, 18, 53, 54]]
[[6,14,12,18,21,68],[0, 1, 10, 5, 14, 7, 16, 42, 8, 52, 9, 18, 51, 53]]
[[5,11,11,19,35,77],[0, 1, 10, 5, 14, 7, 16, 42, 8, 52, 9, 18, 53, 54]]
[[5,9,8,13,35,48],[0, 1, 10, 5, 14, 7, 16, 8, 43, 50, 9, 18, 44, 53]]
[[5,11,14,31,20,80],[0, 1, 10, 5, 14, 7, 16, 8, 50, 52, 9, 18, 44, 54]]
[[6,8,15,20,31,83],[0, 1, 10, 5, 14, 7, 16, 49, 8, 50, 9, 18, 53, 54]]
[[6,8,18,24,36,56],[0, 1, 10, 5, 14, 7, 16, 8, 50, 52, 9, 18, 51, 54]]
[[5,9,23,13,35,69],[0, 1, 10, 5, 14, 40, 7, 16, 42, 8, 43, 52, 9, 44]]
[[5,11,11,23,35,71],[0, 1, 10, 5, 14, 40, 7, 16, 42, 8, 43, 52, 9, 54]]
[[4,10,10,14,24,82],[0, 1, 10, 5, 14, 40, 7, 16, 42, 49, 8, 52, 9, 44]]
[[4,10,13,42,24,49],[0, 1, 10, 5, 14, 40, 7, 16, 42, 8, 9, 44, 51, 53]]
[[6,10,9,18,36,73],[0, 1, 10, 5, 14, 40, 7, 16, 49, 8, 43, 50, 9, 53]]
[[7,11,10,23,32,62],[0, 1, 10, 5, 14, 40, 7, 16, 8, 43, 50, 52, 9, 53]]
[[7,13,10,21,27,46],[0, 1, 10, 5, 14, 40, 7, 16, 8, 50, 9, 44, 53, 54]]
[[6,8,9,16,36,77],[0, 1, 10, 5, 14, 40, 7, 16, 49, 8, 50, 52, 9, 53]]
[[4,10,13,34,24,85],[0, 1, 10, 5, 14, 40, 7, 16, 8, 50, 9, 51, 53, 54]]
[[5,13,8,21,25,100],[0, 1, 10, 5, 14, 7, 16, 42, 8, 43, 9, 44, 53, 54]]
[[6,8,18,24,36,56],[0, 1, 10, 5, 14, 7, 16, 42, 49, 8, 43, 52, 9, 54]]
