[[2, 5, 7], [3, 5], [4, 5, 7], [6, 7]]
[1, 7, 16, 42, 8, 52, 51]
[1, 7, 50, 52, 9, 18, 44]
[1, 7, 42, 43, 52, 9, 44]
[1, 7, 42, 49, 52, 9, 51]
[1, 10, 7, 16, 50, 51, 53]
[1, 7, 17, 43, 18, 44, 54]
[1, 7, 49, 17, 18, 51, 54]
[1, 7, 42, 17, 50, 44, 54]
[1, 40, 7, 49, 43, 52, 44]
[1, 14, 16, 8, 52, 9, 51]
[1, 10, 14, 8, 18, 44, 53]
[1, 49, 8, 17, 43, 52, 44]
[1, 14, 17, 50, 9, 44, 54]
[1, 14, 40, 42, 52, 9, 51]
[1, 16, 17, 43, 52, 9, 44]
[1, 16, 49, 17, 52, 9, 51]
[1, 10, 42, 50, 52, 18, 54]
[1, 10, 49, 52, 44, 51, 54]
[1, 14, 40, 17, 18, 51, 54]
[1, 14, 42, 50, 52, 18, 44]
[1, 40, 16, 42, 17, 52, 51]
[10, 5, 14, 7, 52, 9, 18]
[10, 5, 7, 43, 52, 9, 18]
[10, 5, 7, 50, 9, 18, 53]
[10, 5, 7, 42, 43, 9, 53]
[10, 5, 7, 42, 50, 52, 9]
[10, 5, 40, 7, 17, 18, 54]
[10, 5, 40, 7, 49, 43, 53]
[10, 5, 40, 7, 44, 51, 53]
[10, 5, 40, 7, 49, 50, 52]
[10, 5, 7, 43, 52, 51, 53]
[10, 5, 7, 49, 52, 44, 53]
[10, 5, 40, 16, 8, 52, 18]
[10, 5, 40, 49, 52, 9, 18]
[10, 5, 14, 49, 17, 18, 54]
[10, 5, 14, 42, 43, 52, 18]
[10, 5, 14, 42, 50, 18, 53]
[10, 5, 14, 40, 52, 44, 53]
[10, 5, 14, 49, 44, 51, 53]
[10, 5, 17, 43, 18, 51, 53]
[10, 5, 49, 17, 18, 44, 53]
[10, 5, 42, 17, 50, 51, 53]
[10, 5, 49, 50, 52, 44, 51]
[10, 14, 7, 8, 43, 9, 53]
[10, 40, 7, 8, 43, 9, 53]
[10, 7, 49, 8, 50, 18, 53]
[10, 7, 42, 49, 8, 43, 53]
[10, 7, 42, 8, 44, 51, 53]
[10, 7, 16, 50, 9, 18, 53]
[10, 7, 16, 42, 43, 9, 53]
[10, 14, 7, 16, 49, 43, 53]
[10, 14, 7, 16, 44, 51, 53]
[10, 40, 7, 16, 49, 43, 53]
[10, 40, 7, 16, 44, 51, 53]
[10, 14, 49, 8, 43, 9, 53]
[10, 14, 8, 9, 44, 51, 53]
[10, 40, 49, 8, 43, 9, 53]
[10, 40, 8, 9, 44, 51, 53]
